2020-12-27 07:07:14:892  收到来车信号，流水号：20201227070714，所有设备开始采集
2020-12-27 07:07:14:940  开启A/D采集
2020-12-27 07:07:36:256  收到离车信号，流水号：20201227070714，线号：14，车号：019020，主控端：1，所有设备停止采集
2020-12-27 07:07:36:258  收到停止采集命令，开始停止采集
2020-12-27 07:07:36:263  停止采集数据
2020-12-27 07:07:36:265  采集连接已断开
2020-12-27 07:07:36:267  开始数据分析和落盘
2020-12-27 07:07:40:131  vibration1完成落盘
2020-12-27 07:07:43:351  vibration2完成落盘
2020-12-27 07:07:46:182  vibration3完成落盘
2020-12-27 07:07:49:252  vibration4完成落盘
2020-12-27 07:07:52:234  vibration5完成落盘
2020-12-27 07:07:55:654  vibration6完成落盘
2020-12-27 07:07:58:474  vibration7完成落盘
2020-12-27 07:08:01:830  vibration8完成落盘
2020-12-27 07:08:05:065  magnetic1完成落盘
2020-12-27 07:08:08:160  magnetic2完成落盘
2020-12-27 07:08:10:918  magnetic3完成落盘
2020-12-27 07:08:14:085  magnetic4完成落盘
2020-12-27 07:08:17:394  temperate1完成落盘
2020-12-27 07:08:20:657  temperate2完成落盘
2020-12-27 07:08:24:100  temperate3完成落盘
2020-12-27 07:08:27:457  temperate4完成落盘
2020-12-27 07:08:27:467  开始处理数据
2020-12-27 07:08:28:026  右侧计算完成
2020-12-27 07:08:28:474  左侧计算完成
2020-12-27 07:08:28:476  检查结果数据
2020-12-27 07:08:28:478  通知桌面显示数据
2020-12-27 07:08:28:495  开始写入数据库
2020-12-27 07:08:28:516  预警及报警参数加载完成
2020-12-27 07:08:28:518  数据库打开成功
2020-12-27 07:08:28:520  train_info数据表写入成功
2020-12-27 07:08:28:649  train_onlyid读取成功
2020-12-27 07:08:28:653  train_data数据表写入成功
2020-12-27 07:08:28:657  vt_info数据表，第0次写入成功
2020-12-27 07:08:28:661  vt_info数据表，第1次写入成功
2020-12-27 07:08:28:665  vt_info数据表，第2次写入成功
2020-12-27 07:08:28:668  vt_info数据表，第3次写入成功
2020-12-27 07:08:28:672  vt_info数据表，第4次写入成功
2020-12-27 07:08:28:676  vt_info数据表，第5次写入成功
2020-12-27 07:08:28:679  vt_info数据表，第6次写入成功
2020-12-27 07:08:28:683  vt_info数据表，第7次写入成功
2020-12-27 07:08:28:687  vt_info数据表，第8次写入成功
2020-12-27 07:08:28:690  vt_info数据表，第9次写入成功
2020-12-27 07:08:28:694  vt_info数据表，第10次写入成功
2020-12-27 07:08:28:698  vt_info数据表，第11次写入成功
2020-12-27 07:08:28:702  vt_info数据表，第12次写入成功
2020-12-27 07:08:28:706  vt_info数据表，第13次写入成功
2020-12-27 07:08:28:709  vt_info数据表，第14次写入成功
2020-12-27 07:08:28:713  vt_info数据表，第15次写入成功
2020-12-27 07:08:28:717  vt_info数据表，第16次写入成功
2020-12-27 07:08:28:720  vt_info数据表，第17次写入成功
2020-12-27 07:08:28:724  vt_info数据表，第18次写入成功
2020-12-27 07:08:28:728  vt_info数据表，第19次写入成功
2020-12-27 07:08:28:731  vt_info数据表，第20次写入成功
2020-12-27 07:08:28:735  vt_info数据表，第21次写入成功
2020-12-27 07:08:28:739  vt_info数据表，第22次写入成功
2020-12-27 07:08:28:742  vt_info数据表，第23次写入成功
2020-12-27 07:08:28:746  vt_info数据表，第24次写入成功
2020-12-27 07:08:28:750  vt_info数据表，第25次写入成功
2020-12-27 07:08:28:753  vt_info数据表，第26次写入成功
