2020-12-11 05:22:42:080  收到来车信号，流水号：20201211052242，所有设备开始采集
2020-12-11 05:22:42:142  开启A/D采集
2020-12-11 05:23:18:705  收到离车信号，流水号：20201211052242，线号：14，车号：031032，主控端：1，所有设备停止采集
2020-12-11 05:23:18:736  收到停止采集命令，开始停止采集
2020-12-11 05:23:18:768  停止采集数据
2020-12-11 05:23:18:768  采集连接已断开
2020-12-11 05:23:18:768  开始数据分析和落盘
2020-12-11 05:23:25:611  vibration1完成落盘
2020-12-11 05:23:30:924  vibration2完成落盘
2020-12-11 05:23:36:737  vibration3完成落盘
2020-12-11 05:23:42:783  vibration4完成落盘
2020-12-11 05:23:48:737  vibration5完成落盘
2020-12-11 05:23:54:612  vibration6完成落盘
2020-12-11 05:24:00:190  vibration7完成落盘
2020-12-11 05:24:05:471  vibration8完成落盘
2020-12-11 05:24:11:474  magnetic1完成落盘
2020-12-11 05:24:17:678  magnetic2完成落盘
2020-12-11 05:24:23:099  magnetic3完成落盘
2020-12-11 05:24:28:801  magnetic4完成落盘
2020-12-11 05:24:33:928  temperate1完成落盘
2020-12-11 05:24:39:522  temperate2完成落盘
2020-12-11 05:24:44:943  temperate3完成落盘
2020-12-11 05:24:50:709  temperate4完成落盘
2020-12-11 05:24:50:725  开始处理数据
2020-12-11 05:24:51:772  右侧计算完成
2020-12-11 05:24:52:631  左侧计算完成
2020-12-11 05:24:52:631  检查结果数据
2020-12-11 05:24:52:631  通知桌面显示数据
2020-12-11 05:24:52:647  开始写入数据库
2020-12-11 05:24:52:787  预警及报警参数加载完成
2020-12-11 05:24:52:787  数据库打开成功
2020-12-11 05:24:52:787  train_info数据表写入成功
2020-12-11 05:24:52:787  train_onlyid读取成功
2020-12-11 05:24:52:787  train_data数据表写入成功
2020-12-11 05:24:52:803  vt_info数据表，第0次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第1次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第2次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第3次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第4次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第5次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第6次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第7次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第8次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第9次写入成功
2020-12-11 05:24:52:803  vt_info数据表，第10次写入成功
2020-12-11 05:24:52:819  vt_info数据表，第11次写入成功
2020-12-11 05:24:52:819  vt_info数据表，第12次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第13次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第14次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第15次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第16次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第17次写入成功
2020-12-11 05:24:52:834  vt_info数据表，第18次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第19次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第20次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第21次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第22次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第23次写入成功
2020-12-11 05:24:52:850  vt_info数据表，第24次写入成功
2020-12-11 05:24:52:865  vt_info数据表，第25次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第26次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第27次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第28次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第29次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第30次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第31次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第32次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第33次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第34次写入成功
2020-12-11 05:24:52:881  vt_info数据表，第35次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第36次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第37次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第38次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第39次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第40次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第41次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第42次写入成功
2020-12-11 05:24:52:912  vt_info数据表，第43次写入成功
2020-12-11 05:24:52:928  vt_info数据表，第44次写入成功
2020-12-11 05:24:52:928  vt_info数据表，第45次写入成功
2020-12-11 05:24:52:944  vt_info数据表，第46次写入成功
2020-12-11 05:24:52:944  vt_info数据表，第47次写入成功
2020-12-11 05:24:52:944  motor_info数据表，第0次写入成功
2020-12-11 05:24:52:944  motor_info数据表，第1次写入成功
2020-12-11 05:24:52:944  motor_info数据表，第2次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第3次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第4次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第5次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第6次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第7次写入成功
2020-12-11 05:24:52:959  motor_info数据表，第8次写入成功
2020-12-11 05:24:52:975  motor_info数据表，第9次写入成功
2020-12-11 05:24:52:990  motor_info数据表，第10次写入成功
2020-12-11 05:24:53:006  motor_info数据表，第11次写入成功
