2020-12-29 21:04:31:499  收到来车信号，流水号：20201229210431，所有设备开始采集
2020-12-29 21:04:31:543  开启A/D采集
2020-12-29 21:04:57:393  收到离车信号，流水号：20201229210431，线号：14，车号：015016，主控端：1，所有设备停止采集
2020-12-29 21:04:57:395  收到停止采集命令，开始停止采集
2020-12-29 21:04:57:402  停止采集数据
2020-12-29 21:04:57:404  采集连接已断开
2020-12-29 21:04:57:407  开始数据分析和落盘
2020-12-29 21:05:02:041  vibration1完成落盘
2020-12-29 21:05:05:866  vibration2完成落盘
2020-12-29 21:05:09:820  vibration3完成落盘
2020-12-29 21:05:13:667  vibration4完成落盘
2020-12-29 21:05:17:468  vibration5完成落盘
2020-12-29 21:05:21:412  vibration6完成落盘
2020-12-29 21:05:25:167  vibration7完成落盘
2020-12-29 21:05:28:562  vibration8完成落盘
2020-12-29 21:05:32:316  magnetic1完成落盘
2020-12-29 21:05:35:949  magnetic2完成落盘
2020-12-29 21:05:39:513  magnetic3完成落盘
2020-12-29 21:05:43:642  magnetic4完成落盘
2020-12-29 21:05:46:964  temperate1完成落盘
2020-12-29 21:05:50:351  temperate2完成落盘
2020-12-29 21:05:54:115  temperate3完成落盘
2020-12-29 21:05:57:647  temperate4完成落盘
2020-12-29 21:05:57:657  开始处理数据
2020-12-29 21:05:58:162  右侧计算完成
2020-12-29 21:05:58:548  左侧计算完成
2020-12-29 21:05:58:550  检查结果数据
2020-12-29 21:05:58:551  通知桌面显示数据
2020-12-29 21:05:58:568  开始写入数据库
2020-12-29 21:05:58:585  预警及报警参数加载完成
2020-12-29 21:05:58:587  数据库打开成功
2020-12-29 21:05:58:589  train_info数据表写入成功
2020-12-29 21:05:58:651  train_onlyid读取成功
2020-12-29 21:05:58:655  train_data数据表写入成功
2020-12-29 21:05:58:659  vt_info数据表，第0次写入成功
2020-12-29 21:05:58:663  vt_info数据表，第1次写入成功
2020-12-29 21:05:58:666  vt_info数据表，第2次写入成功
2020-12-29 21:05:58:670  vt_info数据表，第3次写入成功
2020-12-29 21:05:58:673  vt_info数据表，第4次写入成功
2020-12-29 21:05:58:677  vt_info数据表，第5次写入成功
2020-12-29 21:05:58:680  vt_info数据表，第6次写入成功
2020-12-29 21:05:58:684  vt_info数据表，第7次写入成功
2020-12-29 21:05:58:687  vt_info数据表，第8次写入成功
2020-12-29 21:05:58:691  vt_info数据表，第9次写入成功
2020-12-29 21:05:58:695  vt_info数据表，第10次写入成功
2020-12-29 21:05:58:698  vt_info数据表，第11次写入成功
2020-12-29 21:05:58:702  vt_info数据表，第12次写入成功
2020-12-29 21:05:58:706  vt_info数据表，第13次写入成功
2020-12-29 21:05:58:709  vt_info数据表，第14次写入成功
2020-12-29 21:05:58:713  vt_info数据表，第15次写入成功
2020-12-29 21:05:58:716  vt_info数据表，第16次写入成功
2020-12-29 21:05:58:720  vt_info数据表，第17次写入成功
2020-12-29 21:05:58:724  vt_info数据表，第18次写入成功
2020-12-29 21:05:58:727  vt_info数据表，第19次写入成功
2020-12-29 21:05:58:731  vt_info数据表，第20次写入成功
2020-12-29 21:05:58:735  vt_info数据表，第21次写入成功
2020-12-29 21:05:58:738  vt_info数据表，第22次写入成功
2020-12-29 21:05:58:742  vt_info数据表，第23次写入成功
2020-12-29 21:05:58:745  vt_info数据表，第24次写入成功
2020-12-29 21:05:58:749  vt_info数据表，第25次写入成功
2020-12-29 21:05:58:753  vt_info数据表，第26次写入成功
2020-12-29 21:05:58:756  vt_info数据表，第27次写入成功
2020-12-29 21:05:58:760  vt_info数据表，第28次写入成功
2020-12-29 21:05:58:764  vt_info数据表，第29次写入成功
2020-12-29 21:05:58:767  vt_info数据表，第30次写入成功
2020-12-29 21:05:58:771  vt_info数据表，第31次写入成功
2020-12-29 21:05:58:775  vt_info数据表，第32次写入成功
2020-12-29 21:05:58:778  vt_info数据表，第33次写入成功
2020-12-29 21:05:58:782  vt_info数据表，第34次写入成功
2020-12-29 21:05:58:786  vt_info数据表，第35次写入成功
2020-12-29 21:05:58:789  vt_info数据表，第36次写入成功
2020-12-29 21:05:58:793  vt_info数据表，第37次写入成功
2020-12-29 21:05:58:797  vt_info数据表，第38次写入成功
2020-12-29 21:05:58:800  vt_info数据表，第39次写入成功
2020-12-29 21:05:58:804  vt_info数据表，第40次写入成功
2020-12-29 21:05:58:807  vt_info数据表，第41次写入成功
2020-12-29 21:05:58:811  vt_info数据表，第42次写入成功
2020-12-29 21:05:58:815  vt_info数据表，第43次写入成功
2020-12-29 21:05:58:818  vt_info数据表，第44次写入成功
2020-12-29 21:05:58:822  vt_info数据表，第45次写入成功
2020-12-29 21:05:58:826  vt_info数据表，第46次写入成功
2020-12-29 21:05:58:829  vt_info数据表，第47次写入成功
2020-12-29 21:05:58:832  motor_info数据表，第0次写入成功
2020-12-29 21:05:58:834  motor_info数据表，第1次写入成功
2020-12-29 21:05:58:837  motor_info数据表，第2次写入成功
2020-12-29 21:05:58:840  motor_info数据表，第3次写入成功
2020-12-29 21:05:58:842  motor_info数据表，第4次写入成功
2020-12-29 21:05:58:845  motor_info数据表，第5次写入成功
2020-12-29 21:05:58:848  motor_info数据表，第6次写入成功
2020-12-29 21:05:58:850  motor_info数据表，第7次写入成功
2020-12-29 21:05:58:853  motor_info数据表，第8次写入成功
2020-12-29 21:05:58:855  motor_info数据表，第9次写入成功
2020-12-29 21:05:58:858  motor_info数据表，第10次写入成功
2020-12-29 21:05:58:861  motor_info数据表，第11次写入成功
2020-12-29 21:05:58:863  motor_info数据表，第12次写入成功
2020-12-29 21:05:58:866  motor_info数据表，第13次写入成功
2020-12-29 21:05:58:868  motor_info数据表，第14次写入成功
2020-12-29 21:05:58:882  motor_info数据表，第15次写入成功
2020-12-29 21:05:58:884  数据库关闭！
