2020-12-23 16:01:13:845  收到来车信号，流水号：20201223160113，所有设备开始采集
2020-12-23 16:01:13:905  开启A/D采集
2020-12-23 16:01:39:535  收到离车信号，流水号：20201223160113，线号：14，车号：059060，主控端：0，所有设备停止采集
2020-12-23 16:01:39:561  收到停止采集命令，开始停止采集
2020-12-23 16:01:39:588  停止采集数据
2020-12-23 16:01:39:590  采集连接已断开
2020-12-23 16:01:39:592  开始数据分析和落盘
2020-12-23 16:01:43:766  vibration1完成落盘
2020-12-23 16:01:47:785  vibration2完成落盘
2020-12-23 16:01:51:633  vibration3完成落盘
2020-12-23 16:01:55:338  vibration4完成落盘
2020-12-23 16:01:59:540  vibration5完成落盘
2020-12-23 16:02:03:293  vibration6完成落盘
2020-12-23 16:02:07:267  vibration7完成落盘
2020-12-23 16:02:10:667  vibration8完成落盘
2020-12-23 16:02:14:125  magnetic1完成落盘
2020-12-23 16:02:17:982  magnetic2完成落盘
2020-12-23 16:02:21:442  magnetic3完成落盘
2020-12-23 16:02:24:920  magnetic4完成落盘
2020-12-23 16:02:28:737  temperate1完成落盘
2020-12-23 16:02:32:298  temperate2完成落盘
2020-12-23 16:02:35:925  temperate3完成落盘
2020-12-23 16:02:39:539  temperate4完成落盘
2020-12-23 16:02:39:548  开始处理数据
2020-12-23 16:02:40:046  右侧计算完成
2020-12-23 16:02:40:420  左侧计算完成
2020-12-23 16:02:40:422  检查结果数据
2020-12-23 16:02:40:424  通知桌面显示数据
2020-12-23 16:02:40:437  开始写入数据库
2020-12-23 16:02:40:569  预警及报警参数加载完成
2020-12-23 16:02:40:572  数据库打开成功
2020-12-23 16:02:40:574  train_info数据表写入成功
2020-12-23 16:02:40:576  train_onlyid读取成功
2020-12-23 16:02:40:578  train_data数据表写入成功
2020-12-23 16:02:40:580  vt_info数据表，第0次写入成功
2020-12-23 16:02:40:582  vt_info数据表，第1次写入成功
2020-12-23 16:02:40:584  vt_info数据表，第2次写入成功
2020-12-23 16:02:40:586  vt_info数据表，第3次写入成功
2020-12-23 16:02:40:588  vt_info数据表，第4次写入成功
2020-12-23 16:02:40:590  vt_info数据表，第5次写入成功
2020-12-23 16:02:40:591  vt_info数据表，第6次写入成功
2020-12-23 16:02:40:593  vt_info数据表，第7次写入成功
2020-12-23 16:02:40:595  vt_info数据表，第8次写入成功
2020-12-23 16:02:40:597  vt_info数据表，第9次写入成功
2020-12-23 16:02:40:600  vt_info数据表，第10次写入成功
2020-12-23 16:02:40:602  vt_info数据表，第11次写入成功
2020-12-23 16:02:40:604  vt_info数据表，第12次写入成功
2020-12-23 16:02:40:606  vt_info数据表，第13次写入成功
2020-12-23 16:02:40:608  vt_info数据表，第14次写入成功
2020-12-23 16:02:40:610  vt_info数据表，第15次写入成功
2020-12-23 16:02:40:634  vt_info数据表，第16次写入成功
2020-12-23 16:02:40:636  vt_info数据表，第17次写入成功
2020-12-23 16:02:40:638  vt_info数据表，第18次写入成功
2020-12-23 16:02:40:640  vt_info数据表，第19次写入成功
2020-12-23 16:02:40:642  vt_info数据表，第20次写入成功
2020-12-23 16:02:40:644  vt_info数据表，第21次写入成功
2020-12-23 16:02:40:646  vt_info数据表，第22次写入成功
2020-12-23 16:02:40:648  vt_info数据表，第23次写入成功
2020-12-23 16:02:40:650  vt_info数据表，第24次写入成功
2020-12-23 16:02:40:652  vt_info数据表，第25次写入成功
2020-12-23 16:02:40:654  vt_info数据表，第26次写入成功
2020-12-23 16:02:40:656  vt_info数据表，第27次写入成功
2020-12-23 16:02:40:658  vt_info数据表，第28次写入成功
2020-12-23 16:02:40:660  vt_info数据表，第29次写入成功
2020-12-23 16:02:40:663  vt_info数据表，第30次写入成功
2020-12-23 16:02:40:666  vt_info数据表，第31次写入成功
2020-12-23 16:02:40:668  vt_info数据表，第32次写入成功
2020-12-23 16:02:40:690  vt_info数据表，第33次写入成功
2020-12-23 16:02:40:694  vt_info数据表，第34次写入成功
2020-12-23 16:02:40:696  vt_info数据表，第35次写入成功
2020-12-23 16:02:40:698  vt_info数据表，第36次写入成功
2020-12-23 16:02:40:700  vt_info数据表，第37次写入成功
2020-12-23 16:02:40:702  vt_info数据表，第38次写入成功
2020-12-23 16:02:40:704  vt_info数据表，第39次写入成功
2020-12-23 16:02:40:706  vt_info数据表，第40次写入成功
2020-12-23 16:02:40:708  vt_info数据表，第41次写入成功
2020-12-23 16:02:40:710  vt_info数据表，第42次写入成功
2020-12-23 16:02:40:712  vt_info数据表，第43次写入成功
2020-12-23 16:02:40:714  vt_info数据表，第44次写入成功
2020-12-23 16:02:40:716  vt_info数据表，第45次写入成功
2020-12-23 16:02:40:718  vt_info数据表，第46次写入成功
2020-12-23 16:02:40:720  vt_info数据表，第47次写入成功
2020-12-23 16:02:40:722  motor_info数据表，第0次写入成功
2020-12-23 16:02:40:756  motor_info数据表，第1次写入成功
2020-12-23 16:02:40:758  motor_info数据表，第2次写入成功
2020-12-23 16:02:40:760  motor_info数据表，第3次写入成功
2020-12-23 16:02:40:762  motor_info数据表，第4次写入成功
2020-12-23 16:02:40:765  motor_info数据表，第5次写入成功
2020-12-23 16:02:40:767  motor_info数据表，第6次写入成功
2020-12-23 16:02:40:769  motor_info数据表，第7次写入成功
2020-12-23 16:02:40:771  motor_info数据表，第8次写入成功
2020-12-23 16:02:40:773  motor_info数据表，第9次写入成功
2020-12-23 16:02:40:775  motor_info数据表，第10次写入成功
2020-12-23 16:02:40:777  motor_info数据表，第11次写入成功
2020-12-23 16:02:40:779  motor_info数据表，第12次写入成功
2020-12-23 16:02:40:781  motor_info数据表，第13次写入成功
2020-12-23 16:02:40:783  motor_info数据表，第14次写入成功
2020-12-23 16:02:40:785  motor_info数据表，第15次写入成功
2020-12-23 16:02:40:787  数据库关闭！
2020-12-23 16:11:43:846  收到来车信号，流水号：20201223161143，所有设备开始采集
2020-12-23 16:11:43:904  开启A/D采集
2020-12-23 16:12:09:375  收到离车信号，流水号：20201223161143，线号：14，车号：053054，主控端：0，所有设备停止采集
2020-12-23 16:12:09:401  收到停止采集命令，开始停止采集
2020-12-23 16:12:09:430  停止采集数据
2020-12-23 16:12:09:432  采集连接已断开
2020-12-23 16:12:09:434  开始数据分析和落盘
2020-12-23 16:12:14:279  vibration1完成落盘
2020-12-23 16:12:18:220  vibration2完成落盘
2020-12-23 16:12:22:657  vibration3完成落盘
2020-12-23 16:12:27:022  vibration4完成落盘
2020-12-23 16:12:30:934  vibration5完成落盘
2020-12-23 16:12:35:156  vibration6完成落盘
2020-12-23 16:12:39:421  vibration7完成落盘
2020-12-23 16:12:43:481  vibration8完成落盘
2020-12-23 16:12:47:163  magnetic1完成落盘
2020-12-23 16:12:51:198  magnetic2完成落盘
2020-12-23 16:12:55:448  magnetic3完成落盘
2020-12-23 16:12:59:877  magnetic4完成落盘
2020-12-23 16:13:03:672  temperate1完成落盘
2020-12-23 16:13:07:621  temperate2完成落盘
2020-12-23 16:13:11:458  temperate3完成落盘
2020-12-23 16:13:15:770  temperate4完成落盘
2020-12-23 16:13:15:779  开始处理数据
2020-12-23 16:13:16:415  右侧计算完成
2020-12-23 16:13:16:914  左侧计算完成
2020-12-23 16:13:16:916  检查结果数据
2020-12-23 16:13:16:918  通知桌面显示数据
2020-12-23 16:13:16:935  开始写入数据库
2020-12-23 16:13:16:957  预警及报警参数加载完成
2020-12-23 16:13:16:959  数据库打开成功
2020-12-23 16:13:17:098  train_info数据表写入成功
2020-12-23 16:13:17:100  train_onlyid读取成功
2020-12-23 16:13:17:102  train_data数据表写入成功
2020-12-23 16:13:17:104  vt_info数据表，第0次写入成功
2020-12-23 16:13:17:106  vt_info数据表，第1次写入成功
2020-12-23 16:13:17:108  vt_info数据表，第2次写入成功
2020-12-23 16:13:17:110  vt_info数据表，第3次写入成功
2020-12-23 16:13:17:112  vt_info数据表，第4次写入成功
2020-12-23 16:13:17:114  vt_info数据表，第5次写入成功
2020-12-23 16:13:17:116  vt_info数据表，第6次写入成功
2020-12-23 16:13:17:118  vt_info数据表，第7次写入成功
2020-12-23 16:13:17:120  vt_info数据表，第8次写入成功
2020-12-23 16:13:17:122  vt_info数据表，第9次写入成功
2020-12-23 16:13:17:124  vt_info数据表，第10次写入成功
2020-12-23 16:13:17:126  vt_info数据表，第11次写入成功
2020-12-23 16:13:17:128  vt_info数据表，第12次写入成功
2020-12-23 16:13:17:130  vt_info数据表，第13次写入成功
2020-12-23 16:13:17:133  vt_info数据表，第14次写入成功
2020-12-23 16:13:17:134  vt_info数据表，第15次写入成功
2020-12-23 16:13:17:136  vt_info数据表，第16次写入成功
2020-12-23 16:13:17:138  vt_info数据表，第17次写入成功
2020-12-23 16:13:17:140  vt_info数据表，第18次写入成功
2020-12-23 16:13:17:143  vt_info数据表，第19次写入成功
2020-12-23 16:13:17:145  vt_info数据表，第20次写入成功
2020-12-23 16:13:17:169  vt_info数据表，第21次写入成功
