2020-12-22 05:22:47:942  收到来车信号，流水号：20201222052247，所有设备开始采集
2020-12-22 05:22:47:999  开启A/D采集
2020-12-22 05:23:22:239  收到离车信号，流水号：20201222052247，线号：14，车号：059060，主控端：0，所有设备停止采集
2020-12-22 05:23:22:263  收到停止采集命令，开始停止采集
2020-12-22 05:23:22:290  停止采集数据
2020-12-22 05:23:22:292  采集连接已断开
2020-12-22 05:23:22:294  开始数据分析和落盘
2020-12-22 05:23:28:418  vibration1完成落盘
2020-12-22 05:23:33:831  vibration2完成落盘
2020-12-22 05:23:39:365  vibration3完成落盘
2020-12-22 05:23:44:520  vibration4完成落盘
2020-12-22 05:23:50:175  vibration5完成落盘
2020-12-22 05:23:54:875  vibration6完成落盘
2020-12-22 05:23:59:634  vibration7完成落盘
2020-12-22 05:24:04:813  vibration8完成落盘
2020-12-22 05:24:10:053  magnetic1完成落盘
2020-12-22 05:24:14:951  magnetic2完成落盘
2020-12-22 05:24:20:140  magnetic3完成落盘
2020-12-22 05:24:25:228  magnetic4完成落盘
2020-12-22 05:24:30:490  temperate1完成落盘
2020-12-22 05:24:35:263  temperate2完成落盘
2020-12-22 05:24:40:272  temperate3完成落盘
2020-12-22 05:24:45:376  temperate4完成落盘
2020-12-22 05:24:45:385  开始处理数据
2020-12-22 05:24:46:287  右侧计算完成
2020-12-22 05:24:47:058  左侧计算完成
2020-12-22 05:24:47:060  检查结果数据
2020-12-22 05:24:47:062  通知桌面显示数据
2020-12-22 05:24:47:074  开始写入数据库
2020-12-22 05:24:47:180  预警及报警参数加载完成
2020-12-22 05:24:47:181  数据库打开成功
2020-12-22 05:24:47:182  train_info数据表写入成功
2020-12-22 05:24:47:183  train_onlyid读取成功
2020-12-22 05:24:47:185  train_data数据表写入成功
2020-12-22 05:24:47:187  vt_info数据表，第0次写入成功
2020-12-22 05:24:47:188  vt_info数据表，第1次写入成功
2020-12-22 05:24:47:190  vt_info数据表，第2次写入成功
2020-12-22 05:24:47:210  vt_info数据表，第3次写入成功
