2020-12-30 12:16:44:295  收到来车信号，流水号：20201230121644，所有设备开始采集
2020-12-30 12:16:44:381  开启A/D采集
2020-12-30 12:17:24:105  收到离车信号，流水号：20201230121644，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-30 12:17:24:137  收到停止采集命令，开始停止采集
2020-12-30 12:17:24:171  停止采集数据
2020-12-30 12:17:24:173  采集连接已断开
2020-12-30 12:17:24:175  开始数据分析和落盘
2020-12-30 12:17:31:833  vibration1完成落盘
2020-12-30 12:17:38:247  vibration2完成落盘
2020-12-30 12:17:44:412  vibration3完成落盘
2020-12-30 12:17:50:407  vibration4完成落盘
2020-12-30 12:17:56:228  vibration5完成落盘
2020-12-30 12:18:02:510  vibration6完成落盘
2020-12-30 12:18:08:565  vibration7完成落盘
2020-12-30 12:18:14:018  vibration8完成落盘
2020-12-30 12:18:20:334  magnetic1完成落盘
2020-12-30 12:18:26:752  magnetic2完成落盘
2020-12-30 12:18:32:995  magnetic3完成落盘
2020-12-30 12:18:39:562  magnetic4完成落盘
2020-12-30 12:18:45:315  temperate1完成落盘
2020-12-30 12:18:51:749  temperate2完成落盘
2020-12-30 12:18:57:975  temperate3完成落盘
2020-12-30 12:19:03:746  temperate4完成落盘
2020-12-30 12:19:03:754  开始处理数据
2020-12-30 12:19:04:310  右侧计算完成
2020-12-30 12:19:04:698  左侧计算完成
2020-12-30 12:19:04:700  检查结果数据
2020-12-30 12:19:04:704  通知桌面显示数据
2020-12-30 12:19:04:718  开始写入数据库
2020-12-30 12:19:04:744  预警及报警参数加载完成
2020-12-30 12:19:04:746  数据库打开成功
2020-12-30 12:19:04:748  train_info数据表写入成功
2020-12-30 12:19:04:750  train_onlyid读取成功
2020-12-30 12:19:04:916  train_data数据表写入成功
2020-12-30 12:19:04:918  train_fault数据表写入1、1成功
2020-12-30 12:19:04:920  train_fault数据表写入2、1成功
2020-12-30 12:19:04:922  train_fault数据表写入3、1成功
2020-12-30 12:19:04:924  vt_info数据表，第0次写入成功
2020-12-30 12:19:04:926  vt_info数据表，第1次写入成功
2020-12-30 12:19:04:926  vt_info数据表，第2次写入成功
2020-12-30 12:19:04:928  vt_info数据表，第3次写入成功
2020-12-30 12:19:04:930  vt_info数据表，第4次写入成功
2020-12-30 12:19:04:932  vt_info数据表，第5次写入成功
2020-12-30 12:19:04:934  vt_info数据表，第6次写入成功
2020-12-30 12:19:04:936  vt_info数据表，第7次写入成功
2020-12-30 12:19:04:938  vt_info数据表，第8次写入成功
2020-12-30 12:19:04:940  vt_info数据表，第9次写入成功
2020-12-30 12:19:04:942  vt_info数据表，第10次写入成功
2020-12-30 12:19:04:944  vt_info数据表，第11次写入成功
2020-12-30 12:19:04:946  vt_info数据表，第12次写入成功
2020-12-30 12:19:04:948  vt_info数据表，第13次写入成功
2020-12-30 12:19:04:950  vt_info数据表，第14次写入成功
2020-12-30 12:19:04:952  vt_info数据表，第15次写入成功
2020-12-30 12:19:04:954  vt_info数据表，第16次写入成功
2020-12-30 12:19:04:956  vt_info数据表，第17次写入成功
2020-12-30 12:19:04:958  vt_info数据表，第18次写入成功
2020-12-30 12:19:04:960  vt_info数据表，第19次写入成功
2020-12-30 12:19:04:962  vt_info数据表，第20次写入成功
2020-12-30 12:19:04:964  vt_info数据表，第21次写入成功
2020-12-30 12:19:04:966  vt_info数据表，第22次写入成功
2020-12-30 12:19:04:968  vt_info数据表，第23次写入成功
2020-12-30 12:19:04:970  vt_info数据表，第24次写入成功
2020-12-30 12:19:04:972  vt_info数据表，第25次写入成功
2020-12-30 12:19:04:974  vt_info数据表，第26次写入成功
2020-12-30 12:19:04:992  vt_info数据表，第27次写入成功
2020-12-30 12:19:04:994  vt_info数据表，第28次写入成功
2020-12-30 12:19:04:996  vt_info数据表，第29次写入成功
2020-12-30 12:19:04:998  vt_info数据表，第30次写入成功
2020-12-30 12:19:05:000  vt_info数据表，第31次写入成功
2020-12-30 12:19:05:002  vt_info数据表，第32次写入成功
2020-12-30 12:19:05:004  vt_info数据表，第33次写入成功
2020-12-30 12:19:05:006  vt_info数据表，第34次写入成功
2020-12-30 12:19:05:008  vt_info数据表，第35次写入成功
2020-12-30 12:19:05:010  vt_info数据表，第36次写入成功
2020-12-30 12:19:05:012  vt_info数据表，第37次写入成功
2020-12-30 12:19:05:014  vt_info数据表，第38次写入成功
2020-12-30 12:19:05:016  vt_info数据表，第39次写入成功
2020-12-30 12:19:05:018  vt_info数据表，第40次写入成功
2020-12-30 12:19:05:020  vt_info数据表，第41次写入成功
2020-12-30 12:19:05:022  vt_info数据表，第42次写入成功
2020-12-30 12:19:05:024  vt_info数据表，第43次写入成功
2020-12-30 12:19:05:052  vt_info数据表，第44次写入成功
2020-12-30 12:19:05:054  vt_info数据表，第45次写入成功
2020-12-30 12:19:05:056  vt_info数据表，第46次写入成功
2020-12-30 12:19:05:058  vt_info数据表，第47次写入成功
2020-12-30 12:19:05:060  motor_info数据表，第0次写入成功
2020-12-30 12:19:05:062  motor_info数据表，第1次写入成功
