2020-12-17 09:02:46:194  收到来车信号，流水号：20201217090246，所有设备开始采集
2020-12-17 09:02:46:379  开启A/D采集
2020-12-17 09:03:12:070  收到离车信号，流水号：20201217090246，线号：14，车号：031032，主控端：1，所有设备停止采集
2020-12-17 09:03:12:095  收到停止采集命令，开始停止采集
2020-12-17 09:03:12:122  停止采集数据
2020-12-17 09:03:12:124  采集连接已断开
2020-12-17 09:03:12:126  开始数据分析和落盘
2020-12-17 09:03:38:760  vibration1完成落盘
2020-12-17 09:04:00:529  vibration2完成落盘
2020-12-17 09:04:22:948  vibration3完成落盘
2020-12-17 09:04:43:814  vibration4完成落盘
2020-12-17 09:05:06:103  vibration5完成落盘
2020-12-17 09:05:28:595  vibration6完成落盘
2020-12-17 09:05:50:254  vibration7完成落盘
2020-12-17 09:06:12:765  vibration8完成落盘
2020-12-17 09:06:34:479  magnetic1完成落盘
2020-12-17 09:06:56:155  magnetic2完成落盘
2020-12-17 09:07:18:300  magnetic3完成落盘
2020-12-17 09:07:39:985  magnetic4完成落盘
2020-12-17 09:08:02:609  temperate1完成落盘
2020-12-17 09:08:23:842  temperate2完成落盘
2020-12-17 09:08:46:177  temperate3完成落盘
2020-12-17 09:09:08:253  temperate4完成落盘
2020-12-17 09:09:08:262  开始处理数据
2020-12-17 09:09:09:339  右侧计算完成
2020-12-17 09:09:09:771  左侧计算完成
2020-12-17 09:09:09:773  检查结果数据
2020-12-17 09:09:09:775  通知桌面显示数据
2020-12-17 09:09:09:793  开始写入数据库
2020-12-17 09:09:09:815  预警及报警参数加载完成
2020-12-17 09:09:09:817  数据库打开成功
2020-12-17 09:09:09:981  train_info数据表写入成功
2020-12-17 09:09:09:983  train_onlyid读取成功
2020-12-17 09:09:09:985  train_data数据表写入成功
2020-12-17 09:09:09:987  vt_info数据表，第0次写入成功
2020-12-17 09:09:09:989  vt_info数据表，第1次写入成功
2020-12-17 09:09:09:991  vt_info数据表，第2次写入成功
2020-12-17 09:09:09:993  vt_info数据表，第3次写入成功
2020-12-17 09:09:09:995  vt_info数据表，第4次写入成功
2020-12-17 09:09:09:997  vt_info数据表，第5次写入成功
2020-12-17 09:09:10:000  vt_info数据表，第6次写入成功
2020-12-17 09:09:10:001  vt_info数据表，第7次写入成功
2020-12-17 09:09:10:003  vt_info数据表，第8次写入成功
2020-12-17 09:09:10:005  vt_info数据表，第9次写入成功
2020-12-17 09:09:10:007  vt_info数据表，第10次写入成功
