2022-07-07 00:11:37:824  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-07 00:11:37:863  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-07 00:11:37:869  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-07 00:11:37:875  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:877  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:878  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:880  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:881  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:882  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:891  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:892  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:11:37:894  车速为：22.0154位置标记为：1
2022-07-07 00:11:37:904  vibrationCalculate:计算完成, 位置标记：1
2022-07-07 00:11:38:004  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-07 00:11:38:067  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-07 00:11:38:072  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-07 00:11:38:079  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-07 00:11:38:084  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:086  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:088  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:090  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:092  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:094  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:096  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:097  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-07 00:11:38:099  车速为：22.0154位置标记为：0
2022-07-07 00:11:38:109  vibrationCalculate:计算完成, 位置标记：0
2022-07-07 00:11:38:204  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-07 00:18:57:682  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-07 00:18:57:689  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-07 00:18:57:695  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-07 00:18:57:701  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:702  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:704  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:705  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:707  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:708  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:709  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-07 00:18:57:711  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
