2020-12-28 07:02:31:908  收到来车信号，流水号：20201228070231，所有设备开始采集
2020-12-28 07:02:31:944  开启A/D采集
2020-12-28 07:02:57:403  收到离车信号，流水号：20201228070231，线号：14，车号：059060，主控端：0，所有设备停止采集
2020-12-28 07:02:57:405  收到停止采集命令，开始停止采集
2020-12-28 07:02:57:412  停止采集数据
2020-12-28 07:02:57:414  采集连接已断开
2020-12-28 07:02:57:416  开始数据分析和落盘
2020-12-28 07:03:02:050  vibration1完成落盘
2020-12-28 07:03:06:045  vibration2完成落盘
2020-12-28 07:03:10:225  vibration3完成落盘
2020-12-28 07:03:13:821  vibration4完成落盘
2020-12-28 07:03:17:612  vibration5完成落盘
2020-12-28 07:03:21:447  vibration6完成落盘
2020-12-28 07:03:25:018  vibration7完成落盘
2020-12-28 07:03:28:665  vibration8完成落盘
2020-12-28 07:03:32:443  magnetic1完成落盘
2020-12-28 07:03:36:610  magnetic2完成落盘
2020-12-28 07:03:40:446  magnetic3完成落盘
2020-12-28 07:03:44:496  magnetic4完成落盘
2020-12-28 07:03:48:285  temperate1完成落盘
2020-12-28 07:03:51:909  temperate2完成落盘
2020-12-28 07:03:55:268  temperate3完成落盘
2020-12-28 07:03:58:955  temperate4完成落盘
2020-12-28 07:03:58:965  开始处理数据
2020-12-28 07:03:59:595  右侧计算完成
2020-12-28 07:04:00:108  左侧计算完成
2020-12-28 07:04:00:109  检查结果数据
2020-12-28 07:04:00:111  通知桌面显示数据
2020-12-28 07:04:00:127  开始写入数据库
2020-12-28 07:04:00:146  预警及报警参数加载完成
2020-12-28 07:04:00:148  数据库打开成功
2020-12-28 07:04:00:150  train_info数据表写入成功
2020-12-28 07:04:00:212  train_onlyid读取成功
2020-12-28 07:04:00:216  train_data数据表写入成功
2020-12-28 07:04:00:220  vt_info数据表，第0次写入成功
2020-12-28 07:04:00:224  vt_info数据表，第1次写入成功
2020-12-28 07:04:00:227  vt_info数据表，第2次写入成功
2020-12-28 07:04:00:231  vt_info数据表，第3次写入成功
2020-12-28 07:04:00:235  vt_info数据表，第4次写入成功
2020-12-28 07:04:00:238  vt_info数据表，第5次写入成功
2020-12-28 07:04:00:242  vt_info数据表，第6次写入成功
2020-12-28 07:04:00:246  vt_info数据表，第7次写入成功
2020-12-28 07:04:00:249  vt_info数据表，第8次写入成功
2020-12-28 07:04:00:253  vt_info数据表，第9次写入成功
2020-12-28 07:04:00:257  vt_info数据表，第10次写入成功
2020-12-28 07:04:00:260  vt_info数据表，第11次写入成功
2020-12-28 07:04:00:264  vt_info数据表，第12次写入成功
2020-12-28 07:04:00:268  vt_info数据表，第13次写入成功
2020-12-28 07:04:00:271  vt_info数据表，第14次写入成功
2020-12-28 07:04:00:275  vt_info数据表，第15次写入成功
2020-12-28 07:04:00:278  vt_info数据表，第16次写入成功
2020-12-28 07:04:00:282  vt_info数据表，第17次写入成功
2020-12-28 07:04:00:285  vt_info数据表，第18次写入成功
2020-12-28 07:04:00:289  vt_info数据表，第19次写入成功
2020-12-28 07:04:00:293  vt_info数据表，第20次写入成功
2020-12-28 07:04:00:296  vt_info数据表，第21次写入成功
2020-12-28 07:04:00:300  vt_info数据表，第22次写入成功
2020-12-28 07:04:00:304  vt_info数据表，第23次写入成功
2020-12-28 07:04:00:307  vt_info数据表，第24次写入成功
2020-12-28 07:04:00:311  vt_info数据表，第25次写入成功
2020-12-28 07:04:00:315  vt_info数据表，第26次写入成功
2020-12-28 07:04:00:318  vt_info数据表，第27次写入成功
2020-12-28 07:04:00:322  vt_info数据表，第28次写入成功
2020-12-28 07:04:00:325  vt_info数据表，第29次写入成功
2020-12-28 07:04:00:329  vt_info数据表，第30次写入成功
2020-12-28 07:04:00:333  vt_info数据表，第31次写入成功
2020-12-28 07:04:00:336  vt_info数据表，第32次写入成功
2020-12-28 07:04:00:340  vt_info数据表，第33次写入成功
2020-12-28 07:04:00:344  vt_info数据表，第34次写入成功
2020-12-28 07:04:00:347  vt_info数据表，第35次写入成功
2020-12-28 07:04:00:351  vt_info数据表，第36次写入成功
2020-12-28 07:04:00:355  vt_info数据表，第37次写入成功
2020-12-28 07:04:00:358  vt_info数据表，第38次写入成功
2020-12-28 07:04:00:362  vt_info数据表，第39次写入成功
2020-12-28 07:04:00:365  vt_info数据表，第40次写入成功
2020-12-28 07:04:00:369  vt_info数据表，第41次写入成功
2020-12-28 07:04:00:372  vt_info数据表，第42次写入成功
2020-12-28 07:04:00:376  vt_info数据表，第43次写入成功
2020-12-28 07:04:00:380  vt_info数据表，第44次写入成功
2020-12-28 07:04:00:383  vt_info数据表，第45次写入成功
2020-12-28 07:04:00:387  vt_info数据表，第46次写入成功
2020-12-28 07:04:00:391  vt_info数据表，第47次写入成功
2020-12-28 07:04:00:393  motor_info数据表，第0次写入成功
2020-12-28 07:04:00:396  motor_info数据表，第1次写入成功
2020-12-28 07:04:00:399  motor_info数据表，第2次写入成功
2020-12-28 07:04:00:402  motor_info数据表，第3次写入成功
2020-12-28 07:04:00:404  motor_info数据表，第4次写入成功
2020-12-28 07:04:00:407  motor_info数据表，第5次写入成功
2020-12-28 07:04:00:409  motor_info数据表，第6次写入成功
2020-12-28 07:04:00:412  motor_info数据表，第7次写入成功
2020-12-28 07:04:00:415  motor_info数据表，第8次写入成功
2020-12-28 07:04:00:417  motor_info数据表，第9次写入成功
2020-12-28 07:04:00:420  motor_info数据表，第10次写入成功
2020-12-28 07:04:00:423  motor_info数据表，第11次写入成功
2020-12-28 07:04:00:425  motor_info数据表，第12次写入成功
2020-12-28 07:04:00:428  motor_info数据表，第13次写入成功
2020-12-28 07:04:00:431  motor_info数据表，第14次写入成功
2020-12-28 07:04:00:444  motor_info数据表，第15次写入成功
2020-12-28 07:04:00:446  数据库关闭！
2020-12-28 07:12:44:804  收到来车信号，流水号：20201228071244，所有设备开始采集
2020-12-28 07:12:44:839  开启A/D采集
2020-12-28 07:13:10:503  收到离车信号，流水号：20201228071244，线号：14，车号：043044，主控端：1，所有设备停止采集
2020-12-28 07:13:10:505  收到停止采集命令，开始停止采集
2020-12-28 07:13:10:508  停止采集数据
2020-12-28 07:13:10:510  采集连接已断开
2020-12-28 07:13:10:512  开始数据分析和落盘
