2020-12-16 23:03:07:516  收到来车信号，流水号：20201216230307，所有设备开始采集
2020-12-16 23:03:07:551  开启A/D采集
2020-12-16 23:03:33:011  收到离车信号，流水号：20201216230307，线号：14，车号：057058，主控端：0，所有设备停止采集
2020-12-16 23:03:33:013  收到停止采集命令，开始停止采集
2020-12-16 23:03:33:019  停止采集数据
2020-12-16 23:03:33:021  采集连接已断开
2020-12-16 23:03:33:023  开始数据分析和落盘
2020-12-16 23:03:37:096  vibration1完成落盘
2020-12-16 23:03:41:395  vibration2完成落盘
2020-12-16 23:03:45:209  vibration3完成落盘
2020-12-16 23:03:49:077  vibration4完成落盘
2020-12-16 23:03:53:010  vibration5完成落盘
2020-12-16 23:03:56:450  vibration6完成落盘
2020-12-16 23:04:00:362  vibration7完成落盘
2020-12-16 23:04:03:805  vibration8完成落盘
2020-12-16 23:04:07:442  magnetic1完成落盘
2020-12-16 23:04:11:144  magnetic2完成落盘
2020-12-16 23:04:15:103  magnetic3完成落盘
2020-12-16 23:04:18:739  magnetic4完成落盘
2020-12-16 23:04:22:658  temperate1完成落盘
2020-12-16 23:04:26:156  temperate2完成落盘
2020-12-16 23:04:30:359  temperate3完成落盘
2020-12-16 23:04:33:877  temperate4完成落盘
2020-12-16 23:04:33:886  开始处理数据
2020-12-16 23:04:34:210  右侧计算完成
2020-12-16 23:04:34:439  左侧计算完成
2020-12-16 23:04:34:441  检查结果数据
2020-12-16 23:04:34:443  通知桌面显示数据
2020-12-16 23:04:34:460  开始写入数据库
2020-12-16 23:04:34:480  预警及报警参数加载完成
2020-12-16 23:04:34:482  数据库打开成功
2020-12-16 23:04:34:484  train_info数据表写入成功
2020-12-16 23:04:34:544  train_onlyid读取成功
2020-12-16 23:04:34:548  train_data数据表写入成功
2020-12-16 23:04:34:552  vt_info数据表，第0次写入成功
2020-12-16 23:04:34:555  vt_info数据表，第1次写入成功
2020-12-16 23:04:34:559  vt_info数据表，第2次写入成功
2020-12-16 23:04:34:563  vt_info数据表，第3次写入成功
2020-12-16 23:04:34:566  vt_info数据表，第4次写入成功
2020-12-16 23:04:34:570  vt_info数据表，第5次写入成功
2020-12-16 23:04:34:574  vt_info数据表，第6次写入成功
2020-12-16 23:04:34:578  vt_info数据表，第7次写入成功
2020-12-16 23:04:34:581  vt_info数据表，第8次写入成功
2020-12-16 23:04:34:585  vt_info数据表，第9次写入成功
2020-12-16 23:04:34:589  vt_info数据表，第10次写入成功
2020-12-16 23:04:34:592  vt_info数据表，第11次写入成功
2020-12-16 23:04:34:596  vt_info数据表，第12次写入成功
2020-12-16 23:04:34:599  vt_info数据表，第13次写入成功
2020-12-16 23:04:34:603  vt_info数据表，第14次写入成功
2020-12-16 23:04:34:607  vt_info数据表，第15次写入成功
2020-12-16 23:04:34:610  vt_info数据表，第16次写入成功
2020-12-16 23:04:34:614  vt_info数据表，第17次写入成功
2020-12-16 23:04:34:618  vt_info数据表，第18次写入成功
2020-12-16 23:04:34:621  vt_info数据表，第19次写入成功
2020-12-16 23:04:34:625  vt_info数据表，第20次写入成功
2020-12-16 23:04:34:629  vt_info数据表，第21次写入成功
2020-12-16 23:04:34:632  vt_info数据表，第22次写入成功
2020-12-16 23:04:34:636  vt_info数据表，第23次写入成功
2020-12-16 23:04:34:640  vt_info数据表，第24次写入成功
2020-12-16 23:04:34:643  vt_info数据表，第25次写入成功
2020-12-16 23:04:34:647  vt_info数据表，第26次写入成功
2020-12-16 23:04:34:651  vt_info数据表，第27次写入成功
2020-12-16 23:04:34:654  vt_info数据表，第28次写入成功
2020-12-16 23:04:34:658  vt_info数据表，第29次写入成功
2020-12-16 23:04:34:661  vt_info数据表，第30次写入成功
2020-12-16 23:04:34:665  vt_info数据表，第31次写入成功
2020-12-16 23:04:34:669  vt_info数据表，第32次写入成功
2020-12-16 23:04:34:673  vt_info数据表，第33次写入成功
2020-12-16 23:04:34:676  vt_info数据表，第34次写入成功
2020-12-16 23:04:34:680  vt_info数据表，第35次写入成功
2020-12-16 23:04:34:684  vt_info数据表，第36次写入成功
2020-12-16 23:04:34:687  vt_info数据表，第37次写入成功
2020-12-16 23:04:34:691  vt_info数据表，第38次写入成功
2020-12-16 23:04:34:695  vt_info数据表，第39次写入成功
2020-12-16 23:04:34:698  vt_info数据表，第40次写入成功
2020-12-16 23:04:34:702  vt_info数据表，第41次写入成功
2020-12-16 23:04:34:706  vt_info数据表，第42次写入成功
2020-12-16 23:04:34:709  vt_info数据表，第43次写入成功
2020-12-16 23:04:34:713  vt_info数据表，第44次写入成功
2020-12-16 23:04:34:717  vt_info数据表，第45次写入成功
2020-12-16 23:04:34:720  vt_info数据表，第46次写入成功
2020-12-16 23:04:34:724  vt_info数据表，第47次写入成功
2020-12-16 23:04:34:727  motor_info数据表，第0次写入成功
2020-12-16 23:04:34:729  motor_info数据表，第1次写入成功
2020-12-16 23:04:34:732  motor_info数据表，第2次写入成功
2020-12-16 23:04:34:735  motor_info数据表，第3次写入成功
2020-12-16 23:04:34:737  motor_info数据表，第4次写入成功
2020-12-16 23:04:34:740  motor_info数据表，第5次写入成功
2020-12-16 23:04:34:743  motor_info数据表，第6次写入成功
2020-12-16 23:04:34:745  motor_info数据表，第7次写入成功
2020-12-16 23:04:34:748  motor_info数据表，第8次写入成功
2020-12-16 23:04:34:750  motor_info数据表，第9次写入成功
2020-12-16 23:04:34:753  motor_info数据表，第10次写入成功
2020-12-16 23:04:34:756  motor_info数据表，第11次写入成功
2020-12-16 23:04:34:759  motor_info数据表，第12次写入成功
2020-12-16 23:04:34:761  motor_info数据表，第13次写入成功
2020-12-16 23:04:34:764  motor_info数据表，第14次写入成功
2020-12-16 23:04:34:777  motor_info数据表，第15次写入成功
2020-12-16 23:04:34:779  数据库关闭！
2020-12-16 23:37:44:116  收到来车信号，流水号：20201216233744，所有设备开始采集
2020-12-16 23:37:44:151  开启A/D采集
2020-12-16 23:38:01:511  收到离车信号，流水号：20201216233744，线号：14，车号：053054，主控端：0，所有设备停止采集
2020-12-16 23:38:01:513  收到停止采集命令，开始停止采集
2020-12-16 23:38:01:518  停止采集数据
2020-12-16 23:38:01:520  采集连接已断开
2020-12-16 23:38:01:522  开始数据分析和落盘
2020-12-16 23:38:04:795  vibration1完成落盘
2020-12-16 23:38:07:267  vibration2完成落盘
2020-12-16 23:38:10:068  vibration3完成落盘
2020-12-16 23:38:12:584  vibration4完成落盘
2020-12-16 23:38:15:190  vibration5完成落盘
2020-12-16 23:38:17:568  vibration6完成落盘
2020-12-16 23:38:20:252  vibration7完成落盘
2020-12-16 23:38:22:841  vibration8完成落盘
2020-12-16 23:38:25:666  magnetic1完成落盘
2020-12-16 23:38:28:137  magnetic2完成落盘
2020-12-16 23:38:30:894  magnetic3完成落盘
2020-12-16 23:38:33:448  magnetic4完成落盘
2020-12-16 23:38:36:311  temperate1完成落盘
2020-12-16 23:38:38:777  temperate2完成落盘
2020-12-16 23:38:41:288  temperate3完成落盘
2020-12-16 23:38:43:552  temperate4完成落盘
2020-12-16 23:38:43:560  开始处理数据
2020-12-16 23:38:43:696  右侧计算完成
2020-12-16 23:38:43:789  左侧计算完成
2020-12-16 23:38:43:791  检查结果数据
2020-12-16 23:38:43:793  通知桌面显示数据
2020-12-16 23:38:43:810  开始写入数据库
2020-12-16 23:38:43:831  预警及报警参数加载完成
2020-12-16 23:38:43:833  数据库打开成功
2020-12-16 23:38:43:835  train_info数据表写入成功
2020-12-16 23:38:43:894  train_onlyid读取成功
2020-12-16 23:38:43:898  train_data数据表写入成功
2020-12-16 23:38:43:902  vt_info数据表，第0次写入成功
2020-12-16 23:38:43:906  vt_info数据表，第1次写入成功
2020-12-16 23:38:43:910  vt_info数据表，第2次写入成功
2020-12-16 23:38:43:913  vt_info数据表，第3次写入成功
2020-12-16 23:38:43:917  vt_info数据表，第4次写入成功
2020-12-16 23:38:43:921  vt_info数据表，第5次写入成功
2020-12-16 23:38:43:924  vt_info数据表，第6次写入成功
2020-12-16 23:38:43:928  vt_info数据表，第7次写入成功
2020-12-16 23:38:43:932  vt_info数据表，第8次写入成功
2020-12-16 23:38:43:935  vt_info数据表，第9次写入成功
2020-12-16 23:38:43:939  vt_info数据表，第10次写入成功
2020-12-16 23:38:43:943  vt_info数据表，第11次写入成功
2020-12-16 23:38:43:946  vt_info数据表，第12次写入成功
2020-12-16 23:38:43:950  vt_info数据表，第13次写入成功
2020-12-16 23:38:43:954  vt_info数据表，第14次写入成功
2020-12-16 23:38:43:958  vt_info数据表，第15次写入成功
2020-12-16 23:38:43:961  vt_info数据表，第16次写入成功
2020-12-16 23:38:43:965  vt_info数据表，第17次写入成功
2020-12-16 23:38:43:969  vt_info数据表，第18次写入成功
2020-12-16 23:38:43:973  vt_info数据表，第19次写入成功
2020-12-16 23:38:43:976  vt_info数据表，第20次写入成功
2020-12-16 23:38:43:980  vt_info数据表，第21次写入成功
2020-12-16 23:38:43:983  vt_info数据表，第22次写入成功
2020-12-16 23:38:43:987  vt_info数据表，第23次写入成功
2020-12-16 23:38:43:991  vt_info数据表，第24次写入成功
2020-12-16 23:38:43:994  vt_info数据表，第25次写入成功
2020-12-16 23:38:43:998  vt_info数据表，第26次写入成功
2020-12-16 23:38:44:002  vt_info数据表，第27次写入成功
2020-12-16 23:38:44:006  vt_info数据表，第28次写入成功
2020-12-16 23:38:44:009  vt_info数据表，第29次写入成功
2020-12-16 23:38:44:013  vt_info数据表，第30次写入成功
2020-12-16 23:38:44:017  vt_info数据表，第31次写入成功
2020-12-16 23:38:44:020  vt_info数据表，第32次写入成功
2020-12-16 23:38:44:024  vt_info数据表，第33次写入成功
2020-12-16 23:38:44:027  vt_info数据表，第34次写入成功
2020-12-16 23:38:44:031  vt_info数据表，第35次写入成功
2020-12-16 23:38:44:035  vt_info数据表，第36次写入成功
2020-12-16 23:38:44:038  vt_info数据表，第37次写入成功
2020-12-16 23:38:44:042  vt_info数据表，第38次写入成功
2020-12-16 23:38:44:046  vt_info数据表，第39次写入成功
2020-12-16 23:38:44:049  vt_info数据表，第40次写入成功
