2022-07-20 17:09:01:430  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-20 17:09:01:434  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:09:01:444  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-20 17:09:01:452  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:454  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:456  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:458  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:460  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:462  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:464  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:466  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:09:01:466  车速为：72.2513位置标记为：1
2022-07-20 17:09:01:472  vibrationCalculate:计算完成, 位置标记：1
2022-07-20 17:09:01:612  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-20 17:09:01:642  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-20 17:09:01:646  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:09:01:657  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-20 17:09:01:664  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:666  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:667  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:669  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:671  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:672  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:674  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:676  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:09:01:676  车速为：72.2513位置标记为：0
2022-07-20 17:09:01:683  vibrationCalculate:计算完成, 位置标记：0
2022-07-20 17:09:01:823  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-20 17:13:29:898  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-20 17:13:29:902  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:13:29:912  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-20 17:13:29:920  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:921  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:923  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:925  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:926  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:928  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:930  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:932  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:13:29:933  车速为：72.2513位置标记为：1
2022-07-20 17:13:29:942  vibrationCalculate:计算完成, 位置标记：1
2022-07-20 17:13:30:062  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-20 17:13:30:090  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-20 17:13:30:094  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:13:30:104  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-20 17:13:30:113  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:115  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:117  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:118  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:120  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:122  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:124  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:126  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:13:30:127  车速为：72.2513位置标记为：0
2022-07-20 17:13:30:134  vibrationCalculate:计算完成, 位置标记：0
2022-07-20 17:13:30:260  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-20 17:29:08:057  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-20 17:29:08:061  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:29:08:069  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-20 17:29:08:076  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:078  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:079  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:082  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:084  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:085  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:087  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:089  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:08:090  车速为：72.2513位置标记为：1
2022-07-20 17:29:08:096  vibrationCalculate:计算完成, 位置标记：1
2022-07-20 17:29:08:227  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-20 17:29:08:265  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-20 17:29:08:268  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:29:08:277  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-20 17:29:08:285  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:286  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:288  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:290  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:292  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:294  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:296  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:298  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-20 17:29:08:299  车速为：72.2513位置标记为：0
2022-07-20 17:29:08:314  vibrationCalculate:计算完成, 位置标记：0
2022-07-20 17:29:08:438  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-20 17:29:19:877  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-20 17:29:19:881  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-20 17:29:19:889  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-20 17:29:19:896  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:19:898  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-20 17:29:19:900  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
