2020-12-18 22:07:11:626  收到来车信号，流水号：20201218220711，所有设备开始采集
2020-12-18 22:07:11:702  开启A/D采集
2020-12-18 22:07:33:022  收到离车信号，流水号：20201218220711，线号：14，车号：049050，主控端：0，所有设备停止采集
2020-12-18 22:07:33:056  收到停止采集命令，开始停止采集
2020-12-18 22:07:33:092  停止采集数据
2020-12-18 22:07:33:093  采集连接已断开
2020-12-18 22:07:33:095  开始数据分析和落盘
2020-12-18 22:07:37:874  vibration1完成落盘
2020-12-18 22:07:42:072  vibration2完成落盘
2020-12-18 22:07:46:138  vibration3完成落盘
2020-12-18 22:07:50:298  vibration4完成落盘
2020-12-18 22:07:54:480  vibration5完成落盘
2020-12-18 22:07:58:663  vibration6完成落盘
2020-12-18 22:08:02:859  vibration7完成落盘
2020-12-18 22:08:07:064  vibration8完成落盘
2020-12-18 22:08:11:251  magnetic1完成落盘
2020-12-18 22:08:15:444  magnetic2完成落盘
2020-12-18 22:08:19:484  magnetic3完成落盘
2020-12-18 22:08:23:673  magnetic4完成落盘
2020-12-18 22:08:27:594  temperate1完成落盘
2020-12-18 22:08:31:558  temperate2完成落盘
2020-12-18 22:08:35:499  temperate3完成落盘
2020-12-18 22:08:39:345  temperate4完成落盘
2020-12-18 22:08:39:351  开始处理数据
2020-12-18 22:08:39:912  右侧计算完成
2020-12-18 22:08:40:373  左侧计算完成
2020-12-18 22:08:40:374  检查结果数据
2020-12-18 22:08:40:376  通知桌面显示数据
2020-12-18 22:08:40:393  开始写入数据库
2020-12-18 22:08:40:421  预警及报警参数加载完成
2020-12-18 22:08:40:423  数据库打开成功
2020-12-18 22:08:40:424  train_info数据表写入成功
2020-12-18 22:08:40:607  train_onlyid读取成功
2020-12-18 22:08:40:609  train_data数据表写入成功
2020-12-18 22:08:40:611  vt_info数据表，第0次写入成功
2020-12-18 22:08:40:612  vt_info数据表，第1次写入成功
2020-12-18 22:08:40:614  vt_info数据表，第2次写入成功
2020-12-18 22:08:40:615  vt_info数据表，第3次写入成功
2020-12-18 22:08:40:617  vt_info数据表，第4次写入成功
2020-12-18 22:08:40:618  vt_info数据表，第5次写入成功
2020-12-18 22:08:40:620  vt_info数据表，第6次写入成功
2020-12-18 22:08:40:621  vt_info数据表，第7次写入成功
2020-12-18 22:08:40:623  vt_info数据表，第8次写入成功
2020-12-18 22:08:40:625  vt_info数据表，第9次写入成功
2020-12-18 22:08:40:626  vt_info数据表，第10次写入成功
2020-12-18 22:08:40:628  vt_info数据表，第11次写入成功
2020-12-18 22:08:40:629  vt_info数据表，第12次写入成功
2020-12-18 22:08:40:631  vt_info数据表，第13次写入成功
2020-12-18 22:08:40:632  vt_info数据表，第14次写入成功
2020-12-18 22:08:40:634  vt_info数据表，第15次写入成功
2020-12-18 22:08:40:667  vt_info数据表，第16次写入成功
2020-12-18 22:08:40:668  vt_info数据表，第17次写入成功
2020-12-18 22:08:40:670  vt_info数据表，第18次写入成功
2020-12-18 22:08:40:672  vt_info数据表，第19次写入成功
2020-12-18 22:08:40:673  vt_info数据表，第20次写入成功
2020-12-18 22:08:40:675  vt_info数据表，第21次写入成功
2020-12-18 22:08:40:676  vt_info数据表，第22次写入成功
2020-12-18 22:08:40:678  vt_info数据表，第23次写入成功
2020-12-18 22:08:40:679  vt_info数据表，第24次写入成功
2020-12-18 22:08:40:680  vt_info数据表，第25次写入成功
2020-12-18 22:08:40:682  vt_info数据表，第26次写入成功
2020-12-18 22:08:40:684  vt_info数据表，第27次写入成功
2020-12-18 22:08:40:685  vt_info数据表，第28次写入成功
2020-12-18 22:08:40:686  vt_info数据表，第29次写入成功
2020-12-18 22:08:40:688  vt_info数据表，第30次写入成功
2020-12-18 22:08:40:689  vt_info数据表，第31次写入成功
2020-12-18 22:08:40:691  vt_info数据表，第32次写入成功
2020-12-18 22:08:40:721  vt_info数据表，第33次写入成功
2020-12-18 22:08:40:723  vt_info数据表，第34次写入成功
2020-12-18 22:08:40:724  vt_info数据表，第35次写入成功
2020-12-18 22:08:40:726  vt_info数据表，第36次写入成功
2020-12-18 22:08:40:727  vt_info数据表，第37次写入成功
2020-12-18 22:08:40:728  vt_info数据表，第38次写入成功
2020-12-18 22:08:40:730  vt_info数据表，第39次写入成功
2020-12-18 22:08:40:732  vt_info数据表，第40次写入成功
2020-12-18 22:08:40:733  vt_info数据表，第41次写入成功
2020-12-18 22:08:40:735  vt_info数据表，第42次写入成功
2020-12-18 22:08:40:736  vt_info数据表，第43次写入成功
2020-12-18 22:08:40:737  vt_info数据表，第44次写入成功
2020-12-18 22:08:40:739  vt_info数据表，第45次写入成功
2020-12-18 22:08:40:740  vt_info数据表，第46次写入成功
2020-12-18 22:08:40:779  vt_info数据表，第47次写入成功
2020-12-18 22:08:40:781  motor_info数据表，第0次写入成功
2020-12-18 22:08:40:782  motor_info数据表，第1次写入成功
2020-12-18 22:08:40:784  motor_info数据表，第2次写入成功
2020-12-18 22:08:40:785  motor_info数据表，第3次写入成功
2020-12-18 22:08:40:787  motor_info数据表，第4次写入成功
2020-12-18 22:08:40:788  motor_info数据表，第5次写入成功
2020-12-18 22:08:40:790  motor_info数据表，第6次写入成功
2020-12-18 22:08:40:791  motor_info数据表，第7次写入成功
2020-12-18 22:08:40:793  motor_info数据表，第8次写入成功
2020-12-18 22:08:40:795  motor_info数据表，第9次写入成功
2020-12-18 22:08:40:796  motor_info数据表，第10次写入成功
2020-12-18 22:08:40:798  motor_info数据表，第11次写入成功
2020-12-18 22:08:40:799  motor_info数据表，第12次写入成功
2020-12-18 22:08:40:801  motor_info数据表，第13次写入成功
2020-12-18 22:08:40:802  motor_info数据表，第14次写入成功
2020-12-18 22:08:40:804  motor_info数据表，第15次写入成功
2020-12-18 22:08:40:805  数据库关闭！
2020-12-18 22:13:06:027  收到来车信号，流水号：20201218221305，所有设备开始采集
2020-12-18 22:13:06:093  开启A/D采集
2020-12-18 22:13:27:124  收到离车信号，流水号：20201218221305，线号：14，车号：017018，主控端：0，所有设备停止采集
2020-12-18 22:13:27:158  收到停止采集命令，开始停止采集
2020-12-18 22:13:27:196  停止采集数据
2020-12-18 22:13:27:197  采集连接已断开
2020-12-18 22:13:27:199  开始数据分析和落盘
2020-12-18 22:13:31:902  vibration1完成落盘
2020-12-18 22:13:36:058  vibration2完成落盘
2020-12-18 22:13:40:208  vibration3完成落盘
2020-12-18 22:13:44:362  vibration4完成落盘
2020-12-18 22:13:48:514  vibration5完成落盘
2020-12-18 22:13:52:626  vibration6完成落盘
2020-12-18 22:13:56:750  vibration7完成落盘
2020-12-18 22:14:00:862  vibration8完成落盘
2020-12-18 22:14:05:043  magnetic1完成落盘
2020-12-18 22:14:09:182  magnetic2完成落盘
2020-12-18 22:14:13:156  magnetic3完成落盘
2020-12-18 22:14:17:286  magnetic4完成落盘
2020-12-18 22:14:21:264  temperate1完成落盘
2020-12-18 22:14:25:212  temperate2完成落盘
2020-12-18 22:14:29:191  temperate3完成落盘
2020-12-18 22:14:33:151  temperate4完成落盘
2020-12-18 22:14:33:159  开始处理数据
2020-12-18 22:14:33:701  右侧计算完成
2020-12-18 22:14:34:149  左侧计算完成
2020-12-18 22:14:34:150  检查结果数据
2020-12-18 22:14:34:152  通知桌面显示数据
2020-12-18 22:14:34:169  开始写入数据库
2020-12-18 22:14:34:197  预警及报警参数加载完成
2020-12-18 22:14:34:199  数据库打开成功
2020-12-18 22:14:34:200  train_info数据表写入成功
2020-12-18 22:14:34:378  train_onlyid读取成功
2020-12-18 22:14:34:379  train_data数据表写入成功
2020-12-18 22:14:34:381  vt_info数据表，第0次写入成功
2020-12-18 22:14:34:382  vt_info数据表，第1次写入成功
2020-12-18 22:14:34:383  vt_info数据表，第2次写入成功
2020-12-18 22:14:34:385  vt_info数据表，第3次写入成功
2020-12-18 22:14:34:386  vt_info数据表，第4次写入成功
2020-12-18 22:14:34:388  vt_info数据表，第5次写入成功
2020-12-18 22:14:34:389  vt_info数据表，第6次写入成功
2020-12-18 22:14:34:391  vt_info数据表，第7次写入成功
2020-12-18 22:14:34:392  vt_info数据表，第8次写入成功
2020-12-18 22:14:34:393  vt_info数据表，第9次写入成功
2020-12-18 22:14:34:395  vt_info数据表，第10次写入成功
2020-12-18 22:14:34:396  vt_info数据表，第11次写入成功
2020-12-18 22:14:34:398  vt_info数据表，第12次写入成功
2020-12-18 22:14:34:400  vt_info数据表，第13次写入成功
2020-12-18 22:14:34:401  vt_info数据表，第14次写入成功
2020-12-18 22:14:34:429  vt_info数据表，第15次写入成功
2020-12-18 22:14:34:430  vt_info数据表，第16次写入成功
2020-12-18 22:14:34:431  vt_info数据表，第17次写入成功
2020-12-18 22:14:34:433  vt_info数据表，第18次写入成功
2020-12-18 22:14:34:434  vt_info数据表，第19次写入成功
2020-12-18 22:14:34:435  vt_info数据表，第20次写入成功
2020-12-18 22:14:34:437  vt_info数据表，第21次写入成功
2020-12-18 22:14:34:438  vt_info数据表，第22次写入成功
2020-12-18 22:14:34:439  vt_info数据表，第23次写入成功
2020-12-18 22:14:34:441  vt_info数据表，第24次写入成功
2020-12-18 22:14:34:442  vt_info数据表，第25次写入成功
2020-12-18 22:14:34:444  vt_info数据表，第26次写入成功
2020-12-18 22:14:34:445  vt_info数据表，第27次写入成功
2020-12-18 22:14:34:446  vt_info数据表，第28次写入成功
2020-12-18 22:14:34:474  vt_info数据表，第29次写入成功
2020-12-18 22:14:34:475  vt_info数据表，第30次写入成功
2020-12-18 22:14:34:477  vt_info数据表，第31次写入成功
2020-12-18 22:14:34:478  vt_info数据表，第32次写入成功
2020-12-18 22:14:34:480  vt_info数据表，第33次写入成功
2020-12-18 22:14:34:481  vt_info数据表，第34次写入成功
2020-12-18 22:14:34:482  vt_info数据表，第35次写入成功
2020-12-18 22:14:34:484  vt_info数据表，第36次写入成功
2020-12-18 22:14:34:485  vt_info数据表，第37次写入成功
2020-12-18 22:14:34:486  vt_info数据表，第38次写入成功
2020-12-18 22:14:34:487  vt_info数据表，第39次写入成功
2020-12-18 22:14:34:489  vt_info数据表，第40次写入成功
2020-12-18 22:14:34:519  vt_info数据表，第41次写入成功
2020-12-18 22:14:34:521  vt_info数据表，第42次写入成功
2020-12-18 22:14:34:523  vt_info数据表，第43次写入成功
2020-12-18 22:14:34:524  vt_info数据表，第44次写入成功
2020-12-18 22:14:34:526  vt_info数据表，第45次写入成功
2020-12-18 22:14:34:527  vt_info数据表，第46次写入成功
2020-12-18 22:14:34:529  vt_info数据表，第47次写入成功
2020-12-18 22:14:34:531  motor_info数据表，第0次写入成功
2020-12-18 22:14:34:532  motor_info数据表，第1次写入成功
