2020-12-26 05:03:30:740  收到来车信号，流水号：20201226050330，所有设备开始采集
2020-12-26 05:03:30:800  开启A/D采集
2020-12-26 05:03:55:392  收到离车信号，流水号：20201226050330，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-26 05:03:55:394  收到停止采集命令，开始停止采集
2020-12-26 05:03:55:398  停止采集数据
2020-12-26 05:03:55:400  采集连接已断开
2020-12-26 05:03:55:402  开始数据分析和落盘
2020-12-26 05:04:00:293  vibration1完成落盘
2020-12-26 05:04:04:289  vibration2完成落盘
2020-12-26 05:04:08:417  vibration3完成落盘
2020-12-26 05:04:12:425  vibration4完成落盘
2020-12-26 05:04:16:299  vibration5完成落盘
2020-12-26 05:04:20:062  vibration6完成落盘
2020-12-26 05:04:23:872  vibration7完成落盘
2020-12-26 05:04:28:106  vibration8完成落盘
2020-12-26 05:04:32:221  magnetic1完成落盘
2020-12-26 05:04:36:146  magnetic2完成落盘
2020-12-26 05:04:40:153  magnetic3完成落盘
2020-12-26 05:04:44:171  magnetic4完成落盘
2020-12-26 05:04:47:799  temperate1完成落盘
2020-12-26 05:04:51:359  temperate2完成落盘
2020-12-26 05:04:55:183  temperate3完成落盘
2020-12-26 05:04:58:633  temperate4完成落盘
2020-12-26 05:04:58:641  开始处理数据
2020-12-26 05:04:59:311  右侧计算完成
2020-12-26 05:04:59:881  左侧计算完成
2020-12-26 05:04:59:883  检查结果数据
2020-12-26 05:04:59:885  通知桌面显示数据
2020-12-26 05:04:59:899  开始写入数据库
2020-12-26 05:04:59:915  预警及报警参数加载完成
2020-12-26 05:04:59:917  数据库打开成功
2020-12-26 05:04:59:919  train_info数据表写入成功
2020-12-26 05:04:59:921  train_onlyid读取成功
2020-12-26 05:04:59:923  train_data数据表写入成功
2020-12-26 05:04:59:927  train_fault数据表写入1、1成功
2020-12-26 05:04:59:929  train_fault数据表写入2、1成功
2020-12-26 05:04:59:931  train_fault数据表写入3、1成功
2020-12-26 05:04:59:935  vt_info数据表，第0次写入成功
2020-12-26 05:04:59:939  vt_info数据表，第1次写入成功
2020-12-26 05:04:59:943  vt_info数据表，第2次写入成功
2020-12-26 05:04:59:945  vt_info数据表，第3次写入成功
2020-12-26 05:04:59:949  vt_info数据表，第4次写入成功
2020-12-26 05:04:59:953  vt_info数据表，第5次写入成功
2020-12-26 05:04:59:957  vt_info数据表，第6次写入成功
2020-12-26 05:04:59:961  vt_info数据表，第7次写入成功
2020-12-26 05:04:59:963  vt_info数据表，第8次写入成功
2020-12-26 05:04:59:967  vt_info数据表，第9次写入成功
2020-12-26 05:04:59:971  vt_info数据表，第10次写入成功
2020-12-26 05:04:59:975  vt_info数据表，第11次写入成功
2020-12-26 05:04:59:979  vt_info数据表，第12次写入成功
2020-12-26 05:04:59:983  vt_info数据表，第13次写入成功
2020-12-26 05:04:59:985  vt_info数据表，第14次写入成功
2020-12-26 05:04:59:989  vt_info数据表，第15次写入成功
2020-12-26 05:04:59:993  vt_info数据表，第16次写入成功
2020-12-26 05:04:59:997  vt_info数据表，第17次写入成功
2020-12-26 05:05:00:001  vt_info数据表，第18次写入成功
2020-12-26 05:05:00:005  vt_info数据表，第19次写入成功
2020-12-26 05:05:00:009  vt_info数据表，第20次写入成功
2020-12-26 05:05:00:011  vt_info数据表，第21次写入成功
2020-12-26 05:05:00:015  vt_info数据表，第22次写入成功
2020-12-26 05:05:00:019  vt_info数据表，第23次写入成功
2020-12-26 05:05:00:023  vt_info数据表，第24次写入成功
2020-12-26 05:05:00:028  vt_info数据表，第25次写入成功
2020-12-26 05:05:00:031  vt_info数据表，第26次写入成功
2020-12-26 05:05:00:033  vt_info数据表，第27次写入成功
2020-12-26 05:05:00:037  vt_info数据表，第28次写入成功
2020-12-26 05:05:00:042  vt_info数据表，第29次写入成功
