2020-12-25 12:09:43:684  收到来车信号，流水号：20201225120943，所有设备开始采集
2020-12-25 12:09:43:742  开启A/D采集
2020-12-25 12:10:23:537  收到离车信号，流水号：20201225120943，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-25 12:10:23:539  收到停止采集命令，开始停止采集
2020-12-25 12:10:23:543  停止采集数据
2020-12-25 12:10:23:545  采集连接已断开
2020-12-25 12:10:23:547  开始数据分析和落盘
2020-12-25 12:10:31:238  vibration1完成落盘
2020-12-25 12:10:37:786  vibration2完成落盘
2020-12-25 12:10:44:325  vibration3完成落盘
2020-12-25 12:10:51:372  vibration4完成落盘
2020-12-25 12:10:57:805  vibration5完成落盘
2020-12-25 12:11:04:049  vibration6完成落盘
2020-12-25 12:11:10:856  vibration7完成落盘
2020-12-25 12:11:17:133  vibration8完成落盘
2020-12-25 12:11:23:812  magnetic1完成落盘
2020-12-25 12:11:29:770  magnetic2完成落盘
2020-12-25 12:11:36:343  magnetic3完成落盘
2020-12-25 12:11:42:832  magnetic4完成落盘
2020-12-25 12:11:48:977  temperate1完成落盘
2020-12-25 12:11:54:999  temperate2完成落盘
2020-12-25 12:12:01:055  temperate3完成落盘
2020-12-25 12:12:07:551  temperate4完成落盘
2020-12-25 12:12:07:563  开始处理数据
2020-12-25 12:12:08:091  右侧计算完成
2020-12-25 12:12:08:367  左侧计算完成
2020-12-25 12:12:08:369  检查结果数据
2020-12-25 12:12:08:371  通知桌面显示数据
2020-12-25 12:12:08:387  开始写入数据库
2020-12-25 12:12:08:401  预警及报警参数加载完成
2020-12-25 12:12:08:403  数据库打开成功
2020-12-25 12:12:08:405  train_info数据表写入成功
2020-12-25 12:12:08:407  train_onlyid读取成功
2020-12-25 12:12:08:411  train_data数据表写入成功
2020-12-25 12:12:08:413  train_fault数据表写入1、1成功
2020-12-25 12:12:08:417  train_fault数据表写入2、1成功
2020-12-25 12:12:08:419  train_fault数据表写入3、1成功
2020-12-25 12:12:08:423  vt_info数据表，第0次写入成功
2020-12-25 12:12:08:425  vt_info数据表，第1次写入成功
2020-12-25 12:12:08:429  vt_info数据表，第2次写入成功
2020-12-25 12:12:08:433  vt_info数据表，第3次写入成功
2020-12-25 12:12:08:437  vt_info数据表，第4次写入成功
2020-12-25 12:12:08:441  vt_info数据表，第5次写入成功
2020-12-25 12:12:08:445  vt_info数据表，第6次写入成功
2020-12-25 12:12:08:449  vt_info数据表，第7次写入成功
2020-12-25 12:12:08:451  vt_info数据表，第8次写入成功
2020-12-25 12:12:08:455  vt_info数据表，第9次写入成功
2020-12-25 12:12:08:459  vt_info数据表，第10次写入成功
2020-12-25 12:12:08:463  vt_info数据表，第11次写入成功
2020-12-25 12:12:08:467  vt_info数据表，第12次写入成功
2020-12-25 12:12:08:471  vt_info数据表，第13次写入成功
2020-12-25 12:12:08:473  vt_info数据表，第14次写入成功
2020-12-25 12:12:08:477  vt_info数据表，第15次写入成功
