2022-07-09 22:42:17:058  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-09 22:42:17:066  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:42:17:075  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-09 22:42:17:082  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:085  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:086  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:088  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:089  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:092  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:096  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:097  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:17:098  车速为：22.0154位置标记为：1
2022-07-09 22:42:17:108  vibrationCalculate:计算完成, 位置标记：1
2022-07-09 22:42:17:191  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-09 22:42:17:238  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-09 22:42:17:246  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:42:17:257  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-09 22:42:17:264  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:265  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:267  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:269  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:270  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:272  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:273  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:274  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:17:276  车速为：22.0154位置标记为：0
2022-07-09 22:42:17:286  vibrationCalculate:计算完成, 位置标记：0
2022-07-09 22:42:17:371  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-09 22:42:51:982  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-09 22:42:51:988  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:42:51:994  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-09 22:42:52:000  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:001  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:003  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:005  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:006  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:013  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:018  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:020  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:42:52:020  车速为：22.0154位置标记为：1
2022-07-09 22:42:52:041  vibrationCalculate:计算完成, 位置标记：1
2022-07-09 22:42:52:129  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-09 22:42:52:167  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-09 22:42:52:173  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:42:52:179  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-09 22:42:52:186  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:187  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:189  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:193  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:196  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:198  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:200  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:202  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:42:52:203  车速为：22.0154位置标记为：0
2022-07-09 22:42:52:213  vibrationCalculate:计算完成, 位置标记：0
2022-07-09 22:42:52:300  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-09 22:43:20:835  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-09 22:43:20:841  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:43:20:847  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-09 22:43:20:853  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:854  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:856  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:857  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:860  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:862  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:864  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:866  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:43:20:867  车速为：22.0154位置标记为：1
2022-07-09 22:43:20:878  vibrationCalculate:计算完成, 位置标记：1
2022-07-09 22:43:20:968  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-09 22:43:21:008  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-09 22:43:21:014  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:43:21:021  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-09 22:43:21:027  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:029  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:032  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:035  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:037  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:039  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:042  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:046  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-09 22:43:21:049  车速为：22.0154位置标记为：0
2022-07-09 22:43:21:059  vibrationCalculate:计算完成, 位置标记：0
2022-07-09 22:43:21:148  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-09 22:47:42:404  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-09 22:47:42:410  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-09 22:47:42:416  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-09 22:47:42:421  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:47:42:423  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:47:42:425  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:47:42:428  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-09 22:47:42:430  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
