2020-12-22 06:02:11:383  收到来车信号，流水号：20201222060211，所有设备开始采集
2020-12-22 06:02:11:450  开启A/D采集
2020-12-22 06:02:32:876  收到离车信号，流水号：20201222060211，线号：14，车号：029030，主控端：0，所有设备停止采集
2020-12-22 06:02:32:910  收到停止采集命令，开始停止采集
2020-12-22 06:02:32:949  停止采集数据
2020-12-22 06:02:32:950  采集连接已断开
2020-12-22 06:02:32:952  开始数据分析和落盘
2020-12-22 06:02:37:784  vibration1完成落盘
2020-12-22 06:02:42:013  vibration2完成落盘
2020-12-22 06:02:46:181  vibration3完成落盘
2020-12-22 06:02:50:453  vibration4完成落盘
2020-12-22 06:02:54:686  vibration5完成落盘
2020-12-22 06:02:58:878  vibration6完成落盘
2020-12-22 06:03:03:083  vibration7完成落盘
2020-12-22 06:03:07:329  vibration8完成落盘
2020-12-22 06:03:11:627  magnetic1完成落盘
2020-12-22 06:03:15:648  magnetic2完成落盘
2020-12-22 06:03:19:894  magnetic3完成落盘
2020-12-22 06:03:24:099  magnetic4完成落盘
2020-12-22 06:03:28:158  temperate1完成落盘
2020-12-22 06:03:32:118  temperate2完成落盘
2020-12-22 06:03:36:097  temperate3完成落盘
2020-12-22 06:03:40:142  temperate4完成落盘
2020-12-22 06:03:40:151  开始处理数据
2020-12-22 06:03:40:713  右侧计算完成
2020-12-22 06:03:41:172  左侧计算完成
2020-12-22 06:03:41:173  检查结果数据
2020-12-22 06:03:41:175  通知桌面显示数据
2020-12-22 06:03:41:192  开始写入数据库
2020-12-22 06:03:41:221  预警及报警参数加载完成
2020-12-22 06:03:41:222  数据库打开成功
2020-12-22 06:03:41:224  train_info数据表写入成功
2020-12-22 06:03:41:404  train_onlyid读取成功
2020-12-22 06:03:41:406  train_data数据表写入成功
2020-12-22 06:03:41:407  vt_info数据表，第0次写入成功
2020-12-22 06:03:41:409  vt_info数据表，第1次写入成功
2020-12-22 06:03:41:410  vt_info数据表，第2次写入成功
2020-12-22 06:03:41:412  vt_info数据表，第3次写入成功
2020-12-22 06:03:41:413  vt_info数据表，第4次写入成功
2020-12-22 06:03:41:415  vt_info数据表，第5次写入成功
2020-12-22 06:03:41:416  vt_info数据表，第6次写入成功
2020-12-22 06:03:41:418  vt_info数据表，第7次写入成功
2020-12-22 06:03:41:419  vt_info数据表，第8次写入成功
2020-12-22 06:03:41:421  vt_info数据表，第9次写入成功
2020-12-22 06:03:41:423  vt_info数据表，第10次写入成功
2020-12-22 06:03:41:424  vt_info数据表，第11次写入成功
2020-12-22 06:03:41:426  vt_info数据表，第12次写入成功
2020-12-22 06:03:41:427  vt_info数据表，第13次写入成功
2020-12-22 06:03:41:460  vt_info数据表，第14次写入成功
2020-12-22 06:03:41:461  vt_info数据表，第15次写入成功
2020-12-22 06:03:41:463  vt_info数据表，第16次写入成功
2020-12-22 06:03:41:465  vt_info数据表，第17次写入成功
2020-12-22 06:03:41:466  vt_info数据表，第18次写入成功
2020-12-22 06:03:41:468  vt_info数据表，第19次写入成功
2020-12-22 06:03:41:469  vt_info数据表，第20次写入成功
2020-12-22 06:03:41:471  vt_info数据表，第21次写入成功
2020-12-22 06:03:41:472  vt_info数据表，第22次写入成功
2020-12-22 06:03:41:474  vt_info数据表，第23次写入成功
2020-12-22 06:03:41:476  vt_info数据表，第24次写入成功
2020-12-22 06:03:41:477  vt_info数据表，第25次写入成功
2020-12-22 06:03:41:479  vt_info数据表，第26次写入成功
