2020-12-23 13:01:48:849  收到来车信号，流水号：20201223130148，所有设备开始采集
2020-12-23 13:01:48:909  开启A/D采集
2020-12-23 13:02:14:343  收到离车信号，流水号：20201223130148，线号：14，车号：059060，主控端：0，所有设备停止采集
2020-12-23 13:02:14:368  收到停止采集命令，开始停止采集
2020-12-23 13:02:14:398  停止采集数据
2020-12-23 13:02:14:400  采集连接已断开
2020-12-23 13:02:14:403  开始数据分析和落盘
2020-12-23 13:02:19:355  vibration1完成落盘
2020-12-23 13:02:23:893  vibration2完成落盘
2020-12-23 13:02:28:485  vibration3完成落盘
2020-12-23 13:02:32:888  vibration4完成落盘
2020-12-23 13:02:36:940  vibration5完成落盘
2020-12-23 13:02:41:330  vibration6完成落盘
2020-12-23 13:02:45:550  vibration7完成落盘
2020-12-23 13:02:49:858  vibration8完成落盘
2020-12-23 13:02:54:321  magnetic1完成落盘
2020-12-23 13:02:58:606  magnetic2完成落盘
2020-12-23 13:03:02:963  magnetic3完成落盘
2020-12-23 13:03:07:411  magnetic4完成落盘
2020-12-23 13:03:11:527  temperate1完成落盘
2020-12-23 13:03:15:622  temperate2完成落盘
2020-12-23 13:03:19:914  temperate3完成落盘
2020-12-23 13:03:23:984  temperate4完成落盘
2020-12-23 13:03:23:992  开始处理数据
2020-12-23 13:03:24:500  右侧计算完成
2020-12-23 13:03:24:955  左侧计算完成
2020-12-23 13:03:24:957  检查结果数据
2020-12-23 13:03:24:959  通知桌面显示数据
2020-12-23 13:03:24:975  开始写入数据库
2020-12-23 13:03:24:997  预警及报警参数加载完成
2020-12-23 13:03:24:999  数据库打开成功
2020-12-23 13:03:25:137  train_info数据表写入成功
2020-12-23 13:03:25:139  train_onlyid读取成功
2020-12-23 13:03:25:141  train_data数据表写入成功
2020-12-23 13:03:25:143  vt_info数据表，第0次写入成功
2020-12-23 13:03:25:144  vt_info数据表，第1次写入成功
2020-12-23 13:03:25:147  vt_info数据表，第2次写入成功
2020-12-23 13:03:25:149  vt_info数据表，第3次写入成功
2020-12-23 13:03:25:150  vt_info数据表，第4次写入成功
2020-12-23 13:03:25:153  vt_info数据表，第5次写入成功
2020-12-23 13:03:25:155  vt_info数据表，第6次写入成功
2020-12-23 13:03:25:157  vt_info数据表，第7次写入成功
2020-12-23 13:03:25:158  vt_info数据表，第8次写入成功
2020-12-23 13:03:25:160  vt_info数据表，第9次写入成功
2020-12-23 13:03:25:162  vt_info数据表，第10次写入成功
2020-12-23 13:03:25:165  vt_info数据表，第11次写入成功
