2020-12-19 20:04:49:292  收到来车信号，流水号：20201219200449，所有设备开始采集
2020-12-19 20:04:49:440  开启A/D采集
2020-12-19 20:05:14:970  收到离车信号，流水号：20201219200449，线号：14，车号：007008，主控端：0，所有设备停止采集
2020-12-19 20:05:14:972  收到停止采集命令，开始停止采集
2020-12-19 20:05:14:975  停止采集数据
2020-12-19 20:05:14:977  采集连接已断开
2020-12-19 20:05:14:979  开始数据分析和落盘
2020-12-19 20:05:37:749  vibration1完成落盘
2020-12-19 20:05:57:678  vibration2完成落盘
2020-12-19 20:06:18:552  vibration3完成落盘
2020-12-19 20:06:38:912  vibration4完成落盘
2020-12-19 20:06:59:203  vibration5完成落盘
2020-12-19 20:07:18:488  vibration6完成落盘
2020-12-19 20:07:39:294  vibration7完成落盘
2020-12-19 20:08:00:181  vibration8完成落盘
2020-12-19 20:08:21:041  magnetic1完成落盘
2020-12-19 20:08:40:858  magnetic2完成落盘
2020-12-19 20:09:01:276  magnetic3完成落盘
2020-12-19 20:09:20:733  magnetic4完成落盘
2020-12-19 20:09:40:685  temperate1完成落盘
2020-12-19 20:10:00:838  temperate2完成落盘
2020-12-19 20:10:20:835  temperate3完成落盘
2020-12-19 20:10:40:559  temperate4完成落盘
2020-12-19 20:10:40:566  开始处理数据
2020-12-19 20:10:41:586  右侧计算完成
2020-12-19 20:10:41:988  左侧计算完成
2020-12-19 20:10:41:990  检查结果数据
2020-12-19 20:10:41:992  通知桌面显示数据
2020-12-19 20:10:42:007  开始写入数据库
2020-12-19 20:10:42:030  预警及报警参数加载完成
2020-12-19 20:10:42:032  数据库打开成功
2020-12-19 20:10:42:034  train_info数据表写入成功
2020-12-19 20:10:42:095  train_onlyid读取成功
2020-12-19 20:10:42:099  train_data数据表写入成功
2020-12-19 20:10:42:103  vt_info数据表，第0次写入成功
2020-12-19 20:10:42:106  vt_info数据表，第1次写入成功
2020-12-19 20:10:42:110  vt_info数据表，第2次写入成功
2020-12-19 20:10:42:114  vt_info数据表，第3次写入成功
2020-12-19 20:10:42:117  vt_info数据表，第4次写入成功
2020-12-19 20:10:42:121  vt_info数据表，第5次写入成功
2020-12-19 20:10:42:125  vt_info数据表，第6次写入成功
2020-12-19 20:10:42:128  vt_info数据表，第7次写入成功
2020-12-19 20:10:42:132  vt_info数据表，第8次写入成功
2020-12-19 20:10:42:136  vt_info数据表，第9次写入成功
2020-12-19 20:10:42:140  vt_info数据表，第10次写入成功
2020-12-19 20:10:42:143  vt_info数据表，第11次写入成功
2020-12-19 20:10:42:147  vt_info数据表，第12次写入成功
2020-12-19 20:10:42:150  vt_info数据表，第13次写入成功
2020-12-19 20:10:42:154  vt_info数据表，第14次写入成功
