2020-12-30 07:02:12:931  收到来车信号，流水号：20201230070212，所有设备开始采集
2020-12-30 07:02:12:978  开启A/D采集
2020-12-30 07:02:34:233  收到离车信号，流水号：20201230070212，线号：14，车号：029030，主控端：1，所有设备停止采集
2020-12-30 07:02:34:235  收到停止采集命令，开始停止采集
2020-12-30 07:02:34:238  停止采集数据
2020-12-30 07:02:34:240  采集连接已断开
2020-12-30 07:02:34:242  开始数据分析和落盘
2020-12-30 07:02:38:667  vibration1完成落盘
2020-12-30 07:02:42:470  vibration2完成落盘
2020-12-30 07:02:46:263  vibration3完成落盘
2020-12-30 07:02:50:077  vibration4完成落盘
2020-12-30 07:02:53:900  vibration5完成落盘
2020-12-30 07:02:57:713  vibration6完成落盘
2020-12-30 07:03:01:518  vibration7完成落盘
2020-12-30 07:03:05:345  vibration8完成落盘
2020-12-30 07:03:09:237  magnetic1完成落盘
2020-12-30 07:03:13:070  magnetic2完成落盘
2020-12-30 07:03:16:864  magnetic3完成落盘
2020-12-30 07:03:20:704  magnetic4完成落盘
2020-12-30 07:03:24:329  temperate1完成落盘
2020-12-30 07:03:27:960  temperate2完成落盘
2020-12-30 07:03:31:557  temperate3完成落盘
2020-12-30 07:03:35:188  temperate4完成落盘
2020-12-30 07:03:35:197  开始处理数据
2020-12-30 07:03:35:746  右侧计算完成
2020-12-30 07:03:36:196  左侧计算完成
2020-12-30 07:03:36:198  检查结果数据
2020-12-30 07:03:36:200  通知桌面显示数据
2020-12-30 07:03:36:217  开始写入数据库
2020-12-30 07:03:36:237  预警及报警参数加载完成
2020-12-30 07:03:36:238  数据库打开成功
2020-12-30 07:03:36:241  train_info数据表写入成功
2020-12-30 07:03:36:373  train_onlyid读取成功
2020-12-30 07:03:36:377  train_data数据表写入成功
2020-12-30 07:03:36:381  vt_info数据表，第0次写入成功
2020-12-30 07:03:36:385  vt_info数据表，第1次写入成功
2020-12-30 07:03:36:388  vt_info数据表，第2次写入成功
2020-12-30 07:03:36:392  vt_info数据表，第3次写入成功
2020-12-30 07:03:36:396  vt_info数据表，第4次写入成功
2020-12-30 07:03:36:399  vt_info数据表，第5次写入成功
2020-12-30 07:03:36:403  vt_info数据表，第6次写入成功
2020-12-30 07:03:36:406  vt_info数据表，第7次写入成功
2020-12-30 07:03:36:410  vt_info数据表，第8次写入成功
2020-12-30 07:03:36:414  vt_info数据表，第9次写入成功
2020-12-30 07:03:36:417  vt_info数据表，第10次写入成功
2020-12-30 07:03:36:421  vt_info数据表，第11次写入成功
2020-12-30 07:03:36:425  vt_info数据表，第12次写入成功
2020-12-30 07:03:36:429  vt_info数据表，第13次写入成功
2020-12-30 07:03:36:432  vt_info数据表，第14次写入成功
2020-12-30 07:03:36:436  vt_info数据表，第15次写入成功
2020-12-30 07:03:36:440  vt_info数据表，第16次写入成功
2020-12-30 07:03:36:443  vt_info数据表，第17次写入成功
2020-12-30 07:03:36:447  vt_info数据表，第18次写入成功
2020-12-30 07:03:36:451  vt_info数据表，第19次写入成功
2020-12-30 07:03:36:455  vt_info数据表，第20次写入成功
2020-12-30 07:03:36:458  vt_info数据表，第21次写入成功
2020-12-30 07:03:36:462  vt_info数据表，第22次写入成功
2020-12-30 07:03:36:466  vt_info数据表，第23次写入成功
2020-12-30 07:03:36:469  vt_info数据表，第24次写入成功
2020-12-30 07:03:36:473  vt_info数据表，第25次写入成功
2020-12-30 07:03:36:477  vt_info数据表，第26次写入成功
2020-12-30 07:03:36:480  vt_info数据表，第27次写入成功
2020-12-30 07:03:36:484  vt_info数据表，第28次写入成功
2020-12-30 07:03:36:488  vt_info数据表，第29次写入成功
2020-12-30 07:03:36:491  vt_info数据表，第30次写入成功
2020-12-30 07:03:36:495  vt_info数据表，第31次写入成功
2020-12-30 07:03:36:499  vt_info数据表，第32次写入成功
2020-12-30 07:03:36:502  vt_info数据表，第33次写入成功
2020-12-30 07:03:36:506  vt_info数据表，第34次写入成功
