2020-12-27 16:03:41:616  收到来车信号，流水号：20201227160341，所有设备开始采集
2020-12-27 16:03:41:663  开启A/D采集
2020-12-27 16:04:03:010  收到离车信号，流水号：20201227160341，线号：14，车号：023024，主控端：0，所有设备停止采集
2020-12-27 16:04:03:012  收到停止采集命令，开始停止采集
2020-12-27 16:04:03:018  停止采集数据
2020-12-27 16:04:03:020  采集连接已断开
2020-12-27 16:04:03:022  开始数据分析和落盘
2020-12-27 16:04:07:252  vibration1完成落盘
2020-12-27 16:04:10:744  vibration2完成落盘
2020-12-27 16:04:14:143  vibration3完成落盘
2020-12-27 16:04:17:609  vibration4完成落盘
2020-12-27 16:04:20:995  vibration5完成落盘
2020-12-27 16:04:24:576  vibration6完成落盘
2020-12-27 16:04:27:717  vibration7完成落盘
2020-12-27 16:04:30:505  vibration8完成落盘
2020-12-27 16:04:34:025  magnetic1完成落盘
2020-12-27 16:04:37:515  magnetic2完成落盘
2020-12-27 16:04:40:809  magnetic3完成落盘
2020-12-27 16:04:44:077  magnetic4完成落盘
2020-12-27 16:04:47:129  temperate1完成落盘
2020-12-27 16:04:50:272  temperate2完成落盘
2020-12-27 16:04:53:533  temperate3完成落盘
2020-12-27 16:04:57:042  temperate4完成落盘
2020-12-27 16:04:57:051  开始处理数据
2020-12-27 16:04:57:599  右侧计算完成
2020-12-27 16:04:58:056  左侧计算完成
2020-12-27 16:04:58:058  检查结果数据
2020-12-27 16:04:58:060  通知桌面显示数据
2020-12-27 16:04:58:076  开始写入数据库
2020-12-27 16:04:58:097  预警及报警参数加载完成
2020-12-27 16:04:58:099  数据库打开成功
2020-12-27 16:04:58:101  train_info数据表写入成功
2020-12-27 16:04:58:229  train_onlyid读取成功
2020-12-27 16:04:58:234  train_data数据表写入成功
2020-12-27 16:04:58:237  vt_info数据表，第0次写入成功
2020-12-27 16:04:58:241  vt_info数据表，第1次写入成功
2020-12-27 16:04:58:245  vt_info数据表，第2次写入成功
2020-12-27 16:04:58:249  vt_info数据表，第3次写入成功
2020-12-27 16:04:58:253  vt_info数据表，第4次写入成功
2020-12-27 16:04:58:256  vt_info数据表，第5次写入成功
2020-12-27 16:04:58:260  vt_info数据表，第6次写入成功
2020-12-27 16:04:58:264  vt_info数据表，第7次写入成功
2020-12-27 16:04:58:267  vt_info数据表，第8次写入成功
2020-12-27 16:04:58:271  vt_info数据表，第9次写入成功
2020-12-27 16:04:58:275  vt_info数据表，第10次写入成功
2020-12-27 16:04:58:278  vt_info数据表，第11次写入成功
2020-12-27 16:04:58:282  vt_info数据表，第12次写入成功
2020-12-27 16:04:58:286  vt_info数据表，第13次写入成功
2020-12-27 16:04:58:289  vt_info数据表，第14次写入成功
2020-12-27 16:04:58:293  vt_info数据表，第15次写入成功
2020-12-27 16:04:58:297  vt_info数据表，第16次写入成功
2020-12-27 16:04:58:300  vt_info数据表，第17次写入成功
2020-12-27 16:04:58:304  vt_info数据表，第18次写入成功
2020-12-27 16:04:58:308  vt_info数据表，第19次写入成功
