2020-12-25 13:22:31:994  收到来车信号，流水号：20201225132231，所有设备开始采集
2020-12-25 13:22:32:052  开启A/D采集
2020-12-25 13:22:41:862  收到离车信号，流水号：20201225132231，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-25 13:22:41:864  收到停止采集命令，开始停止采集
2020-12-25 13:22:41:868  停止采集数据
2020-12-25 13:22:41:870  采集连接已断开
2020-12-25 13:22:41:872  开始数据分析和落盘
2020-12-25 13:22:43:687  vibration1完成落盘
2020-12-25 13:22:45:313  vibration2完成落盘
2020-12-25 13:22:46:931  vibration3完成落盘
2020-12-25 13:22:48:513  vibration4完成落盘
2020-12-25 13:22:50:098  vibration5完成落盘
2020-12-25 13:22:51:626  vibration6完成落盘
2020-12-25 13:22:53:132  vibration7完成落盘
2020-12-25 13:22:54:797  vibration8完成落盘
2020-12-25 13:22:56:483  magnetic1完成落盘
2020-12-25 13:22:58:095  magnetic2完成落盘
2020-12-25 13:22:59:776  magnetic3完成落盘
2020-12-25 13:23:01:288  magnetic4完成落盘
2020-12-25 13:23:02:602  temperate1完成落盘
2020-12-25 13:23:03:952  temperate2完成落盘
2020-12-25 13:23:05:225  temperate3完成落盘
2020-12-25 13:23:06:593  temperate4完成落盘
2020-12-25 13:23:06:603  开始处理数据
2020-12-25 13:23:06:927  右侧计算完成
2020-12-25 13:23:07:217  左侧计算完成
2020-12-25 13:23:07:219  检查结果数据
2020-12-25 13:23:07:221  通知桌面显示数据
2020-12-25 13:23:07:237  开始写入数据库
2020-12-25 13:23:07:253  预警及报警参数加载完成
2020-12-25 13:23:07:255  数据库打开成功
2020-12-25 13:23:07:257  train_info数据表写入成功
2020-12-25 13:23:07:259  train_onlyid读取成功
2020-12-25 13:23:07:263  train_data数据表写入成功
2020-12-25 13:23:07:265  train_fault数据表写入1、1成功
2020-12-25 13:23:07:267  train_fault数据表写入2、1成功
2020-12-25 13:23:07:269  train_fault数据表写入3、1成功
2020-12-25 13:23:07:273  vt_info数据表，第0次写入成功
2020-12-25 13:23:07:277  vt_info数据表，第1次写入成功
2020-12-25 13:23:07:279  vt_info数据表，第2次写入成功
2020-12-25 13:23:07:283  vt_info数据表，第3次写入成功
2020-12-25 13:23:07:287  vt_info数据表，第4次写入成功
2020-12-25 13:23:07:291  vt_info数据表，第5次写入成功
2020-12-25 13:23:07:295  vt_info数据表，第6次写入成功
2020-12-25 13:23:07:297  vt_info数据表，第7次写入成功
2020-12-25 13:23:07:301  vt_info数据表，第8次写入成功
2020-12-25 13:23:07:305  vt_info数据表，第9次写入成功
2020-12-25 13:23:07:309  vt_info数据表，第10次写入成功
2020-12-25 13:23:07:313  vt_info数据表，第11次写入成功
2020-12-25 13:23:07:315  vt_info数据表，第12次写入成功
2020-12-25 13:23:07:319  vt_info数据表，第13次写入成功
2020-12-25 13:23:07:323  vt_info数据表，第14次写入成功
