2020-12-23 03:24:38:347  收到来车信号，流水号：20201223032438，所有设备开始采集
2020-12-23 03:24:38:751  开启A/D采集
2020-12-23 03:25:14:964  数据采集中出现错误
2020-12-23 03:25:14:966  停止采集数据
2020-12-23 03:25:14:968  采集连接已断开
2020-12-23 03:25:14:969  开始数据分析和落盘
2020-12-23 03:25:18:145  收到离车信号，流水号：20201223032438，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-23 03:25:18:146  收到停止采集命令，开始停止采集
2020-12-23 03:26:37:545  vibration1完成落盘
2020-12-23 03:27:48:860  vibration2完成落盘
2020-12-23 03:28:59:975  vibration3完成落盘
2020-12-23 03:30:10:900  vibration4完成落盘
2020-12-23 03:31:21:872  vibration5完成落盘
2020-12-23 03:32:32:533  vibration6完成落盘
2020-12-23 03:33:43:462  vibration7完成落盘
2020-12-23 03:34:54:417  vibration8完成落盘
2020-12-23 03:36:04:896  magnetic1完成落盘
2020-12-23 03:37:15:784  magnetic2完成落盘
2020-12-23 03:38:26:717  magnetic3完成落盘
2020-12-23 03:39:37:950  magnetic4完成落盘
2020-12-23 03:40:49:302  temperate1完成落盘
2020-12-23 03:42:00:354  temperate2完成落盘
2020-12-23 03:43:11:611  temperate3完成落盘
2020-12-23 03:44:22:160  temperate4完成落盘
2020-12-23 03:44:22:161  开始处理数据
