2020-12-27 14:05:31:265  收到来车信号，流水号：20201227140531，所有设备开始采集
2020-12-27 14:05:31:301  开启A/D采集
2020-12-27 14:05:56:967  收到离车信号，流水号：20201227140531，线号：14，车号：051052，主控端：0，所有设备停止采集
2020-12-27 14:05:56:969  收到停止采集命令，开始停止采集
2020-12-27 14:05:56:975  停止采集数据
2020-12-27 14:05:56:977  采集连接已断开
2020-12-27 14:05:56:979  开始数据分析和落盘
2020-12-27 14:06:01:395  vibration1完成落盘
2020-12-27 14:06:05:117  vibration2完成落盘
2020-12-27 14:06:08:540  vibration3完成落盘
2020-12-27 14:06:12:163  vibration4完成落盘
2020-12-27 14:06:15:767  vibration5完成落盘
2020-12-27 14:06:19:196  vibration6完成落盘
2020-12-27 14:06:22:724  vibration7完成落盘
2020-12-27 14:06:26:097  vibration8完成落盘
2020-12-27 14:06:29:610  magnetic1完成落盘
2020-12-27 14:06:33:447  magnetic2完成落盘
2020-12-27 14:06:36:982  magnetic3完成落盘
2020-12-27 14:06:40:440  magnetic4完成落盘
2020-12-27 14:06:43:843  temperate1完成落盘
2020-12-27 14:06:47:344  temperate2完成落盘
2020-12-27 14:06:51:044  temperate3完成落盘
2020-12-27 14:06:54:790  temperate4完成落盘
2020-12-27 14:06:54:798  开始处理数据
2020-12-27 14:06:55:391  右侧计算完成
2020-12-27 14:06:55:892  左侧计算完成
2020-12-27 14:06:55:894  检查结果数据
2020-12-27 14:06:55:896  通知桌面显示数据
2020-12-27 14:06:55:913  开始写入数据库
2020-12-27 14:06:55:934  预警及报警参数加载完成
2020-12-27 14:06:55:936  数据库打开成功
2020-12-27 14:06:55:938  train_info数据表写入成功
2020-12-27 14:06:56:000  train_onlyid读取成功
2020-12-27 14:06:56:005  train_data数据表写入成功
2020-12-27 14:06:56:008  vt_info数据表，第0次写入成功
2020-12-27 14:06:56:011  vt_info数据表，第1次写入成功
2020-12-27 14:06:56:015  vt_info数据表，第2次写入成功
2020-12-27 14:06:56:018  vt_info数据表，第3次写入成功
2020-12-27 14:06:56:022  vt_info数据表，第4次写入成功
2020-12-27 14:06:56:026  vt_info数据表，第5次写入成功
2020-12-27 14:06:56:029  vt_info数据表，第6次写入成功
2020-12-27 14:06:56:033  vt_info数据表，第7次写入成功
2020-12-27 14:06:56:036  vt_info数据表，第8次写入成功
2020-12-27 14:06:56:040  vt_info数据表，第9次写入成功
2020-12-27 14:06:56:043  vt_info数据表，第10次写入成功
2020-12-27 14:06:56:047  vt_info数据表，第11次写入成功
2020-12-27 14:06:56:050  vt_info数据表，第12次写入成功
2020-12-27 14:06:56:054  vt_info数据表，第13次写入成功
2020-12-27 14:06:56:057  vt_info数据表，第14次写入成功
2020-12-27 14:06:56:061  vt_info数据表，第15次写入成功
2020-12-27 14:06:56:065  vt_info数据表，第16次写入成功
2020-12-27 14:06:56:068  vt_info数据表，第17次写入成功
2020-12-27 14:06:56:072  vt_info数据表，第18次写入成功
2020-12-27 14:06:56:076  vt_info数据表，第19次写入成功
2020-12-27 14:06:56:079  vt_info数据表，第20次写入成功
2020-12-27 14:06:56:083  vt_info数据表，第21次写入成功
2020-12-27 14:06:56:087  vt_info数据表，第22次写入成功
2020-12-27 14:06:56:090  vt_info数据表，第23次写入成功
2020-12-27 14:06:56:094  vt_info数据表，第24次写入成功
2020-12-27 14:06:56:098  vt_info数据表，第25次写入成功
2020-12-27 14:06:56:101  vt_info数据表，第26次写入成功
2020-12-27 14:06:56:105  vt_info数据表，第27次写入成功
2020-12-27 14:06:56:109  vt_info数据表，第28次写入成功
2020-12-27 14:06:56:112  vt_info数据表，第29次写入成功
2020-12-27 14:06:56:116  vt_info数据表，第30次写入成功
2020-12-27 14:06:56:120  vt_info数据表，第31次写入成功
2020-12-27 14:06:56:123  vt_info数据表，第32次写入成功
2020-12-27 14:06:56:127  vt_info数据表，第33次写入成功
2020-12-27 14:06:56:131  vt_info数据表，第34次写入成功
2020-12-27 14:06:56:134  vt_info数据表，第35次写入成功
2020-12-27 14:06:56:138  vt_info数据表，第36次写入成功
2020-12-27 14:06:56:141  vt_info数据表，第37次写入成功
2020-12-27 14:06:56:145  vt_info数据表，第38次写入成功
2020-12-27 14:06:56:149  vt_info数据表，第39次写入成功
2020-12-27 14:06:56:152  vt_info数据表，第40次写入成功
2020-12-27 14:06:56:156  vt_info数据表，第41次写入成功
2020-12-27 14:06:56:160  vt_info数据表，第42次写入成功
2020-12-27 14:06:56:163  vt_info数据表，第43次写入成功
2020-12-27 14:06:56:167  vt_info数据表，第44次写入成功
2020-12-27 14:06:56:171  vt_info数据表，第45次写入成功
2020-12-27 14:06:56:174  vt_info数据表，第46次写入成功
2020-12-27 14:06:56:178  vt_info数据表，第47次写入成功
2020-12-27 14:06:56:181  motor_info数据表，第0次写入成功
2020-12-27 14:06:56:183  motor_info数据表，第1次写入成功
2020-12-27 14:06:56:186  motor_info数据表，第2次写入成功
2020-12-27 14:06:56:188  motor_info数据表，第3次写入成功
2020-12-27 14:06:56:191  motor_info数据表，第4次写入成功
2020-12-27 14:06:56:194  motor_info数据表，第5次写入成功
2020-12-27 14:06:56:197  motor_info数据表，第6次写入成功
2020-12-27 14:06:56:199  motor_info数据表，第7次写入成功
2020-12-27 14:06:56:202  motor_info数据表，第8次写入成功
2020-12-27 14:06:56:205  motor_info数据表，第9次写入成功
2020-12-27 14:06:56:207  motor_info数据表，第10次写入成功
2020-12-27 14:06:56:210  motor_info数据表，第11次写入成功
2020-12-27 14:06:56:213  motor_info数据表，第12次写入成功
2020-12-27 14:06:56:215  motor_info数据表，第13次写入成功
2020-12-27 14:06:56:218  motor_info数据表，第14次写入成功
2020-12-27 14:06:56:232  motor_info数据表，第15次写入成功
2020-12-27 14:06:56:234  数据库关闭！
2020-12-27 14:15:31:871  收到来车信号，流水号：20201227141531，所有设备开始采集
2020-12-27 14:15:31:905  开启A/D采集
2020-12-27 14:15:57:660  收到离车信号，流水号：20201227141531，线号：14，车号：015016，主控端：1，所有设备停止采集
2020-12-27 14:15:57:662  收到停止采集命令，开始停止采集
2020-12-27 14:15:57:669  停止采集数据
2020-12-27 14:15:57:671  采集连接已断开
2020-12-27 14:15:57:673  开始数据分析和落盘
2020-12-27 14:16:02:392  vibration1完成落盘
2020-12-27 14:16:05:654  vibration2完成落盘
2020-12-27 14:16:09:079  vibration3完成落盘
2020-12-27 14:16:12:475  vibration4完成落盘
2020-12-27 14:16:15:621  vibration5完成落盘
2020-12-27 14:16:18:997  vibration6完成落盘
2020-12-27 14:16:22:294  vibration7完成落盘
2020-12-27 14:16:25:473  vibration8完成落盘
2020-12-27 14:16:29:538  magnetic1完成落盘
2020-12-27 14:16:33:326  magnetic2完成落盘
2020-12-27 14:16:37:061  magnetic3完成落盘
2020-12-27 14:16:40:706  magnetic4完成落盘
2020-12-27 14:16:44:397  temperate1完成落盘
2020-12-27 14:16:47:739  temperate2完成落盘
2020-12-27 14:16:51:115  temperate3完成落盘
2020-12-27 14:16:54:709  temperate4完成落盘
2020-12-27 14:16:54:723  开始处理数据
2020-12-27 14:16:55:234  右侧计算完成
2020-12-27 14:16:55:618  左侧计算完成
2020-12-27 14:16:55:620  检查结果数据
2020-12-27 14:16:55:622  通知桌面显示数据
2020-12-27 14:16:55:638  开始写入数据库
2020-12-27 14:16:55:657  预警及报警参数加载完成
2020-12-27 14:16:55:659  数据库打开成功
2020-12-27 14:16:55:661  train_info数据表写入成功
2020-12-27 14:16:55:724  train_onlyid读取成功
2020-12-27 14:16:55:728  train_data数据表写入成功
2020-12-27 14:16:55:733  vt_info数据表，第0次写入成功
2020-12-27 14:16:55:737  vt_info数据表，第1次写入成功
2020-12-27 14:16:55:740  vt_info数据表，第2次写入成功
2020-12-27 14:16:55:744  vt_info数据表，第3次写入成功
2020-12-27 14:16:55:748  vt_info数据表，第4次写入成功
2020-12-27 14:16:55:751  vt_info数据表，第5次写入成功
2020-12-27 14:16:55:755  vt_info数据表，第6次写入成功
2020-12-27 14:16:55:759  vt_info数据表，第7次写入成功
2020-12-27 14:16:55:762  vt_info数据表，第8次写入成功
2020-12-27 14:16:55:766  vt_info数据表，第9次写入成功
2020-12-27 14:16:55:769  vt_info数据表，第10次写入成功
2020-12-27 14:16:55:773  vt_info数据表，第11次写入成功
2020-12-27 14:16:55:776  vt_info数据表，第12次写入成功
2020-12-27 14:16:55:780  vt_info数据表，第13次写入成功
2020-12-27 14:16:55:784  vt_info数据表，第14次写入成功
2020-12-27 14:16:55:788  vt_info数据表，第15次写入成功
2020-12-27 14:16:55:792  vt_info数据表，第16次写入成功
2020-12-27 14:16:55:795  vt_info数据表，第17次写入成功
2020-12-27 14:16:55:799  vt_info数据表，第18次写入成功
2020-12-27 14:16:55:803  vt_info数据表，第19次写入成功
2020-12-27 14:16:55:807  vt_info数据表，第20次写入成功
2020-12-27 14:16:55:811  vt_info数据表，第21次写入成功
2020-12-27 14:16:55:815  vt_info数据表，第22次写入成功
2020-12-27 14:16:55:818  vt_info数据表，第23次写入成功
2020-12-27 14:16:55:822  vt_info数据表，第24次写入成功
2020-12-27 14:16:55:826  vt_info数据表，第25次写入成功
2020-12-27 14:16:55:830  vt_info数据表，第26次写入成功
2020-12-27 14:16:55:833  vt_info数据表，第27次写入成功
2020-12-27 14:16:55:837  vt_info数据表，第28次写入成功
2020-12-27 14:16:55:841  vt_info数据表，第29次写入成功
2020-12-27 14:16:55:845  vt_info数据表，第30次写入成功
2020-12-27 14:16:55:849  vt_info数据表，第31次写入成功
2020-12-27 14:16:55:853  vt_info数据表，第32次写入成功
2020-12-27 14:16:55:856  vt_info数据表，第33次写入成功
2020-12-27 14:16:55:860  vt_info数据表，第34次写入成功
2020-12-27 14:16:55:864  vt_info数据表，第35次写入成功
2020-12-27 14:16:55:868  vt_info数据表，第36次写入成功
2020-12-27 14:16:55:872  vt_info数据表，第37次写入成功
2020-12-27 14:16:55:876  vt_info数据表，第38次写入成功
2020-12-27 14:16:55:879  vt_info数据表，第39次写入成功
2020-12-27 14:16:55:883  vt_info数据表，第40次写入成功
2020-12-27 14:16:55:887  vt_info数据表，第41次写入成功
2020-12-27 14:16:55:891  vt_info数据表，第42次写入成功
2020-12-27 14:16:55:895  vt_info数据表，第43次写入成功
2020-12-27 14:16:55:898  vt_info数据表，第44次写入成功
2020-12-27 14:16:55:902  vt_info数据表，第45次写入成功
2020-12-27 14:16:55:906  vt_info数据表，第46次写入成功
2020-12-27 14:16:55:910  vt_info数据表，第47次写入成功
2020-12-27 14:16:55:912  motor_info数据表，第0次写入成功
2020-12-27 14:16:55:915  motor_info数据表，第1次写入成功
2020-12-27 14:16:55:918  motor_info数据表，第2次写入成功
2020-12-27 14:16:55:921  motor_info数据表，第3次写入成功
2020-12-27 14:16:55:923  motor_info数据表，第4次写入成功
2020-12-27 14:16:55:926  motor_info数据表，第5次写入成功
2020-12-27 14:16:55:929  motor_info数据表，第6次写入成功
2020-12-27 14:16:55:932  motor_info数据表，第7次写入成功
2020-12-27 14:16:55:934  motor_info数据表，第8次写入成功
2020-12-27 14:16:55:937  motor_info数据表，第9次写入成功
2020-12-27 14:16:55:940  motor_info数据表，第10次写入成功
2020-12-27 14:16:55:943  motor_info数据表，第11次写入成功
2020-12-27 14:16:55:945  motor_info数据表，第12次写入成功
2020-12-27 14:16:55:948  motor_info数据表，第13次写入成功
2020-12-27 14:16:55:951  motor_info数据表，第14次写入成功
2020-12-27 14:16:55:965  motor_info数据表，第15次写入成功
2020-12-27 14:16:55:967  数据库关闭！
2020-12-27 14:25:26:364  收到来车信号，流水号：20201227142526，所有设备开始采集
2020-12-27 14:25:26:399  开启A/D采集
2020-12-27 14:25:51:864  收到离车信号，流水号：20201227142526，线号：14，车号：059060，主控端：0，所有设备停止采集
2020-12-27 14:25:51:866  收到停止采集命令，开始停止采集
2020-12-27 14:25:51:870  停止采集数据
2020-12-27 14:25:51:872  采集连接已断开
2020-12-27 14:25:51:874  开始数据分析和落盘
2020-12-27 14:25:56:327  vibration1完成落盘
2020-12-27 14:26:00:465  vibration2完成落盘
2020-12-27 14:26:04:252  vibration3完成落盘
2020-12-27 14:26:07:971  vibration4完成落盘
2020-12-27 14:26:11:439  vibration5完成落盘
2020-12-27 14:26:15:177  vibration6完成落盘
2020-12-27 14:26:18:604  vibration7完成落盘
2020-12-27 14:26:21:839  vibration8完成落盘
2020-12-27 14:26:25:674  magnetic1完成落盘
2020-12-27 14:26:29:362  magnetic2完成落盘
2020-12-27 14:26:32:744  magnetic3完成落盘
2020-12-27 14:26:36:813  magnetic4完成落盘
2020-12-27 14:26:40:285  temperate1完成落盘
2020-12-27 14:26:43:431  temperate2完成落盘
2020-12-27 14:26:46:752  temperate3完成落盘
2020-12-27 14:26:50:362  temperate4完成落盘
2020-12-27 14:26:50:371  开始处理数据
2020-12-27 14:26:50:915  右侧计算完成
2020-12-27 14:26:51:280  左侧计算完成
2020-12-27 14:26:51:282  检查结果数据
2020-12-27 14:26:51:284  通知桌面显示数据
2020-12-27 14:26:51:300  开始写入数据库
2020-12-27 14:26:51:321  预警及报警参数加载完成
2020-12-27 14:26:51:323  数据库打开成功
2020-12-27 14:26:51:325  train_info数据表写入成功
2020-12-27 14:26:51:387  train_onlyid读取成功
2020-12-27 14:26:51:392  train_data数据表写入成功
2020-12-27 14:26:51:395  vt_info数据表，第0次写入成功
2020-12-27 14:26:51:399  vt_info数据表，第1次写入成功
2020-12-27 14:26:51:403  vt_info数据表，第2次写入成功
2020-12-27 14:26:51:406  vt_info数据表，第3次写入成功
2020-12-27 14:26:51:410  vt_info数据表，第4次写入成功
2020-12-27 14:26:51:413  vt_info数据表，第5次写入成功
2020-12-27 14:26:51:417  vt_info数据表，第6次写入成功
2020-12-27 14:26:51:421  vt_info数据表，第7次写入成功
2020-12-27 14:26:51:424  vt_info数据表，第8次写入成功
2020-12-27 14:26:51:428  vt_info数据表，第9次写入成功
2020-12-27 14:26:51:431  vt_info数据表，第10次写入成功
2020-12-27 14:26:51:435  vt_info数据表，第11次写入成功
2020-12-27 14:26:51:439  vt_info数据表，第12次写入成功
2020-12-27 14:26:51:442  vt_info数据表，第13次写入成功
2020-12-27 14:26:51:446  vt_info数据表，第14次写入成功
2020-12-27 14:26:51:450  vt_info数据表，第15次写入成功
2020-12-27 14:26:51:453  vt_info数据表，第16次写入成功
2020-12-27 14:26:51:457  vt_info数据表，第17次写入成功
2020-12-27 14:26:51:460  vt_info数据表，第18次写入成功
2020-12-27 14:26:51:464  vt_info数据表，第19次写入成功
2020-12-27 14:26:51:468  vt_info数据表，第20次写入成功
2020-12-27 14:26:51:472  vt_info数据表，第21次写入成功
2020-12-27 14:26:51:475  vt_info数据表，第22次写入成功
2020-12-27 14:26:51:479  vt_info数据表，第23次写入成功
2020-12-27 14:26:51:483  vt_info数据表，第24次写入成功
2020-12-27 14:26:51:486  vt_info数据表，第25次写入成功
2020-12-27 14:26:51:490  vt_info数据表，第26次写入成功
2020-12-27 14:26:51:494  vt_info数据表，第27次写入成功
2020-12-27 14:26:51:497  vt_info数据表，第28次写入成功
2020-12-27 14:26:51:501  vt_info数据表，第29次写入成功
2020-12-27 14:26:51:504  vt_info数据表，第30次写入成功
2020-12-27 14:26:51:508  vt_info数据表，第31次写入成功
2020-12-27 14:26:51:512  vt_info数据表，第32次写入成功
2020-12-27 14:26:51:516  vt_info数据表，第33次写入成功
2020-12-27 14:26:51:519  vt_info数据表，第34次写入成功
2020-12-27 14:26:51:523  vt_info数据表，第35次写入成功
2020-12-27 14:26:51:527  vt_info数据表，第36次写入成功
2020-12-27 14:26:51:530  vt_info数据表，第37次写入成功
2020-12-27 14:26:51:534  vt_info数据表，第38次写入成功
2020-12-27 14:26:51:538  vt_info数据表，第39次写入成功
2020-12-27 14:26:51:541  vt_info数据表，第40次写入成功
2020-12-27 14:26:51:545  vt_info数据表，第41次写入成功
2020-12-27 14:26:51:548  vt_info数据表，第42次写入成功
2020-12-27 14:26:51:552  vt_info数据表，第43次写入成功
2020-12-27 14:26:51:555  vt_info数据表，第44次写入成功
2020-12-27 14:26:51:559  vt_info数据表，第45次写入成功
