2020-12-12 14:05:25:445  收到来车信号，流水号：20201212140525，所有设备开始采集
2020-12-12 14:05:25:476  开启A/D采集
2020-12-12 14:05:51:164  收到离车信号，流水号：20201212140525，线号：14，车号：013014，主控端：0，所有设备停止采集
2020-12-12 14:05:51:164  收到停止采集命令，开始停止采集
2020-12-12 14:05:51:164  停止采集数据
2020-12-12 14:05:51:164  采集连接已断开
2020-12-12 14:05:51:179  开始数据分析和落盘
2020-12-12 14:05:56:367  vibration1完成落盘
2020-12-12 14:06:00:742  vibration2完成落盘
2020-12-12 14:06:05:195  vibration3完成落盘
2020-12-12 14:06:09:711  vibration4完成落盘
2020-12-12 14:06:14:008  vibration5完成落盘
2020-12-12 14:06:18:070  vibration6完成落盘
2020-12-12 14:06:22:320  vibration7完成落盘
2020-12-12 14:06:26:445  vibration8完成落盘
2020-12-12 14:06:30:898  magnetic1完成落盘
2020-12-12 14:06:35:367  magnetic2完成落盘
2020-12-12 14:06:39:851  magnetic3完成落盘
2020-12-12 14:06:44:242  magnetic4完成落盘
2020-12-12 14:06:48:492  temperate1完成落盘
2020-12-12 14:06:52:727  temperate2完成落盘
2020-12-12 14:06:56:961  temperate3完成落盘
2020-12-12 14:07:01:195  temperate4完成落盘
2020-12-12 14:07:01:195  开始处理数据
2020-12-12 14:07:01:852  右侧计算完成
2020-12-12 14:07:02:383  左侧计算完成
2020-12-12 14:07:02:383  检查结果数据
2020-12-12 14:07:02:383  通知桌面显示数据
2020-12-12 14:07:02:398  开始写入数据库
2020-12-12 14:07:02:414  预警及报警参数加载完成
2020-12-12 14:07:02:414  数据库打开成功
2020-12-12 14:07:02:414  train_info数据表写入成功
2020-12-12 14:07:02:477  train_onlyid读取成功
2020-12-12 14:07:02:477  train_data数据表写入成功
2020-12-12 14:07:02:492  vt_info数据表，第0次写入成功
2020-12-12 14:07:02:492  vt_info数据表，第1次写入成功
2020-12-12 14:07:02:492  vt_info数据表，第2次写入成功
2020-12-12 14:07:02:492  vt_info数据表，第3次写入成功
2020-12-12 14:07:02:508  vt_info数据表，第4次写入成功
2020-12-12 14:07:02:508  vt_info数据表，第5次写入成功
2020-12-12 14:07:02:508  vt_info数据表，第6次写入成功
2020-12-12 14:07:02:508  vt_info数据表，第7次写入成功
2020-12-12 14:07:02:523  vt_info数据表，第8次写入成功
2020-12-12 14:07:02:523  vt_info数据表，第9次写入成功
2020-12-12 14:07:02:523  vt_info数据表，第10次写入成功
2020-12-12 14:07:02:523  vt_info数据表，第11次写入成功
