2020-12-22 15:01:30:742  收到来车信号，流水号：20201222150130，所有设备开始采集
2020-12-22 15:01:30:797  开启A/D采集
2020-12-22 15:01:56:542  收到离车信号，流水号：20201222150130，线号：21，车号：031032，主控端：1，所有设备停止采集
2020-12-22 15:01:56:566  收到停止采集命令，开始停止采集
2020-12-22 15:01:56:592  停止采集数据
2020-12-22 15:01:56:594  采集连接已断开
2020-12-22 15:01:56:596  开始数据分析和落盘
2020-12-22 15:01:57:468  vibration1.txt文件创建失败
2020-12-22 15:01:58:841  vibration1完成落盘
2020-12-22 15:01:58:956  vibration2.txt文件创建失败
2020-12-22 15:02:00:522  vibration2完成落盘
2020-12-22 15:02:00:634  vibration3.txt文件创建失败
2020-12-22 15:02:02:130  vibration3完成落盘
2020-12-22 15:02:02:249  vibration4.txt文件创建失败
2020-12-22 15:02:03:825  vibration4完成落盘
2020-12-22 15:02:03:945  vibration5.txt文件创建失败
2020-12-22 15:02:05:365  vibration5完成落盘
2020-12-22 15:02:05:466  vibration6.txt文件创建失败
2020-12-22 15:02:07:131  vibration6完成落盘
2020-12-22 15:02:07:253  vibration7.txt文件创建失败
2020-12-22 15:02:08:883  vibration7完成落盘
2020-12-22 15:02:09:009  vibration8.txt文件创建失败
2020-12-22 15:02:10:502  vibration8完成落盘
2020-12-22 15:02:10:622  magnetic1.txt文件创建失败
2020-12-22 15:02:11:983  magnetic1完成落盘
2020-12-22 15:02:12:096  magnetic2.txt文件创建失败
2020-12-22 15:02:13:517  magnetic2完成落盘
2020-12-22 15:02:13:622  magnetic3.txt文件创建失败
2020-12-22 15:02:15:068  magnetic3完成落盘
2020-12-22 15:02:15:189  magnetic4.txt文件创建失败
2020-12-22 15:02:16:843  magnetic4完成落盘
2020-12-22 15:02:16:936  temperate1.txt文件创建失败
2020-12-22 15:02:18:297  temperate1完成落盘
2020-12-22 15:02:18:423  temperate2.txt文件创建失败
2020-12-22 15:02:19:707  temperate2完成落盘
2020-12-22 15:02:19:817  temperate3.txt文件创建失败
2020-12-22 15:02:21:266  temperate3完成落盘
2020-12-22 15:02:21:375  temperate4.txt文件创建失败
2020-12-22 15:02:22:798  temperate4完成落盘
2020-12-22 15:02:22:806  开始处理数据
2020-12-22 15:02:23:437  右侧计算完成
2020-12-22 15:02:23:966  左侧计算完成
2020-12-22 15:02:23:967  检查结果数据
2020-12-22 15:02:23:969  通知桌面显示数据
2020-12-22 15:02:23:985  开始写入数据库
2020-12-22 15:02:24:123  预警及报警参数加载完成
2020-12-22 15:02:24:125  数据库打开成功
2020-12-22 15:02:24:126  train_info数据表写入成功
2020-12-22 15:02:24:128  train_onlyid读取成功
2020-12-22 15:02:24:129  train_data数据表写入成功
2020-12-22 15:02:24:131  vt_info数据表，第0次写入成功
2020-12-22 15:02:24:132  vt_info数据表，第1次写入成功
2020-12-22 15:02:24:134  vt_info数据表，第2次写入成功
2020-12-22 15:02:24:135  vt_info数据表，第3次写入成功
2020-12-22 15:02:24:137  vt_info数据表，第4次写入成功
2020-12-22 15:02:24:139  vt_info数据表，第5次写入成功
2020-12-22 15:02:24:140  vt_info数据表，第6次写入成功
2020-12-22 15:02:24:142  vt_info数据表，第7次写入成功
2020-12-22 15:02:24:143  vt_info数据表，第8次写入成功
2020-12-22 15:02:24:145  vt_info数据表，第9次写入成功
2020-12-22 15:02:24:147  vt_info数据表，第10次写入成功
2020-12-22 15:02:24:149  vt_info数据表，第11次写入成功
2020-12-22 15:02:24:171  vt_info数据表，第12次写入成功
2020-12-22 15:02:24:172  vt_info数据表，第13次写入成功
2020-12-22 15:02:24:174  vt_info数据表，第14次写入成功
