2020-12-21 22:07:11:873  收到来车信号，流水号：20201221220711，所有设备开始采集
2020-12-21 22:07:11:941  开启A/D采集
2020-12-21 22:07:33:372  收到离车信号，流水号：20201221220711，线号：14，车号：049050，主控端：0，所有设备停止采集
2020-12-21 22:07:33:406  收到停止采集命令，开始停止采集
2020-12-21 22:07:33:445  停止采集数据
2020-12-21 22:07:33:446  采集连接已断开
2020-12-21 22:07:33:448  开始数据分析和落盘
2020-12-21 22:07:38:125  vibration1完成落盘
2020-12-21 22:07:42:063  vibration2完成落盘
2020-12-21 22:07:45:699  vibration3完成落盘
2020-12-21 22:07:49:112  vibration4完成落盘
2020-12-21 22:07:52:858  vibration5完成落盘
2020-12-21 22:07:56:257  vibration6完成落盘
2020-12-21 22:08:00:280  vibration7完成落盘
2020-12-21 22:08:04:342  vibration8完成落盘
2020-12-21 22:08:07:673  magnetic1完成落盘
2020-12-21 22:08:11:095  magnetic2完成落盘
2020-12-21 22:08:14:602  magnetic3完成落盘
2020-12-21 22:08:18:485  magnetic4完成落盘
2020-12-21 22:08:22:067  temperate1完成落盘
2020-12-21 22:08:25:348  temperate2完成落盘
2020-12-21 22:08:29:353  temperate3完成落盘
2020-12-21 22:08:32:324  temperate4完成落盘
2020-12-21 22:08:32:331  开始处理数据
2020-12-21 22:08:32:879  右侧计算完成
2020-12-21 22:08:33:327  左侧计算完成
2020-12-21 22:08:33:329  检查结果数据
2020-12-21 22:08:33:330  通知桌面显示数据
2020-12-21 22:08:33:347  开始写入数据库
2020-12-21 22:08:33:375  预警及报警参数加载完成
2020-12-21 22:08:33:376  数据库打开成功
2020-12-21 22:08:33:378  train_info数据表写入成功
2020-12-21 22:08:33:560  train_onlyid读取成功
2020-12-21 22:08:33:562  train_data数据表写入成功
2020-12-21 22:08:33:563  vt_info数据表，第0次写入成功
2020-12-21 22:08:33:565  vt_info数据表，第1次写入成功
2020-12-21 22:08:33:566  vt_info数据表，第2次写入成功
2020-12-21 22:08:33:568  vt_info数据表，第3次写入成功
2020-12-21 22:08:33:569  vt_info数据表，第4次写入成功
2020-12-21 22:08:33:571  vt_info数据表，第5次写入成功
2020-12-21 22:08:33:572  vt_info数据表，第6次写入成功
2020-12-21 22:08:33:574  vt_info数据表，第7次写入成功
2020-12-21 22:08:33:575  vt_info数据表，第8次写入成功
2020-12-21 22:08:33:577  vt_info数据表，第9次写入成功
2020-12-21 22:08:33:578  vt_info数据表，第10次写入成功
2020-12-21 22:08:33:580  vt_info数据表，第11次写入成功
2020-12-21 22:08:33:581  vt_info数据表，第12次写入成功
2020-12-21 22:08:33:583  vt_info数据表，第13次写入成功
2020-12-21 22:08:33:585  vt_info数据表，第14次写入成功
2020-12-21 22:08:33:586  vt_info数据表，第15次写入成功
2020-12-21 22:08:33:619  vt_info数据表，第16次写入成功
2020-12-21 22:08:33:621  vt_info数据表，第17次写入成功
2020-12-21 22:08:33:622  vt_info数据表，第18次写入成功
2020-12-21 22:08:33:624  vt_info数据表，第19次写入成功
2020-12-21 22:08:33:626  vt_info数据表，第20次写入成功
2020-12-21 22:08:33:627  vt_info数据表，第21次写入成功
2020-12-21 22:08:33:629  vt_info数据表，第22次写入成功
2020-12-21 22:08:33:630  vt_info数据表，第23次写入成功
2020-12-21 22:08:33:632  vt_info数据表，第24次写入成功
2020-12-21 22:08:33:634  vt_info数据表，第25次写入成功
2020-12-21 22:08:33:635  vt_info数据表，第26次写入成功
2020-12-21 22:08:33:637  vt_info数据表，第27次写入成功
2020-12-21 22:08:33:638  vt_info数据表，第28次写入成功
2020-12-21 22:08:33:640  vt_info数据表，第29次写入成功
2020-12-21 22:08:33:642  vt_info数据表，第30次写入成功
2020-12-21 22:08:33:643  vt_info数据表，第31次写入成功
2020-12-21 22:08:33:676  vt_info数据表，第32次写入成功
2020-12-21 22:08:33:678  vt_info数据表，第33次写入成功
2020-12-21 22:08:33:680  vt_info数据表，第34次写入成功
2020-12-21 22:08:33:681  vt_info数据表，第35次写入成功
2020-12-21 22:08:33:683  vt_info数据表，第36次写入成功
2020-12-21 22:08:33:685  vt_info数据表，第37次写入成功
2020-12-21 22:08:33:686  vt_info数据表，第38次写入成功
2020-12-21 22:08:33:688  vt_info数据表，第39次写入成功
2020-12-21 22:08:33:689  vt_info数据表，第40次写入成功
2020-12-21 22:08:33:691  vt_info数据表，第41次写入成功
2020-12-21 22:08:33:693  vt_info数据表，第42次写入成功
2020-12-21 22:08:33:694  vt_info数据表，第43次写入成功
2020-12-21 22:08:33:696  vt_info数据表，第44次写入成功
2020-12-21 22:08:33:697  vt_info数据表，第45次写入成功
2020-12-21 22:08:33:699  vt_info数据表，第46次写入成功
2020-12-21 22:08:33:701  vt_info数据表，第47次写入成功
2020-12-21 22:08:33:743  motor_info数据表，第0次写入成功
2020-12-21 22:08:33:745  motor_info数据表，第1次写入成功
2020-12-21 22:08:33:746  motor_info数据表，第2次写入成功
2020-12-21 22:08:33:748  motor_info数据表，第3次写入成功
2020-12-21 22:08:33:749  motor_info数据表，第4次写入成功
2020-12-21 22:08:33:751  motor_info数据表，第5次写入成功
2020-12-21 22:08:33:752  motor_info数据表，第6次写入成功
2020-12-21 22:08:33:754  motor_info数据表，第7次写入成功
2020-12-21 22:08:33:755  motor_info数据表，第8次写入成功
2020-12-21 22:08:33:757  motor_info数据表，第9次写入成功
2020-12-21 22:08:33:758  motor_info数据表，第10次写入成功
2020-12-21 22:08:33:760  motor_info数据表，第11次写入成功
2020-12-21 22:08:33:761  motor_info数据表，第12次写入成功
2020-12-21 22:08:33:763  motor_info数据表，第13次写入成功
2020-12-21 22:08:33:764  motor_info数据表，第14次写入成功
2020-12-21 22:08:33:766  motor_info数据表，第15次写入成功
2020-12-21 22:08:33:767  数据库关闭！
2020-12-21 22:13:08:074  收到来车信号，流水号：20201221221308，所有设备开始采集
2020-12-21 22:13:08:141  开启A/D采集
2020-12-21 22:13:29:268  收到离车信号，流水号：20201221221308，线号：14，车号：003004，主控端：1，所有设备停止采集
2020-12-21 22:13:29:302  收到停止采集命令，开始停止采集
2020-12-21 22:13:29:339  停止采集数据
2020-12-21 22:13:29:340  采集连接已断开
2020-12-21 22:13:29:342  开始数据分析和落盘
2020-12-21 22:13:34:126  vibration1完成落盘
2020-12-21 22:13:38:211  vibration2完成落盘
2020-12-21 22:13:42:352  vibration3完成落盘
2020-12-21 22:13:46:520  vibration4完成落盘
2020-12-21 22:13:50:680  vibration5完成落盘
