2020-12-25 15:01:39:169  收到来车信号，流水号：20201225150139，所有设备开始采集
2020-12-25 15:01:39:206  开启A/D采集
2020-12-25 15:02:04:864  收到离车信号，流水号：20201225150139，线号：14，车号：015016，主控端：1，所有设备停止采集
2020-12-25 15:02:04:866  收到停止采集命令，开始停止采集
2020-12-25 15:02:04:871  停止采集数据
2020-12-25 15:02:04:873  采集连接已断开
2020-12-25 15:02:04:875  开始数据分析和落盘
2020-12-25 15:02:09:722  vibration1完成落盘
2020-12-25 15:02:14:024  vibration2完成落盘
2020-12-25 15:02:17:642  vibration3完成落盘
2020-12-25 15:02:21:692  vibration4完成落盘
2020-12-25 15:02:25:716  vibration5完成落盘
2020-12-25 15:02:30:120  vibration6完成落盘
2020-12-25 15:02:34:459  vibration7完成落盘
2020-12-25 15:02:38:264  vibration8完成落盘
2020-12-25 15:02:41:794  magnetic1完成落盘
2020-12-25 15:02:45:681  magnetic2完成落盘
2020-12-25 15:02:50:003  magnetic3完成落盘
2020-12-25 15:02:54:029  magnetic4完成落盘
2020-12-25 15:02:57:761  temperate1完成落盘
2020-12-25 15:03:01:619  temperate2完成落盘
2020-12-25 15:03:05:742  temperate3完成落盘
2020-12-25 15:03:09:258  temperate4完成落盘
2020-12-25 15:03:09:266  开始处理数据
2020-12-25 15:03:09:859  右侧计算完成
2020-12-25 15:03:10:373  左侧计算完成
2020-12-25 15:03:10:375  检查结果数据
2020-12-25 15:03:10:377  通知桌面显示数据
2020-12-25 15:03:10:394  开始写入数据库
2020-12-25 15:03:10:412  预警及报警参数加载完成
2020-12-25 15:03:10:414  数据库打开成功
2020-12-25 15:03:10:416  train_info数据表写入成功
2020-12-25 15:03:10:478  train_onlyid读取成功
2020-12-25 15:03:10:482  train_data数据表写入成功
2020-12-25 15:03:10:486  vt_info数据表，第0次写入成功
2020-12-25 15:03:10:489  vt_info数据表，第1次写入成功
2020-12-25 15:03:10:493  vt_info数据表，第2次写入成功
2020-12-25 15:03:10:496  vt_info数据表，第3次写入成功
2020-12-25 15:03:10:500  vt_info数据表，第4次写入成功
2020-12-25 15:03:10:504  vt_info数据表，第5次写入成功
2020-12-25 15:03:10:507  vt_info数据表，第6次写入成功
2020-12-25 15:03:10:511  vt_info数据表，第7次写入成功
2020-12-25 15:03:10:515  vt_info数据表，第8次写入成功
2020-12-25 15:03:10:518  vt_info数据表，第9次写入成功
2020-12-25 15:03:10:522  vt_info数据表，第10次写入成功
2020-12-25 15:03:10:525  vt_info数据表，第11次写入成功
2020-12-25 15:03:10:529  vt_info数据表，第12次写入成功
2020-12-25 15:03:10:533  vt_info数据表，第13次写入成功
2020-12-25 15:03:10:536  vt_info数据表，第14次写入成功
2020-12-25 15:03:10:540  vt_info数据表，第15次写入成功
2020-12-25 15:03:10:543  vt_info数据表，第16次写入成功
2020-12-25 15:03:10:547  vt_info数据表，第17次写入成功
2020-12-25 15:03:10:550  vt_info数据表，第18次写入成功
2020-12-25 15:03:10:554  vt_info数据表，第19次写入成功
2020-12-25 15:03:10:558  vt_info数据表，第20次写入成功
2020-12-25 15:03:10:561  vt_info数据表，第21次写入成功
2020-12-25 15:03:10:565  vt_info数据表，第22次写入成功
2020-12-25 15:03:10:568  vt_info数据表，第23次写入成功
2020-12-25 15:03:10:572  vt_info数据表，第24次写入成功
2020-12-25 15:03:10:576  vt_info数据表，第25次写入成功
2020-12-25 15:03:10:579  vt_info数据表，第26次写入成功
2020-12-25 15:03:10:583  vt_info数据表，第27次写入成功
2020-12-25 15:03:10:587  vt_info数据表，第28次写入成功
2020-12-25 15:03:10:590  vt_info数据表，第29次写入成功
2020-12-25 15:03:10:594  vt_info数据表，第30次写入成功
2020-12-25 15:03:10:598  vt_info数据表，第31次写入成功
2020-12-25 15:03:10:601  vt_info数据表，第32次写入成功
2020-12-25 15:03:10:605  vt_info数据表，第33次写入成功
2020-12-25 15:03:10:609  vt_info数据表，第34次写入成功
2020-12-25 15:03:10:612  vt_info数据表，第35次写入成功
2020-12-25 15:03:10:616  vt_info数据表，第36次写入成功
2020-12-25 15:03:10:620  vt_info数据表，第37次写入成功
2020-12-25 15:03:10:624  vt_info数据表，第38次写入成功
2020-12-25 15:03:10:627  vt_info数据表，第39次写入成功
2020-12-25 15:03:10:631  vt_info数据表，第40次写入成功
2020-12-25 15:03:10:635  vt_info数据表，第41次写入成功
2020-12-25 15:03:10:639  vt_info数据表，第42次写入成功
2020-12-25 15:03:10:642  vt_info数据表，第43次写入成功
2020-12-25 15:03:10:646  vt_info数据表，第44次写入成功
2020-12-25 15:03:10:649  vt_info数据表，第45次写入成功
2020-12-25 15:03:10:653  vt_info数据表，第46次写入成功
2020-12-25 15:03:10:657  vt_info数据表，第47次写入成功
2020-12-25 15:03:10:660  motor_info数据表，第0次写入成功
2020-12-25 15:03:10:662  motor_info数据表，第1次写入成功
2020-12-25 15:03:10:665  motor_info数据表，第2次写入成功
2020-12-25 15:03:10:668  motor_info数据表，第3次写入成功
2020-12-25 15:03:10:670  motor_info数据表，第4次写入成功
2020-12-25 15:03:10:673  motor_info数据表，第5次写入成功
2020-12-25 15:03:10:676  motor_info数据表，第6次写入成功
