2020-12-20 23:02:47:317  收到来车信号，流水号：20201220230247，所有设备开始采集
2020-12-20 23:02:47:464  开启A/D采集
2020-12-20 23:03:13:005  收到离车信号，流水号：20201220230247，线号：14，车号：041042，主控端：1，所有设备停止采集
2020-12-20 23:03:13:008  收到停止采集命令，开始停止采集
2020-12-20 23:03:13:010  停止采集数据
2020-12-20 23:03:13:012  采集连接已断开
2020-12-20 23:03:13:014  开始数据分析和落盘
2020-12-20 23:03:33:858  vibration1完成落盘
2020-12-20 23:03:51:698  vibration2完成落盘
2020-12-20 23:04:09:154  vibration3完成落盘
2020-12-20 23:04:26:272  vibration4完成落盘
2020-12-20 23:04:45:031  vibration5完成落盘
2020-12-20 23:05:02:820  vibration6完成落盘
2020-12-20 23:05:20:446  vibration7完成落盘
2020-12-20 23:05:38:430  vibration8完成落盘
2020-12-20 23:05:56:903  magnetic1完成落盘
2020-12-20 23:06:14:457  magnetic2完成落盘
2020-12-20 23:06:31:801  magnetic3完成落盘
2020-12-20 23:06:49:828  magnetic4完成落盘
2020-12-20 23:07:08:222  temperate1完成落盘
2020-12-20 23:07:25:392  temperate2完成落盘
2020-12-20 23:07:42:735  temperate3完成落盘
2020-12-20 23:08:01:046  temperate4完成落盘
2020-12-20 23:08:01:054  开始处理数据
2020-12-20 23:08:01:989  右侧计算完成
2020-12-20 23:08:02:365  左侧计算完成
2020-12-20 23:08:02:367  检查结果数据
2020-12-20 23:08:02:369  通知桌面显示数据
2020-12-20 23:08:02:385  开始写入数据库
2020-12-20 23:08:02:404  预警及报警参数加载完成
2020-12-20 23:08:02:406  数据库打开成功
2020-12-20 23:08:02:408  train_info数据表写入成功
2020-12-20 23:08:02:469  train_onlyid读取成功
2020-12-20 23:08:02:474  train_data数据表写入成功
2020-12-20 23:08:02:477  vt_info数据表，第0次写入成功
2020-12-20 23:08:02:481  vt_info数据表，第1次写入成功
2020-12-20 23:08:02:484  vt_info数据表，第2次写入成功
2020-12-20 23:08:02:488  vt_info数据表，第3次写入成功
2020-12-20 23:08:02:491  vt_info数据表，第4次写入成功
2020-12-20 23:08:02:495  vt_info数据表，第5次写入成功
2020-12-20 23:08:02:498  vt_info数据表，第6次写入成功
2020-12-20 23:08:02:502  vt_info数据表，第7次写入成功
2020-12-20 23:08:02:505  vt_info数据表，第8次写入成功
2020-12-20 23:08:02:509  vt_info数据表，第9次写入成功
2020-12-20 23:08:02:513  vt_info数据表，第10次写入成功
2020-12-20 23:08:02:516  vt_info数据表，第11次写入成功
2020-12-20 23:08:02:520  vt_info数据表，第12次写入成功
2020-12-20 23:08:02:523  vt_info数据表，第13次写入成功
2020-12-20 23:08:02:527  vt_info数据表，第14次写入成功
2020-12-20 23:08:02:530  vt_info数据表，第15次写入成功
2020-12-20 23:08:02:533  vt_info数据表，第16次写入成功
2020-12-20 23:08:02:537  vt_info数据表，第17次写入成功
2020-12-20 23:08:02:540  vt_info数据表，第18次写入成功
2020-12-20 23:08:02:544  vt_info数据表，第19次写入成功
2020-12-20 23:08:02:547  vt_info数据表，第20次写入成功
2020-12-20 23:08:02:551  vt_info数据表，第21次写入成功
