2020-12-20 08:05:02:539  收到来车信号，流水号：20201220080502，所有设备开始采集
2020-12-20 08:05:02:687  开启A/D采集
2020-12-20 08:05:28:336  收到离车信号，流水号：20201220080502，线号：14，车号：041042，主控端：1，所有设备停止采集
2020-12-20 08:05:28:339  收到停止采集命令，开始停止采集
2020-12-20 08:05:28:341  停止采集数据
2020-12-20 08:05:28:343  采集连接已断开
2020-12-20 08:05:28:345  开始数据分析和落盘
2020-12-20 08:05:52:632  vibration1完成落盘
2020-12-20 08:06:13:218  vibration2完成落盘
2020-12-20 08:06:32:646  vibration3完成落盘
2020-12-20 08:06:54:032  vibration4完成落盘
2020-12-20 08:07:15:015  vibration5完成落盘
2020-12-20 08:07:35:454  vibration6完成落盘
2020-12-20 08:07:56:092  vibration7完成落盘
2020-12-20 08:08:16:651  vibration8完成落盘
2020-12-20 08:08:36:555  magnetic1完成落盘
2020-12-20 08:08:57:478  magnetic2完成落盘
2020-12-20 08:09:17:655  magnetic3完成落盘
2020-12-20 08:09:39:266  magnetic4完成落盘
2020-12-20 08:10:00:333  temperate1完成落盘
2020-12-20 08:10:20:424  temperate2完成落盘
2020-12-20 08:10:40:061  temperate3完成落盘
2020-12-20 08:11:01:311  temperate4完成落盘
2020-12-20 08:11:01:319  开始处理数据
2020-12-20 08:11:02:321  右侧计算完成
2020-12-20 08:11:02:737  左侧计算完成
2020-12-20 08:11:02:739  检查结果数据
2020-12-20 08:11:02:741  通知桌面显示数据
2020-12-20 08:11:02:758  开始写入数据库
2020-12-20 08:11:02:778  预警及报警参数加载完成
2020-12-20 08:11:02:780  数据库打开成功
2020-12-20 08:11:02:782  train_info数据表写入成功
2020-12-20 08:11:02:843  train_onlyid读取成功
2020-12-20 08:11:02:847  train_data数据表写入成功
2020-12-20 08:11:02:850  vt_info数据表，第0次写入成功
2020-12-20 08:11:02:854  vt_info数据表，第1次写入成功
2020-12-20 08:11:02:858  vt_info数据表，第2次写入成功
2020-12-20 08:11:02:862  vt_info数据表，第3次写入成功
2020-12-20 08:11:02:865  vt_info数据表，第4次写入成功
2020-12-20 08:11:02:869  vt_info数据表，第5次写入成功
2020-12-20 08:11:02:873  vt_info数据表，第6次写入成功
2020-12-20 08:11:02:876  vt_info数据表，第7次写入成功
2020-12-20 08:11:02:880  vt_info数据表，第8次写入成功
2020-12-20 08:11:02:884  vt_info数据表，第9次写入成功
2020-12-20 08:11:02:888  vt_info数据表，第10次写入成功
2020-12-20 08:11:02:892  vt_info数据表，第11次写入成功
2020-12-20 08:11:02:895  vt_info数据表，第12次写入成功
2020-12-20 08:11:02:898  vt_info数据表，第13次写入成功
