2020-12-28 01:23:54:196  磁钢信号预处理完成，位置标记：1
2020-12-28 01:23:54:208  温度分轮成功，分轮数尺度为：44
2020-12-28 01:23:54:209  m_nAxleMarkG2数据异常，位置标记：1
2020-12-28 01:23:54:210  m_nAxleMarkG2数据不是48个，数据异常，位置标记：1
2020-12-28 01:23:54:210  车速为：-56.1356位置标记为：1
2020-12-28 01:23:54:222  振动有效标记位计算异常，位置标记为：1
2020-12-28 01:23:54:270  磁钢信号预处理完成，位置标记：0
2020-12-28 01:23:54:282  温度分轮成功，分轮数尺度为：44
2020-12-28 01:23:54:283  m_nAxleMarkG2数据异常，位置标记：0
2020-12-28 01:23:54:284  m_nAxleMarkG2数据不是48个，数据异常，位置标记：0
2020-12-28 01:23:54:284  车速为：-56.1356位置标记为：0
2020-12-28 01:23:54:296  振动有效标记位计算异常，位置标记为：0
