2020-12-28 01:22:33:732  收到来车信号，流水号：20201228012233，所有设备开始采集
2020-12-28 01:22:33:784  开启A/D采集
2020-12-28 01:22:56:906  收到离车信号，流水号：20201228012233，线号：14，车号：023024，主控端：0，所有设备停止采集
2020-12-28 01:22:56:908  收到停止采集命令，开始停止采集
2020-12-28 01:22:56:911  停止采集数据
2020-12-28 01:22:56:914  采集连接已断开
2020-12-28 01:22:56:916  开始数据分析和落盘
2020-12-28 01:23:01:182  vibration1完成落盘
2020-12-28 01:23:04:552  vibration2完成落盘
2020-12-28 01:23:08:373  vibration3完成落盘
2020-12-28 01:23:12:039  vibration4完成落盘
2020-12-28 01:23:15:650  vibration5完成落盘
2020-12-28 01:23:19:326  vibration6完成落盘
2020-12-28 01:23:23:004  vibration7完成落盘
2020-12-28 01:23:27:024  vibration8完成落盘
2020-12-28 01:23:30:483  magnetic1完成落盘
2020-12-28 01:23:33:789  magnetic2完成落盘
2020-12-28 01:23:37:346  magnetic3完成落盘
2020-12-28 01:23:41:192  magnetic4完成落盘
2020-12-28 01:23:44:127  temperate1完成落盘
2020-12-28 01:23:47:512  temperate2完成落盘
2020-12-28 01:23:50:897  temperate3完成落盘
2020-12-28 01:23:54:045  temperate4完成落盘
2020-12-28 01:23:54:055  开始处理数据
2020-12-28 01:23:54:229  右侧计算完成
2020-12-28 01:23:54:298  左侧计算完成
2020-12-28 01:23:54:300  检查结果数据
2020-12-28 01:23:54:302  通知桌面显示数据
2020-12-28 01:23:54:319  开始写入数据库
2020-12-28 01:23:54:340  预警及报警参数加载完成
2020-12-28 01:23:54:342  数据库打开成功
2020-12-28 01:23:54:344  train_info数据表写入成功
2020-12-28 01:23:54:474  train_onlyid读取成功
2020-12-28 01:23:54:478  train_data数据表写入成功
2020-12-28 01:23:54:482  vt_info数据表，第0次写入成功
2020-12-28 01:23:54:485  vt_info数据表，第1次写入成功
2020-12-28 01:23:54:489  vt_info数据表，第2次写入成功
2020-12-28 01:23:54:492  vt_info数据表，第3次写入成功
2020-12-28 01:23:54:496  vt_info数据表，第4次写入成功
2020-12-28 01:23:54:500  vt_info数据表，第5次写入成功
2020-12-28 01:23:54:503  vt_info数据表，第6次写入成功
2020-12-28 01:23:54:507  vt_info数据表，第7次写入成功
2020-12-28 01:23:54:511  vt_info数据表，第8次写入成功
2020-12-28 01:23:54:514  vt_info数据表，第9次写入成功
2020-12-28 01:23:54:517  vt_info数据表，第10次写入成功
2020-12-28 01:23:54:521  vt_info数据表，第11次写入成功
2020-12-28 01:23:54:524  vt_info数据表，第12次写入成功
2020-12-28 01:23:54:528  vt_info数据表，第13次写入成功
2020-12-28 01:23:54:532  vt_info数据表，第14次写入成功
2020-12-28 01:23:54:535  vt_info数据表，第15次写入成功
2020-12-28 01:23:54:539  vt_info数据表，第16次写入成功
2020-12-28 01:23:54:543  vt_info数据表，第17次写入成功
2020-12-28 01:23:54:546  vt_info数据表，第18次写入成功
2020-12-28 01:23:54:550  vt_info数据表，第19次写入成功
2020-12-28 01:23:54:553  vt_info数据表，第20次写入成功
2020-12-28 01:23:54:557  vt_info数据表，第21次写入成功
2020-12-28 01:23:54:561  vt_info数据表，第22次写入成功
2020-12-28 01:23:54:565  vt_info数据表，第23次写入成功
2020-12-28 01:23:54:568  vt_info数据表，第24次写入成功
2020-12-28 01:23:54:572  vt_info数据表，第25次写入成功
2020-12-28 01:23:54:575  vt_info数据表，第26次写入成功
2020-12-28 01:23:54:579  vt_info数据表，第27次写入成功
2020-12-28 01:23:54:583  vt_info数据表，第28次写入成功
2020-12-28 01:23:54:586  vt_info数据表，第29次写入成功
2020-12-28 01:23:54:590  vt_info数据表，第30次写入成功
2020-12-28 01:23:54:593  vt_info数据表，第31次写入成功
2020-12-28 01:23:54:597  vt_info数据表，第32次写入成功
2020-12-28 01:23:54:601  vt_info数据表，第33次写入成功
2020-12-28 01:23:54:604  vt_info数据表，第34次写入成功
2020-12-28 01:23:54:608  vt_info数据表，第35次写入成功
2020-12-28 01:23:54:611  vt_info数据表，第36次写入成功
2020-12-28 01:23:54:615  vt_info数据表，第37次写入成功
2020-12-28 01:23:54:619  vt_info数据表，第38次写入成功
2020-12-28 01:23:54:622  vt_info数据表，第39次写入成功
2020-12-28 01:23:54:626  vt_info数据表，第40次写入成功
