2022-07-08 22:01:46:526  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-08 22:01:46:546  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-08 22:01:46:553  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-08 22:01:46:558  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:560  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:561  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:562  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:563  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:565  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:566  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:567  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:01:46:568  车速为：22.0154位置标记为：1
2022-07-08 22:01:46:577  vibrationCalculate:计算完成, 位置标记：1
2022-07-08 22:01:46:671  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-08 22:01:46:724  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-08 22:01:46:729  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-08 22:01:46:735  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-08 22:01:46:740  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:742  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:745  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:746  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:747  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:749  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:750  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:752  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:01:46:752  车速为：22.0154位置标记为：0
2022-07-08 22:01:46:762  vibrationCalculate:计算完成, 位置标记：0
2022-07-08 22:01:46:849  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-08 22:16:41:511  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-08 22:16:41:522  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-08 22:16:41:529  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-08 22:16:41:535  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:536  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:538  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:539  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:540  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:542  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:544  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:545  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-08 22:16:41:546  车速为：22.0154位置标记为：1
2022-07-08 22:16:41:555  vibrationCalculate:计算完成, 位置标记：1
2022-07-08 22:16:41:638  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-08 22:16:41:681  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-08 22:16:41:687  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-08 22:16:41:693  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-08 22:16:41:698  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:700  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:701  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:703  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:704  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:705  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:706  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:708  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-08 22:16:41:709  车速为：22.0154位置标记为：0
2022-07-08 22:16:41:718  vibrationCalculate:计算完成, 位置标记：0
2022-07-08 22:16:41:799  vibrationCalculate:振动特征值计算完成, 位置标记：0
