2020-12-24 17:00:58:691  收到来车信号，流水号：20201224170058，所有设备开始采集
2020-12-24 17:00:58:747  开启A/D采集
2020-12-24 17:01:38:573  收到离车信号，流水号：20201224170058，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-24 17:01:38:575  收到停止采集命令，开始停止采集
2020-12-24 17:01:38:579  停止采集数据
2020-12-24 17:01:38:581  采集连接已断开
2020-12-24 17:01:38:583  开始数据分析和落盘
2020-12-24 17:01:46:472  vibration1完成落盘
2020-12-24 17:01:53:019  vibration2完成落盘
2020-12-24 17:01:59:459  vibration3完成落盘
2020-12-24 17:02:05:849  vibration4完成落盘
2020-12-24 17:02:12:431  vibration5完成落盘
2020-12-24 17:02:19:098  vibration6完成落盘
2020-12-24 17:02:25:877  vibration7完成落盘
2020-12-24 17:02:32:585  vibration8完成落盘
2020-12-24 17:02:39:230  magnetic1完成落盘
2020-12-24 17:02:46:229  magnetic2完成落盘
2020-12-24 17:02:53:069  magnetic3完成落盘
2020-12-24 17:02:59:642  magnetic4完成落盘
2020-12-24 17:03:05:817  temperate1完成落盘
2020-12-24 17:03:12:081  temperate2完成落盘
2020-12-24 17:03:18:416  temperate3完成落盘
2020-12-24 17:03:24:919  temperate4完成落盘
2020-12-24 17:03:24:927  开始处理数据
2020-12-24 17:03:25:407  右侧计算完成
2020-12-24 17:03:25:727  左侧计算完成
2020-12-24 17:03:25:729  检查结果数据
2020-12-24 17:03:25:731  通知桌面显示数据
2020-12-24 17:03:25:747  开始写入数据库
2020-12-24 17:03:25:761  预警及报警参数加载完成
2020-12-24 17:03:25:761  数据库打开成功
2020-12-24 17:03:25:765  train_info数据表写入成功
2020-12-24 17:03:25:767  train_onlyid读取成功
2020-12-24 17:03:25:769  train_data数据表写入成功
2020-12-24 17:03:25:773  train_fault数据表写入1、1成功
2020-12-24 17:03:25:775  train_fault数据表写入2、1成功
2020-12-24 17:03:25:777  train_fault数据表写入3、1成功
2020-12-24 17:03:25:781  vt_info数据表，第0次写入成功
2020-12-24 17:03:25:785  vt_info数据表，第1次写入成功
2020-12-24 17:03:25:789  vt_info数据表，第2次写入成功
2020-12-24 17:03:25:793  vt_info数据表，第3次写入成功
2020-12-24 17:03:25:795  vt_info数据表，第4次写入成功
2020-12-24 17:03:25:799  vt_info数据表，第5次写入成功
2020-12-24 17:03:25:803  vt_info数据表，第6次写入成功
2020-12-24 17:03:25:807  vt_info数据表，第7次写入成功
2020-12-24 17:03:25:811  vt_info数据表，第8次写入成功
2020-12-24 17:03:25:815  vt_info数据表，第9次写入成功
2020-12-24 17:03:25:819  vt_info数据表，第10次写入成功
2020-12-24 17:03:25:823  vt_info数据表，第11次写入成功
2020-12-24 17:03:25:825  vt_info数据表，第12次写入成功
2020-12-24 17:03:25:829  vt_info数据表，第13次写入成功
2020-12-24 17:03:25:833  vt_info数据表，第14次写入成功
2020-12-24 17:03:25:837  vt_info数据表，第15次写入成功
2020-12-24 17:03:25:841  vt_info数据表，第16次写入成功
2020-12-24 17:03:25:845  vt_info数据表，第17次写入成功
2020-12-24 17:03:25:849  vt_info数据表，第18次写入成功
2020-12-24 17:03:25:853  vt_info数据表，第19次写入成功
2020-12-24 17:03:25:857  vt_info数据表，第20次写入成功
2020-12-24 17:03:25:859  vt_info数据表，第21次写入成功
2020-12-24 17:03:25:863  vt_info数据表，第22次写入成功
2020-12-24 17:03:25:867  vt_info数据表，第23次写入成功
2020-12-24 17:03:25:871  vt_info数据表，第24次写入成功
2020-12-24 17:03:25:875  vt_info数据表，第25次写入成功
2020-12-24 17:03:25:879  vt_info数据表，第26次写入成功
2020-12-24 17:03:25:883  vt_info数据表，第27次写入成功
2020-12-24 17:03:25:887  vt_info数据表，第28次写入成功
2020-12-24 17:03:25:889  vt_info数据表，第29次写入成功
2020-12-24 17:03:25:893  vt_info数据表，第30次写入成功
2020-12-24 17:03:25:897  vt_info数据表，第31次写入成功
2020-12-24 17:03:25:901  vt_info数据表，第32次写入成功
2020-12-24 17:03:25:905  vt_info数据表，第33次写入成功
2020-12-24 17:03:25:909  vt_info数据表，第34次写入成功
2020-12-24 17:03:25:913  vt_info数据表，第35次写入成功
2020-12-24 17:03:25:915  vt_info数据表，第36次写入成功
2020-12-24 17:03:25:919  vt_info数据表，第37次写入成功
2020-12-24 17:03:25:923  vt_info数据表，第38次写入成功
2020-12-24 17:03:25:927  vt_info数据表，第39次写入成功
2020-12-24 17:03:25:931  vt_info数据表，第40次写入成功
2020-12-24 17:03:25:935  vt_info数据表，第41次写入成功
2020-12-24 17:03:25:939  vt_info数据表，第42次写入成功
2020-12-24 17:03:25:943  vt_info数据表，第43次写入成功
2020-12-24 17:03:25:947  vt_info数据表，第44次写入成功
2020-12-24 17:03:25:949  vt_info数据表，第45次写入成功
2020-12-24 17:03:25:953  vt_info数据表，第46次写入成功
2020-12-24 17:03:25:957  vt_info数据表，第47次写入成功
2020-12-24 17:03:25:961  motor_info数据表，第0次写入成功
2020-12-24 17:03:25:963  motor_info数据表，第1次写入成功
2020-12-24 17:03:25:967  motor_info数据表，第2次写入成功
2020-12-24 17:03:25:969  motor_info数据表，第3次写入成功
2020-12-24 17:03:25:971  motor_info数据表，第4次写入成功
2020-12-24 17:03:25:975  motor_info数据表，第5次写入成功
2020-12-24 17:03:25:977  motor_info数据表，第6次写入成功
2020-12-24 17:03:25:979  motor_info数据表，第7次写入成功
2020-12-24 17:03:25:983  motor_info数据表，第8次写入成功
2020-12-24 17:03:25:985  motor_info数据表，第9次写入成功
2020-12-24 17:03:25:989  motor_info数据表，第10次写入成功
2020-12-24 17:03:25:991  motor_info数据表，第11次写入成功
2020-12-24 17:03:25:993  motor_info数据表，第12次写入成功
2020-12-24 17:03:25:997  motor_info数据表，第13次写入成功
2020-12-24 17:03:25:999  motor_info数据表，第14次写入成功
2020-12-24 17:03:26:019  motor_info数据表，第15次写入成功
2020-12-24 17:03:26:021  数据库关闭！
2020-12-24 17:11:12:939  收到来车信号，流水号：20201224171112，所有设备开始采集
2020-12-24 17:11:12:995  开启A/D采集
2020-12-24 17:11:52:857  收到离车信号，流水号：20201224171112，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-24 17:11:52:859  收到停止采集命令，开始停止采集
2020-12-24 17:11:52:863  停止采集数据
2020-12-24 17:11:52:865  采集连接已断开
2020-12-24 17:11:52:867  开始数据分析和落盘
2020-12-24 17:12:00:267  vibration1完成落盘
2020-12-24 17:12:06:620  vibration2完成落盘
2020-12-24 17:12:13:113  vibration3完成落盘
2020-12-24 17:12:19:879  vibration4完成落盘
2020-12-24 17:12:26:560  vibration5完成落盘
2020-12-24 17:12:32:631  vibration6完成落盘
2020-12-24 17:12:38:988  vibration7完成落盘
2020-12-24 17:12:45:778  vibration8完成落盘
2020-12-24 17:12:52:780  magnetic1完成落盘
2020-12-24 17:12:59:361  magnetic2完成落盘
2020-12-24 17:13:06:142  magnetic3完成落盘
2020-12-24 17:13:12:686  magnetic4完成落盘
2020-12-24 17:13:19:161  temperate1完成落盘
2020-12-24 17:13:25:586  temperate2完成落盘
2020-12-24 17:13:31:827  temperate3完成落盘
2020-12-24 17:13:38:233  temperate4完成落盘
2020-12-24 17:13:38:241  开始处理数据
2020-12-24 17:13:38:797  右侧计算完成
2020-12-24 17:13:39:189  左侧计算完成
2020-12-24 17:13:39:191  检查结果数据
2020-12-24 17:13:39:193  通知桌面显示数据
2020-12-24 17:13:39:209  开始写入数据库
2020-12-24 17:13:39:225  预警及报警参数加载完成
2020-12-24 17:13:39:227  数据库打开成功
2020-12-24 17:13:39:229  train_info数据表写入成功
2020-12-24 17:13:39:231  train_onlyid读取成功
2020-12-24 17:13:39:233  train_data数据表写入成功
2020-12-24 17:13:39:235  train_fault数据表写入1、1成功
2020-12-24 17:13:39:237  train_fault数据表写入2、1成功
2020-12-24 17:13:39:239  train_fault数据表写入3、1成功
2020-12-24 17:13:39:243  vt_info数据表，第0次写入成功
2020-12-24 17:13:39:247  vt_info数据表，第1次写入成功
2020-12-24 17:13:39:251  vt_info数据表，第2次写入成功
2020-12-24 17:13:39:255  vt_info数据表，第3次写入成功
2020-12-24 17:13:39:259  vt_info数据表，第4次写入成功
2020-12-24 17:13:39:263  vt_info数据表，第5次写入成功
2020-12-24 17:13:39:265  vt_info数据表，第6次写入成功
2020-12-24 17:13:39:269  vt_info数据表，第7次写入成功
2020-12-24 17:13:39:273  vt_info数据表，第8次写入成功
2020-12-24 17:13:39:277  vt_info数据表，第9次写入成功
2020-12-24 17:13:39:281  vt_info数据表，第10次写入成功
2020-12-24 17:13:39:285  vt_info数据表，第11次写入成功
2020-12-24 17:13:39:287  vt_info数据表，第12次写入成功
2020-12-24 17:13:39:291  vt_info数据表，第13次写入成功
2020-12-24 17:13:39:295  vt_info数据表，第14次写入成功
2020-12-24 17:13:39:299  vt_info数据表，第15次写入成功
2020-12-24 17:13:39:303  vt_info数据表，第16次写入成功
2020-12-24 17:13:39:307  vt_info数据表，第17次写入成功
2020-12-24 17:13:39:311  vt_info数据表，第18次写入成功
2020-12-24 17:13:39:313  vt_info数据表，第19次写入成功
2020-12-24 17:13:39:317  vt_info数据表，第20次写入成功
2020-12-24 17:13:39:321  vt_info数据表，第21次写入成功
