2022-12-09 10:22:09:581  preprocess:磁钢信号预处理完成，位置标记：1
2022-12-09 10:22:09:588  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-12-09 10:22:09:591  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-12-09 10:22:09:593  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:594  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:595  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:596  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:598  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:599  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:600  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:601  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-12-09 10:22:09:602  车速为：162.353位置标记为：1
2022-12-09 10:22:09:614  vibrationCalculate:计算完成, 位置标记：1
2022-12-09 10:22:09:687  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-12-09 10:22:09:752  preprocess:磁钢信号预处理完成，位置标记：0
2022-12-09 10:22:09:758  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-12-09 10:22:09:762  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-12-09 10:22:09:765  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:766  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:768  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:770  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:771  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:773  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:774  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:776  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-12-09 10:22:09:777  车速为：162.353位置标记为：0
2022-12-09 10:22:09:789  vibrationCalculate:计算完成, 位置标记：0
2022-12-09 10:22:09:857  vibrationCalculate:振动特征值计算完成, 位置标记：0
