2020-12-19 08:06:28:328  收到来车信号，流水号：20201219080628，所有设备开始采集
2020-12-19 08:06:28:423  开启A/D采集
2020-12-19 08:06:49:823  收到离车信号，流水号：20201219080628，线号：14，车号：043044，主控端：1，所有设备停止采集
2020-12-19 08:06:49:858  收到停止采集命令，开始停止采集
2020-12-19 08:06:49:921  停止采集数据
2020-12-19 08:06:49:923  采集连接已断开
2020-12-19 08:06:49:924  开始数据分析和落盘
2020-12-19 08:06:54:808  vibration1完成落盘
2020-12-19 08:06:58:922  vibration2完成落盘
2020-12-19 08:07:03:051  vibration3完成落盘
2020-12-19 08:07:07:225  vibration4完成落盘
2020-12-19 08:07:11:406  vibration5完成落盘
2020-12-19 08:07:15:610  vibration6完成落盘
2020-12-19 08:07:19:745  vibration7完成落盘
2020-12-19 08:07:23:992  vibration8完成落盘
2020-12-19 08:07:28:249  magnetic1完成落盘
2020-12-19 08:07:32:471  magnetic2完成落盘
2020-12-19 08:07:36:709  magnetic3完成落盘
2020-12-19 08:07:40:908  magnetic4完成落盘
2020-12-19 08:07:44:942  temperate1完成落盘
2020-12-19 08:07:48:985  temperate2完成落盘
2020-12-19 08:07:52:990  temperate3完成落盘
2020-12-19 08:07:57:046  temperate4完成落盘
2020-12-19 08:07:57:055  开始处理数据
2020-12-19 08:07:57:610  右侧计算完成
2020-12-19 08:07:58:068  左侧计算完成
2020-12-19 08:07:58:070  检查结果数据
2020-12-19 08:07:58:071  通知桌面显示数据
2020-12-19 08:07:58:088  开始写入数据库
2020-12-19 08:07:58:116  预警及报警参数加载完成
2020-12-19 08:07:58:117  数据库打开成功
2020-12-19 08:07:58:119  train_info数据表写入成功
2020-12-19 08:07:58:301  train_onlyid读取成功
2020-12-19 08:07:58:303  train_data数据表写入成功
2020-12-19 08:07:58:304  vt_info数据表，第0次写入成功
2020-12-19 08:07:58:306  vt_info数据表，第1次写入成功
2020-12-19 08:07:58:307  vt_info数据表，第2次写入成功
2020-12-19 08:07:58:309  vt_info数据表，第3次写入成功
2020-12-19 08:07:58:310  vt_info数据表，第4次写入成功
2020-12-19 08:07:58:312  vt_info数据表，第5次写入成功
2020-12-19 08:07:58:313  vt_info数据表，第6次写入成功
2020-12-19 08:07:58:314  vt_info数据表，第7次写入成功
2020-12-19 08:07:58:316  vt_info数据表，第8次写入成功
2020-12-19 08:07:58:317  vt_info数据表，第9次写入成功
2020-12-19 08:07:58:319  vt_info数据表，第10次写入成功
2020-12-19 08:07:58:320  vt_info数据表，第11次写入成功
2020-12-19 08:07:58:322  vt_info数据表，第12次写入成功
2020-12-19 08:07:58:323  vt_info数据表，第13次写入成功
