2020-12-16 21:04:25:716  收到来车信号，流水号：20201216210425，所有设备开始采集
2020-12-16 21:04:25:752  开启A/D采集
2020-12-16 21:04:51:216  收到离车信号，流水号：20201216210425，线号：14，车号：057058，主控端：0，所有设备停止采集
2020-12-16 21:04:51:218  收到停止采集命令，开始停止采集
2020-12-16 21:04:51:223  停止采集数据
2020-12-16 21:04:51:225  采集连接已断开
2020-12-16 21:04:51:227  开始数据分析和落盘
2020-12-16 21:04:55:555  vibration1完成落盘
2020-12-16 21:04:59:290  vibration2完成落盘
2020-12-16 21:05:03:228  vibration3完成落盘
2020-12-16 21:05:07:309  vibration4完成落盘
2020-12-16 21:05:11:306  vibration5完成落盘
2020-12-16 21:05:15:409  vibration6完成落盘
2020-12-16 21:05:19:338  vibration7完成落盘
2020-12-16 21:05:22:648  vibration8完成落盘
2020-12-16 21:05:26:093  magnetic1完成落盘
2020-12-16 21:05:30:099  magnetic2完成落盘
2020-12-16 21:05:34:005  magnetic3完成落盘
2020-12-16 21:05:38:283  magnetic4完成落盘
2020-12-16 21:05:41:841  temperate1完成落盘
2020-12-16 21:05:45:947  temperate2完成落盘
2020-12-16 21:05:50:020  temperate3完成落盘
2020-12-16 21:05:54:055  temperate4完成落盘
2020-12-16 21:05:54:064  开始处理数据
2020-12-16 21:05:54:411  右侧计算完成
2020-12-16 21:05:54:641  左侧计算完成
2020-12-16 21:05:54:643  检查结果数据
2020-12-16 21:05:54:645  通知桌面显示数据
2020-12-16 21:05:54:662  开始写入数据库
2020-12-16 21:05:54:683  预警及报警参数加载完成
2020-12-16 21:05:54:685  数据库打开成功
2020-12-16 21:05:54:687  train_info数据表写入成功
2020-12-16 21:05:54:747  train_onlyid读取成功
2020-12-16 21:05:54:752  train_data数据表写入成功
2020-12-16 21:05:54:755  vt_info数据表，第0次写入成功
2020-12-16 21:05:54:759  vt_info数据表，第1次写入成功
2020-12-16 21:05:54:763  vt_info数据表，第2次写入成功
2020-12-16 21:05:54:767  vt_info数据表，第3次写入成功
2020-12-16 21:05:54:770  vt_info数据表，第4次写入成功
2020-12-16 21:05:54:774  vt_info数据表，第5次写入成功
2020-12-16 21:05:54:779  vt_info数据表，第6次写入成功
2020-12-16 21:05:54:781  vt_info数据表，第7次写入成功
2020-12-16 21:05:54:786  vt_info数据表，第8次写入成功
2020-12-16 21:05:54:788  vt_info数据表，第9次写入成功
2020-12-16 21:05:54:793  vt_info数据表，第10次写入成功
2020-12-16 21:05:54:797  vt_info数据表，第11次写入成功
2020-12-16 21:05:54:800  vt_info数据表，第12次写入成功
2020-12-16 21:05:54:804  vt_info数据表，第13次写入成功
2020-12-16 21:05:54:808  vt_info数据表，第14次写入成功
2020-12-16 21:05:54:811  vt_info数据表，第15次写入成功
2020-12-16 21:05:54:815  vt_info数据表，第16次写入成功
2020-12-16 21:05:54:818  vt_info数据表，第17次写入成功
2020-12-16 21:05:54:822  vt_info数据表，第18次写入成功
2020-12-16 21:05:54:826  vt_info数据表，第19次写入成功
2020-12-16 21:05:54:830  vt_info数据表，第20次写入成功
2020-12-16 21:05:54:833  vt_info数据表，第21次写入成功
2020-12-16 21:05:54:837  vt_info数据表，第22次写入成功
