2020-12-21 05:16:00:951  收到来车信号，流水号：20201221051600，所有设备开始采集
2020-12-21 05:16:01:100  开启A/D采集
2020-12-21 05:16:27:330  数据采集中出现错误
2020-12-21 05:16:27:332  停止采集数据
2020-12-21 05:16:27:334  采集连接已断开
2020-12-21 05:16:27:336  开始数据分析和落盘
2020-12-21 05:16:31:714  收到离车信号，流水号：20201221051600，线号：14，车号：021022，主控端：0，所有设备停止采集
2020-12-21 05:16:31:717  收到停止采集命令，开始停止采集
2020-12-21 05:16:54:833  vibration1完成落盘
2020-12-21 05:17:17:729  vibration2完成落盘
2020-12-21 05:17:41:056  vibration3完成落盘
2020-12-21 05:18:04:802  vibration4完成落盘
2020-12-21 05:18:29:770  vibration5完成落盘
2020-12-21 05:18:53:048  vibration6完成落盘
2020-12-21 05:19:16:413  vibration7完成落盘
2020-12-21 05:19:40:450  vibration8完成落盘
2020-12-21 05:20:03:700  magnetic1完成落盘
2020-12-21 05:20:26:382  magnetic2完成落盘
2020-12-21 05:20:48:998  magnetic3完成落盘
2020-12-21 05:21:10:911  magnetic4完成落盘
2020-12-21 05:21:34:005  temperate1完成落盘
2020-12-21 05:21:57:070  temperate2完成落盘
2020-12-21 05:22:20:538  temperate3完成落盘
2020-12-21 05:22:42:450  temperate4完成落盘
2020-12-21 05:22:42:466  开始处理数据
2020-12-21 05:22:43:786  右侧计算完成
2020-12-21 05:22:44:201  左侧计算完成
2020-12-21 05:22:44:203  检查结果数据
2020-12-21 05:22:44:205  通知桌面显示数据
2020-12-21 05:22:44:221  开始写入数据库
2020-12-21 05:22:44:243  预警及报警参数加载完成
2020-12-21 05:22:44:245  数据库打开成功
2020-12-21 05:22:44:247  train_info数据表写入成功
2020-12-21 05:22:44:308  train_onlyid读取成功
2020-12-21 05:22:44:312  train_data数据表写入成功
2020-12-21 05:22:44:316  vt_info数据表，第0次写入成功
2020-12-21 05:22:44:320  vt_info数据表，第1次写入成功
2020-12-21 05:22:44:323  vt_info数据表，第2次写入成功
2020-12-21 05:22:44:327  vt_info数据表，第3次写入成功
2020-12-21 05:22:44:330  vt_info数据表，第4次写入成功
2020-12-21 05:22:44:334  vt_info数据表，第5次写入成功
2020-12-21 05:22:44:338  vt_info数据表，第6次写入成功
2020-12-21 05:22:44:341  vt_info数据表，第7次写入成功
2020-12-21 05:22:44:345  vt_info数据表，第8次写入成功
2020-12-21 05:22:44:348  vt_info数据表，第9次写入成功
2020-12-21 05:22:44:352  vt_info数据表，第10次写入成功
2020-12-21 05:22:44:355  vt_info数据表，第11次写入成功
2020-12-21 05:22:44:359  vt_info数据表，第12次写入成功
2020-12-21 05:22:44:363  vt_info数据表，第13次写入成功
2020-12-21 05:22:44:367  vt_info数据表，第14次写入成功
2020-12-21 05:22:44:370  vt_info数据表，第15次写入成功
2020-12-21 05:22:44:374  vt_info数据表，第16次写入成功
