2022-11-29 15:02:49:336  preprocess:磁钢信号预处理完成，位置标记：1
2022-11-29 15:02:49:339  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-11-29 15:02:49:351  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-11-29 15:02:49:363  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:365  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:367  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:368  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:370  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:371  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:373  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:375  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-11-29 15:02:49:376  车速为：65.8188位置标记为：1
2022-11-29 15:02:49:381  vibrationCalculate:计算完成, 位置标记：1
2022-11-29 15:02:49:497  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-11-29 15:02:52:063  preprocess:磁钢信号预处理完成，位置标记：0
2022-11-29 15:02:52:066  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-11-29 15:02:52:078  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-11-29 15:02:52:091  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:093  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:095  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:096  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:099  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:100  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:102  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:106  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-11-29 15:02:52:107  车速为：65.8188位置标记为：0
2022-11-29 15:02:52:112  vibrationCalculate:计算完成, 位置标记：0
