2020-12-27 09:01:57:599  收到来车信号，流水号：20201227090157，所有设备开始采集
2020-12-27 09:01:57:647  开启A/D采集
2020-12-27 09:02:19:091  收到离车信号，流水号：20201227090157，线号：14，车号：055056，主控端：1，所有设备停止采集
2020-12-27 09:02:19:093  收到停止采集命令，开始停止采集
2020-12-27 09:02:19:100  停止采集数据
2020-12-27 09:02:19:102  采集连接已断开
2020-12-27 09:02:19:104  开始数据分析和落盘
2020-12-27 09:02:23:230  vibration1完成落盘
2020-12-27 09:02:26:455  vibration2完成落盘
2020-12-27 09:02:29:861  vibration3完成落盘
2020-12-27 09:02:32:973  vibration4完成落盘
2020-12-27 09:02:36:546  vibration5完成落盘
2020-12-27 09:02:40:366  vibration6完成落盘
2020-12-27 09:02:43:730  vibration7完成落盘
2020-12-27 09:02:47:351  vibration8完成落盘
2020-12-27 09:02:51:243  magnetic1完成落盘
2020-12-27 09:02:54:982  magnetic2完成落盘
2020-12-27 09:02:58:330  magnetic3完成落盘
2020-12-27 09:03:01:507  magnetic4完成落盘
2020-12-27 09:03:04:825  temperate1完成落盘
2020-12-27 09:03:08:208  temperate2完成落盘
2020-12-27 09:03:11:494  temperate3完成落盘
2020-12-27 09:03:14:834  temperate4完成落盘
2020-12-27 09:03:14:842  开始处理数据
2020-12-27 09:03:15:346  右侧计算完成
2020-12-27 09:03:15:760  左侧计算完成
2020-12-27 09:03:15:763  检查结果数据
2020-12-27 09:03:15:765  通知桌面显示数据
2020-12-27 09:03:15:783  开始写入数据库
2020-12-27 09:03:15:803  预警及报警参数加载完成
2020-12-27 09:03:15:805  数据库打开成功
2020-12-27 09:03:15:807  train_info数据表写入成功
2020-12-27 09:03:15:937  train_onlyid读取成功
2020-12-27 09:03:15:941  train_data数据表写入成功
2020-12-27 09:03:15:945  vt_info数据表，第0次写入成功
2020-12-27 09:03:15:948  vt_info数据表，第1次写入成功
2020-12-27 09:03:15:952  vt_info数据表，第2次写入成功
2020-12-27 09:03:15:956  vt_info数据表，第3次写入成功
2020-12-27 09:03:15:960  vt_info数据表，第4次写入成功
2020-12-27 09:03:15:963  vt_info数据表，第5次写入成功
2020-12-27 09:03:15:967  vt_info数据表，第6次写入成功
2020-12-27 09:03:15:971  vt_info数据表，第7次写入成功
2020-12-27 09:03:15:974  vt_info数据表，第8次写入成功
2020-12-27 09:03:15:978  vt_info数据表，第9次写入成功
2020-12-27 09:03:15:982  vt_info数据表，第10次写入成功
2020-12-27 09:03:15:986  vt_info数据表，第11次写入成功
2020-12-27 09:03:15:989  vt_info数据表，第12次写入成功
2020-12-27 09:03:15:993  vt_info数据表，第13次写入成功
2020-12-27 09:03:15:996  vt_info数据表，第14次写入成功
2020-12-27 09:03:16:000  vt_info数据表，第15次写入成功
2020-12-27 09:03:16:004  vt_info数据表，第16次写入成功
2020-12-27 09:03:16:008  vt_info数据表，第17次写入成功
2020-12-27 09:03:16:011  vt_info数据表，第18次写入成功
2020-12-27 09:03:16:015  vt_info数据表，第19次写入成功
2020-12-27 09:03:16:019  vt_info数据表，第20次写入成功
2020-12-27 09:03:16:022  vt_info数据表，第21次写入成功
2020-12-27 09:03:16:026  vt_info数据表，第22次写入成功
2020-12-27 09:03:16:029  vt_info数据表，第23次写入成功
2020-12-27 09:03:16:033  vt_info数据表，第24次写入成功
2020-12-27 09:03:16:037  vt_info数据表，第25次写入成功
2020-12-27 09:03:16:041  vt_info数据表，第26次写入成功
2020-12-27 09:03:16:044  vt_info数据表，第27次写入成功
2020-12-27 09:03:16:048  vt_info数据表，第28次写入成功
2020-12-27 09:03:16:052  vt_info数据表，第29次写入成功
2020-12-27 09:03:16:055  vt_info数据表，第30次写入成功
2020-12-27 09:03:16:059  vt_info数据表，第31次写入成功
2020-12-27 09:03:16:063  vt_info数据表，第32次写入成功
2020-12-27 09:03:16:067  vt_info数据表，第33次写入成功
2020-12-27 09:03:16:070  vt_info数据表，第34次写入成功
2020-12-27 09:03:16:074  vt_info数据表，第35次写入成功
2020-12-27 09:03:16:077  vt_info数据表，第36次写入成功
2020-12-27 09:03:16:081  vt_info数据表，第37次写入成功
2020-12-27 09:03:16:085  vt_info数据表，第38次写入成功
2020-12-27 09:03:16:088  vt_info数据表，第39次写入成功
2020-12-27 09:03:16:092  vt_info数据表，第40次写入成功
2020-12-27 09:03:16:096  vt_info数据表，第41次写入成功
2020-12-27 09:03:16:099  vt_info数据表，第42次写入成功
2020-12-27 09:03:16:103  vt_info数据表，第43次写入成功
2020-12-27 09:03:16:107  vt_info数据表，第44次写入成功
2020-12-27 09:03:16:110  vt_info数据表，第45次写入成功
2020-12-27 09:03:16:114  vt_info数据表，第46次写入成功
2020-12-27 09:03:16:118  vt_info数据表，第47次写入成功
2020-12-27 09:03:16:120  motor_info数据表，第0次写入成功
2020-12-27 09:03:16:123  motor_info数据表，第1次写入成功
2020-12-27 09:03:16:126  motor_info数据表，第2次写入成功
2020-12-27 09:03:16:129  motor_info数据表，第3次写入成功
2020-12-27 09:03:16:131  motor_info数据表，第4次写入成功
2020-12-27 09:03:16:134  motor_info数据表，第5次写入成功
2020-12-27 09:03:16:137  motor_info数据表，第6次写入成功
