2020-12-28 18:01:46:229  收到来车信号，流水号：20201228180146，所有设备开始采集
2020-12-28 18:01:46:277  开启A/D采集
2020-12-28 18:02:08:023  收到离车信号，流水号：20201228180146，线号：14，车号：009010，主控端：1，所有设备停止采集
2020-12-28 18:02:08:025  收到停止采集命令，开始停止采集
2020-12-28 18:02:08:032  停止采集数据
2020-12-28 18:02:08:034  采集连接已断开
2020-12-28 18:02:08:036  开始数据分析和落盘
2020-12-28 18:02:11:987  vibration1完成落盘
2020-12-28 18:02:15:155  vibration2完成落盘
2020-12-28 18:02:18:715  vibration3完成落盘
2020-12-28 18:02:22:303  vibration4完成落盘
2020-12-28 18:02:25:531  vibration5完成落盘
2020-12-28 18:02:28:512  vibration6完成落盘
2020-12-28 18:02:31:886  vibration7完成落盘
2020-12-28 18:02:34:810  vibration8完成落盘
2020-12-28 18:02:37:868  magnetic1完成落盘
2020-12-28 18:02:41:675  magnetic2完成落盘
2020-12-28 18:02:45:118  magnetic3完成落盘
2020-12-28 18:02:48:164  magnetic4完成落盘
2020-12-28 18:02:51:204  temperate1完成落盘
2020-12-28 18:02:54:570  temperate2完成落盘
2020-12-28 18:02:57:394  temperate3完成落盘
2020-12-28 18:03:00:880  temperate4完成落盘
2020-12-28 18:03:00:889  开始处理数据
2020-12-28 18:03:01:456  右侧计算完成
2020-12-28 18:03:01:918  左侧计算完成
2020-12-28 18:03:01:920  检查结果数据
2020-12-28 18:03:01:922  通知桌面显示数据
2020-12-28 18:03:01:938  开始写入数据库
2020-12-28 18:03:01:960  预警及报警参数加载完成
2020-12-28 18:03:01:962  数据库打开成功
2020-12-28 18:03:01:964  train_info数据表写入成功
2020-12-28 18:03:02:094  train_onlyid读取成功
2020-12-28 18:03:02:099  train_data数据表写入成功
2020-12-28 18:03:02:103  vt_info数据表，第0次写入成功
2020-12-28 18:03:02:106  vt_info数据表，第1次写入成功
2020-12-28 18:03:02:110  vt_info数据表，第2次写入成功
2020-12-28 18:03:02:113  vt_info数据表，第3次写入成功
2020-12-28 18:03:02:117  vt_info数据表，第4次写入成功
2020-12-28 18:03:02:120  vt_info数据表，第5次写入成功
2020-12-28 18:03:02:124  vt_info数据表，第6次写入成功
2020-12-28 18:03:02:127  vt_info数据表，第7次写入成功
2020-12-28 18:03:02:131  vt_info数据表，第8次写入成功
2020-12-28 18:03:02:135  vt_info数据表，第9次写入成功
2020-12-28 18:03:02:138  vt_info数据表，第10次写入成功
2020-12-28 18:03:02:142  vt_info数据表，第11次写入成功
2020-12-28 18:03:02:145  vt_info数据表，第12次写入成功
2020-12-28 18:03:02:149  vt_info数据表，第13次写入成功
