2020-12-27 15:02:26:449  收到来车信号，流水号：20201227150226，所有设备开始采集
2020-12-27 15:02:26:507  开启A/D采集
2020-12-27 15:03:06:332  收到离车信号，流水号：20201227150226，线号：0，车号：0，主控端：0，所有设备停止采集
2020-12-27 15:03:06:334  收到停止采集命令，开始停止采集
2020-12-27 15:03:06:342  停止采集数据
2020-12-27 15:03:06:344  采集连接已断开
2020-12-27 15:03:06:346  开始数据分析和落盘
2020-12-27 15:03:14:153  vibration1完成落盘
2020-12-27 15:03:20:342  vibration2完成落盘
2020-12-27 15:03:26:766  vibration3完成落盘
2020-12-27 15:03:33:359  vibration4完成落盘
2020-12-27 15:03:39:802  vibration5完成落盘
2020-12-27 15:03:46:482  vibration6完成落盘
2020-12-27 15:03:52:842  vibration7完成落盘
2020-12-27 15:03:59:950  vibration8完成落盘
2020-12-27 15:04:06:362  magnetic1完成落盘
2020-12-27 15:04:13:039  magnetic2完成落盘
2020-12-27 15:04:20:089  magnetic3完成落盘
2020-12-27 15:04:26:888  magnetic4完成落盘
2020-12-27 15:04:32:287  temperate1完成落盘
2020-12-27 15:04:37:805  temperate2完成落盘
2020-12-27 15:04:43:643  temperate3完成落盘
2020-12-27 15:04:50:039  temperate4完成落盘
2020-12-27 15:04:50:049  开始处理数据
2020-12-27 15:04:50:593  右侧计算完成
2020-12-27 15:04:50:937  左侧计算完成
2020-12-27 15:04:50:939  检查结果数据
2020-12-27 15:04:50:941  通知桌面显示数据
2020-12-27 15:04:50:957  开始写入数据库
2020-12-27 15:04:50:973  预警及报警参数加载完成
2020-12-27 15:04:50:975  数据库打开成功
2020-12-27 15:04:50:977  train_info数据表写入成功
2020-12-27 15:04:50:979  train_onlyid读取成功
2020-12-27 15:04:50:983  train_data数据表写入成功
2020-12-27 15:04:50:987  train_fault数据表写入1、1成功
2020-12-27 15:04:50:989  train_fault数据表写入2、1成功
2020-12-27 15:04:50:991  train_fault数据表写入3、1成功
2020-12-27 15:04:50:995  vt_info数据表，第0次写入成功
2020-12-27 15:04:50:999  vt_info数据表，第1次写入成功
2020-12-27 15:04:51:003  vt_info数据表，第2次写入成功
2020-12-27 15:04:51:007  vt_info数据表，第3次写入成功
2020-12-27 15:04:51:009  vt_info数据表，第4次写入成功
2020-12-27 15:04:51:013  vt_info数据表，第5次写入成功
2020-12-27 15:04:51:017  vt_info数据表，第6次写入成功
2020-12-27 15:04:51:021  vt_info数据表，第7次写入成功
2020-12-27 15:04:51:025  vt_info数据表，第8次写入成功
2020-12-27 15:04:51:027  vt_info数据表，第9次写入成功
2020-12-27 15:04:51:031  vt_info数据表，第10次写入成功
