2020-12-22 23:04:05:847  收到来车信号，流水号：20201222230405，所有设备开始采集
2020-12-22 23:04:05:886  开启A/D采集
2020-12-22 23:04:27:243  收到离车信号，流水号：20201222230405，线号：14，车号：005006，主控端：0，所有设备停止采集
2020-12-22 23:04:27:244  收到停止采集命令，开始停止采集
2020-12-22 23:04:27:249  停止采集数据
2020-12-22 23:04:27:251  采集连接已断开
2020-12-22 23:04:27:252  开始数据分析和落盘
2020-12-22 23:04:31:743  vibration1完成落盘
2020-12-22 23:04:35:545  vibration2完成落盘
2020-12-22 23:04:39:232  vibration3完成落盘
2020-12-22 23:04:43:223  vibration4完成落盘
2020-12-22 23:04:46:857  vibration5完成落盘
2020-12-22 23:04:50:746  vibration6完成落盘
2020-12-22 23:04:54:667  vibration7完成落盘
2020-12-22 23:04:58:384  vibration8完成落盘
2020-12-22 23:05:02:251  magnetic1完成落盘
2020-12-22 23:05:06:207  magnetic2完成落盘
2020-12-22 23:05:10:128  magnetic3完成落盘
2020-12-22 23:05:14:068  magnetic4完成落盘
2020-12-22 23:05:17:747  temperate1完成落盘
2020-12-22 23:05:21:336  temperate2完成落盘
2020-12-22 23:05:24:997  temperate3完成落盘
2020-12-22 23:05:28:738  temperate4完成落盘
2020-12-22 23:05:28:749  开始处理数据
2020-12-22 23:05:29:289  右侧计算完成
2020-12-22 23:05:29:745  左侧计算完成
2020-12-22 23:05:29:746  检查结果数据
2020-12-22 23:05:29:748  通知桌面显示数据
2020-12-22 23:05:29:762  开始写入数据库
2020-12-22 23:05:29:806  预警及报警参数加载完成
2020-12-22 23:05:29:808  数据库打开成功
2020-12-22 23:05:29:820  train_info数据表写入成功
2020-12-22 23:05:29:962  train_onlyid读取成功
2020-12-22 23:05:29:990  train_data数据表写入成功
2020-12-22 23:05:29:993  vt_info数据表，第0次写入成功
2020-12-22 23:05:29:997  vt_info数据表，第1次写入成功
2020-12-22 23:05:30:001  vt_info数据表，第2次写入成功
2020-12-22 23:05:30:005  vt_info数据表，第3次写入成功
2020-12-22 23:05:30:008  vt_info数据表，第4次写入成功
2020-12-22 23:05:30:013  vt_info数据表，第5次写入成功
2020-12-22 23:05:30:016  vt_info数据表，第6次写入成功
2020-12-22 23:05:30:020  vt_info数据表，第7次写入成功
2020-12-22 23:05:30:025  vt_info数据表，第8次写入成功
2020-12-22 23:05:30:030  vt_info数据表，第9次写入成功
2020-12-22 23:05:30:033  vt_info数据表，第10次写入成功
2020-12-22 23:05:30:037  vt_info数据表，第11次写入成功
2020-12-22 23:05:30:042  vt_info数据表，第12次写入成功
2020-12-22 23:05:30:045  vt_info数据表，第13次写入成功
2020-12-22 23:05:30:057  vt_info数据表，第14次写入成功
2020-12-22 23:05:30:060  vt_info数据表，第15次写入成功
2020-12-22 23:05:30:064  vt_info数据表，第16次写入成功
2020-12-22 23:05:30:068  vt_info数据表，第17次写入成功
2020-12-22 23:05:30:072  vt_info数据表，第18次写入成功
