2020-12-11 18:03:28:928  收到来车信号，流水号：20201211180328，所有设备开始采集
2020-12-11 18:03:28:959  开启A/D采集
2020-12-11 18:03:54:819  收到离车信号，流水号：20201211180328，线号：21，车号：029030，主控端：0，所有设备停止采集
2020-12-11 18:03:54:819  收到停止采集命令，开始停止采集
2020-12-11 18:03:54:819  停止采集数据
2020-12-11 18:03:54:819  采集连接已断开
2020-12-11 18:03:54:819  开始数据分析和落盘
2020-12-11 18:04:00:084  vibration1完成落盘
2020-12-11 18:04:04:647  vibration2完成落盘
2020-12-11 18:04:08:772  vibration3完成落盘
2020-12-11 18:04:13:350  vibration4完成落盘
2020-12-11 18:04:17:772  vibration5完成落盘
2020-12-11 18:04:22:116  vibration6完成落盘
2020-12-11 18:04:26:319  vibration7完成落盘
2020-12-11 18:04:30:475  vibration8完成落盘
2020-12-11 18:04:34:725  magnetic1完成落盘
2020-12-11 18:04:39:256  magnetic2完成落盘
2020-12-11 18:04:43:803  magnetic3完成落盘
2020-12-11 18:04:48:366  magnetic4完成落盘
2020-12-11 18:04:52:194  temperate1完成落盘
2020-12-11 18:04:56:225  temperate2完成落盘
2020-12-11 18:05:00:413  temperate3完成落盘
2020-12-11 18:05:04:647  temperate4完成落盘
2020-12-11 18:05:04:647  开始处理数据
2020-12-11 18:05:05:288  右侧计算完成
2020-12-11 18:05:05:819  左侧计算完成
2020-12-11 18:05:05:819  检查结果数据
2020-12-11 18:05:05:819  通知桌面显示数据
2020-12-11 18:05:05:835  开始写入数据库
2020-12-11 18:05:05:866  预警及报警参数加载完成
2020-12-11 18:05:05:866  数据库打开成功
2020-12-11 18:05:05:866  train_info数据表写入成功
2020-12-11 18:05:05:913  train_onlyid读取成功
2020-12-11 18:05:05:929  train_data数据表写入成功
2020-12-11 18:05:05:929  vt_info数据表，第0次写入成功
2020-12-11 18:05:05:929  vt_info数据表，第1次写入成功
2020-12-11 18:05:05:929  vt_info数据表，第2次写入成功
2020-12-11 18:05:05:944  vt_info数据表，第3次写入成功
2020-12-11 18:05:05:944  vt_info数据表，第4次写入成功
2020-12-11 18:05:05:944  vt_info数据表，第5次写入成功
2020-12-11 18:05:05:944  vt_info数据表，第6次写入成功
2020-12-11 18:05:05:960  vt_info数据表，第7次写入成功
2020-12-11 18:05:05:960  vt_info数据表，第8次写入成功
2020-12-11 18:05:05:960  vt_info数据表，第9次写入成功
2020-12-11 18:05:05:960  vt_info数据表，第10次写入成功
2020-12-11 18:05:05:960  vt_info数据表，第11次写入成功
2020-12-11 18:05:05:975  vt_info数据表，第12次写入成功
2020-12-11 18:05:05:975  vt_info数据表，第13次写入成功
2020-12-11 18:05:05:975  vt_info数据表，第14次写入成功
2020-12-11 18:05:05:975  vt_info数据表，第15次写入成功
2020-12-11 18:05:05:991  vt_info数据表，第16次写入成功
2020-12-11 18:05:05:991  vt_info数据表，第17次写入成功
2020-12-11 18:05:05:991  vt_info数据表，第18次写入成功
2020-12-11 18:05:05:991  vt_info数据表，第19次写入成功
2020-12-11 18:05:05:991  vt_info数据表，第20次写入成功
2020-12-11 18:05:06:007  vt_info数据表，第21次写入成功
2020-12-11 18:05:06:007  vt_info数据表，第22次写入成功
2020-12-11 18:05:06:007  vt_info数据表，第23次写入成功
